unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_A01,2025-01-01,1662963.4449080278,1.2858718e+06,1581311.4139661877,1335124.8873983226,1476227.7282872053
IN_A01,2025-04-01,2049421.285467612,1.6663174e+06,1840881.9037136014,1602877.9490316433,1797259.5703107114
IN_A01,2025-07-01,1862780.3983017302,1.6271304e+06,1728298.0705930006,1835644.4029294625,1759460.3244814863
IN_A01,2025-10-01,1856418.4479830333,1.7536765e+06,1748078.6613705815,2047488.1574255782,1840372.5313029985
IN_A01,2026-01-01,2138963.2648248114,1.8376319e+06,1933195.5486878846,2288062.2868998013,2036499.1094450515
IN_A01,2026-04-01,2281890.8074128754,1.6988588e+06,2197824.733609524,2385926.2156663826,2138311.8569620484
IN_A01,2026-07-01,2458956.261658657,1.7830639e+06,2268828.875666173,2409715.867580418,2227761.7631133767
IN_A01,2026-10-01,2473757.1086986656,1.7906344e+06,2340881.2600472355,2385898.140482604,2249700.5841361755
IN_A02,2025-01-01,7248519.813744957,7.6212335e+06,7380342.65819579,7205197.719094398,7368864.132230498
IN_A02,2025-04-01,6588192.536865931,7.505298e+06,7321442.484068271,7422877.1367530925,7211587.463701588
IN_A02,2025-07-01,6990000.354619552,7.732961e+06,7397005.035533704,7741202.5045986585,7454917.785693997
IN_A02,2025-10-01,6333215.307799907,7.9572485e+06,7471215.952104703,7999129.071429797,7429494.061874856
IN_A02,2026-01-01,6740350.742656231,7.9467935e+06,7549857.1630334,8302433.76374996,7614275.06266408
IN_A02,2026-04-01,6855861.932927025,8.088562e+06,7491646.087878249,8478880.388967548,7696977.092301371
IN_A02,2026-07-01,6571495.030037154,8.0758305e+06,7451392.059837026,8569957.218157679,7633163.588128597
IN_A02,2026-10-01,5953739.826411584,8.0542835e+06,7418127.241353911,8604658.532790098,7476975.385602798
IN_A03,2025-01-01,1948349.904111252,1.7836359e+06,1797082.8067348923,1833645.315827528,1838119.0533091163
IN_A03,2025-04-01,2017272.194088563,1.8954156e+06,1794727.6132413612,1965403.4159455812,1909528.9782872766
IN_A03,2025-07-01,2055421.1796385513,1.8850739e+06,1789275.3983968531,2033793.4278375893,1929382.3524875254
IN_A03,2025-10-01,2083356.1939799248,1.9449705e+06,1847461.2251166482,2073165.830624754,1976632.2188808993
IN_A03,2026-01-01,2158098.1257788143,2.0191244e+06,2064522.2221446445,2194361.433804797,2104195.636439624
