unique_id,cutoff,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IL,2016-10-01,mae,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IN,2016-10-01,mae,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
MI,2016-10-01,mae,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
OH,2016-10-01,mae,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
IL,2018-10-01,mae,88805.83333333331,195144.45000000013,133909.62499999983,160254.1666666667,88805.83333333331,88805.83333333331,137475.87536040897,89050.12264573708
IN,2018-10-01,mae,98183.54166666674,165314.62500000023,87594.58333333337,93204.625,120631.04166666744,120631.04166666744,67435.56755303711,76267.52607509558
MI,2018-10-01,mae,81787.16666666669,233973.41666666634,82603.75000000006,85336.83333333343,233973.41666666727,233973.41666666727,72248.45507317345,172917.73697817168
OH,2018-10-01,mae,87582.58333333343,147411.5833333332,119194.02083333331,139304.50000000006,122427.66896910814,122427.66896910814,98932.76762600237,88885.11527955206
IL,2020-10-01,mae,282012.4999999999,372455.5238095237,434110.2499999999,434110.25,282012.4999999999,282012.4999999999,263537.15199278493,283187.2013981625
IN,2020-10-01,mae,252914.99999999988,591340.6666666666,386901.5833333334,386901.5833333333,120888.45422306017,120888.45422306017,160033.87526606314,198903.72871419802
MI,2020-10-01,mae,214294.58333333337,599019.5357142853,355745.9999999999,355745.9999999999,214294.58333333337,214294.58333333337,293798.8493139866,373417.73003549146
OH,2020-10-01,mae,250615.12500000017,425195.2916666667,448176.6250000002,448176.62499999994,231956.29878675973,231956.29878675973,252321.97848128533,250121.9296185937
IL,2022-10-01,mae,216735.2916666667,305754.42129629565,193756.2708333333,216735.2916666667,456016.3279522779,457660.29547654063,283032.3801398286,216601.28726714972
IN,2022-10-01,mae,115916.6666666666,519315.87962962955,94332.18749999991,107659.4166666666,312399.2982629599,312399.2982629599,221033.78635306077,213302.2738996074
MI,2022-10-01,mae,329735.7083333334,337334.2083333335,315018.6458333334,329735.7083333334,431372.3364777776,431372.3364777776,433041.4453547385,354573.16066753655
OH,2022-10-01,mae,247322.95833333343,287176.6157407405,216091.24999999994,234018.7916666667,286488.90159662557,286488.90159662557,243777.20928656013,247055.62304685492
IL,2016-10-01,mse,6850416031.944436,11424087375.44451,9715656181.52077,8546382984.19445,9505278195.774734,9505278195.774734,15230528893.001532,6857035608.676874
IN,2016-10-01,mse,395032436.68055713,23277761350.762325,1610044537.8333435,2090235410.2083318,13792883851.096607,13792883851.096607,21031287368.422302,13029893159.622345
MI,2016-10-01,mse,80280010760.20828,81971029199.22525,77536324241.58328,74242125977.70831,143474817735.73605,143474817735.73605,148824996007.03748,85805598525.43277
OH,2016-10-01,mse,8094933016.527761,5919335483.984584,13076952079.756922,12356712719.333336,17890673842.667046,17890673842.667046,197997014229.88998,21669254469.21392
IL,2018-10-01,mse,11396902219.8889,45918163061.64894,21998460963.32631,34333806434.777794,11396902219.8889,11396902219.8889,22406611133.93799,11400903018.185966
IN,2018-10-01,mse,22441353976.319458,40130271361.00008,19936407356.77779,21377605317.291668,29809792409.09749,29809792409.09749,9187713728.04295,15916884663.710995
MI,2018-10-01,mse,14221734971.69443,66348844301.805405,13090121639.63889,13908776880.805555,66348844301.80584,66348844301.80584,9066322538.331463,41505828356.78411
OH,2018-10-01,mse,12323701996.86111,24731680647.30552,17738475103.65972,25537903482.416668,34545368311.92119,34545368311.92119,13907802292.31612,12341988868.13446
IL,2020-10-01,mse,97740275639.22217,156932342699.19888,206660934638.03464,203881462954.11115,97740275639.22217,97740275639.22217,83970466563.21037,98404216518.6957
