unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IL,mae,216735.2916666667,303905.9062500004,193756.2708333333,216735.2916666667,463227.6543031,463227.6543031,264022.55408529605,216601.2872674035
IN,mae,115916.6666666666,475864.5312500001,94332.18749999991,107659.4166666666,278607.1666666664,278607.1666666664,234306.21744503046,200101.3726228968
MI,mae,329735.7083333334,318786.3098958335,315018.6458333334,329735.7083333334,322666.5860416328,322666.5860416328,421179.2786491858,322527.9833906045
OH,mae,247322.95833333343,248653.28124999983,216091.24999999994,234018.7916666667,420660.86470191163,420660.86470191163,302833.5357113126,247055.62304693245
IL,mse,78743543622.06949,133910304932.56287,51739640054.34721,68365507581.12503,329906601437.39453,329906601437.39453,117659448717.01703,78537086403.667
IN,mse,16982646474.777756,235375279272.0532,10255918576.520813,14653885335.77776,112141972410.36093,112141972410.36093,79700213081.97798,57130233061.42185
MI,mse,179931338704.87503,152782637250.14697,148061755711.37503,158234750673.59723,163758230468.8644,163758230468.8644,300606246904.05774,163457112220.8562
OH,mse,83951399722.12508,103883341887.87589,62282257488.56941,71273321508.51389,262625274548.72888,262625274548.72888,130737561715.8821,83732806032.01448
IL,rmse,280612.80017502676,365937.5697199768,227463.49169558444,261467.98576713944,574374.9658867407,574374.9658867407,343015.23102774465,280244.69023278035
IN,rmse,130317.48338107883,485154.9023477483,101271.5092043207,121053.23347923325,334876.05529562867,334876.05529562867,282312.26165715506,239019.31524757962
MI,rmse,424183.1428815566,390874.1961937971,384787.9360262936,397787.31839212426,404670.52087947354,404670.52087947354,548275.7033683489,404298.29608947923
OH,rmse,289743.6793480145,322309.3884575438,249564.13502057825,266970.6379145727,512469.7791565166,512469.7791565166,361576.49497150956,289366.2143927906
