index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
0,IN_A01,2025-01-01,26000.0,-3403.6553,55403.656,40597.418,-5792.7896,86987.625,51744.0,-9676.888,113164.89,51744.0,-9676.888,113164.89,26000.0,-3403.655,55403.656,26000.0,-3403.655,55403.656,22626.172,-10915.768,56168.113,26197.232,691.59576,56573.96
1,IN_A01,2025-04-01,26000.0,-15583.048,67583.05,40597.418,-5792.7896,86987.625,32778.0,-28642.889,94198.89,32778.0,-28642.889,94198.89,26000.0,-15583.048,67583.05,26000.0,-15583.048,67583.05,26997.652,-20437.178,74432.484,26197.232,-17182.87,66834.37
2,IN_A01,2025-07-01,26000.0,-24928.625,76928.625,40597.418,-5792.7896,86987.625,45852.0,-15568.888,107272.89,45852.0,-15568.888,107272.89,26000.0,-24928.625,76928.625,26000.0,-24928.625,76928.625,27637.123,-30460.479,85734.73,26197.232,-30724.262,76617.39
3,IN_A01,2025-10-01,26000.0,-32807.312,84807.31,40597.418,-5792.7896,86987.625,26000.0,-35420.887,87420.89,26000.0,-35420.887,87420.89,26000.0,-32807.31,84807.31,26000.0,-32807.31,84807.31,26840.965,-40247.53,93929.46,26197.232,-32841.176,84857.04
4,IN_A02,2025-01-01,120734.0,88292.67,153175.33,125657.72,69858.734,181456.7,150092.0,102315.49,197868.52,150092.0,102315.49,197868.52,120734.0,88292.65,153175.34,120734.0,88292.65,153175.34,121249.29,88353.08,154145.5,121110.7,100220.18,145990.92
5,IN_A02,2025-04-01,120734.0,74855.03,166612.97,125657.72,69858.734,181456.7,139160.0,91383.49,186936.52,139160.0,91383.49,186936.52,120734.0,74855.0,166613.0,120734.0,74855.0,166613.0,132370.77,92233.33,172508.22,126783.625,91424.34,158807.9
6,IN_A02,2025-07-01,120734.0,64543.965,176924.03,125657.72,69858.734,181456.7,133215.0,85438.49,180991.52,133215.0,85438.49,180991.52,120734.0,64543.934,176924.06,120734.0,64543.934,176924.06,125745.29,79484.945,172005.64,123311.97,83046.01,160021.03
7,IN_A02,2025-10-01,120734.0,55851.336,185616.66,125657.72,69858.734,181456.7,120734.0,72957.49,168510.52,120734.0,72957.49,168510.52,120734.0,55851.3,185616.7,120734.0,55851.3,185616.7,125958.664,74294.6,177622.73,125221.26,86203.016,166563.31
8,IN_A03,2025-01-01,18266.0,15115.637,21416.363,19970.055,13329.55,26610.559,20180.0,14359.554,26000.445,20180.0,14359.554,26000.445,18266.0,15115.631,21416.37,18266.0,15115.631,21416.37,18439.3,15190.444,21688.158,18412.918,16781.348,20356.084
9,IN_A03,2025-04-01,18266.0,13810.713,22721.287,19970.055,13329.55,26610.559,19852.0,14031.554,25672.445,19852.0,14031.554,25672.445,18266.0,13810.706,22721.295,18266.0,13810.706,22721.295,19415.803,15095.651,23735.951,18761.75,15934.198,21410.516
10,IN_A03,2025-07-01,18266.0,12809.41,23722.59,19970.055,13329.55,26610.559,20074.0,14253.554,25894.445,20074.0,14253.554,25894.445,18266.0,12809.401,23722.6,18266.0,12809.401,23722.6,19429.697,14255.319,24604.074,19145.201,15359.183,22498.797
11,IN_A03,2025-10-01,18266.0,11965.272,24566.727,19970.055,13329.55,26610.559,18266.0,12445.554,24086.445,18266.0,12445.554,24086.445,18266.0,11965.263,24566.738,18266.0,11965.263,24566.738,18442.314,12535.833,24348.793,18274.975,14526.644,21999.268
12,IN_A04,2025-01-01,61806.0,47322.95,76289.05,55518.86,29132.951,81904.766,79409.0,60433.254,98384.74,79409.0,60433.254,98384.74,61806.0,47322.94,76289.06,66412.695,53309.145,79516.24,69865.03,56461.26,83268.81,68749.74,60984.188,77998.375
13,IN_A04,2025-04-01,61806.0,41323.875,82288.125,55518.86,29132.951,81904.766,67185.0,48209.254,86160.74,67185.0,48209.254,86160.74,61806.0,41323.86,82288.14,62866.203,47830.453,77901.95,65525.863,49192.973,81858.75,59797.527,48309.668,70558.99
14,IN_A04,2025-07-01,61806.0,36720.62,86891.38,55518.86,29132.951,81904.766,65540.0,46564.254,84515.74,65540.0,46564.254,84515.74,61806.0,36720.605,86891.4,63138.383,46391.906,79884.86,63343.082,44531.047,82155.12,58924.582,44070.77,72081.86
15,IN_A04,2025-10-01,61806.0,32839.9,90772.1,55518.86,29132.951,81904.766,61806.0,42830.254,80781.74,61806.0,42830.254,80781.74,61806.0,32839.883,90772.12,61836.44,43538.484,80134.4,65725.47,44724.29,86726.66,61876.242,45698.28,77950.45
16,IN_A05,2025-01-01,488.0,391.4949,584.50507,538.2778,334.14496,742.4106,643.0,472.66946,813.33057,643.0,472.66946,813.33057,488.0,391.4948,584.5052,488.0,391.4948,584.5052,513.37396,409.16113,617.58685,488.86423,422.76993,567.5813
17,IN_A05,2025-04-01,488.0,351.52118,624.4788,538.2778,334.14496,742.4106,616.0,445.66946,786.33057,616.0,445.66946,786.33057,488.0,351.52106,624.47894,488.0,351.52106,624.47894,529.91064,382.87463,676.94666,488.86423,376.45078,594.1696
18,IN_A05,2025-07-01,488.0,320.84827,655.15173,538.2778,334.14496,742.4106,574.0,403.66946,744.33057,574.0,403.66946,744.33057,488.0,320.8481,655.15186,488.0,320.8481,655.15186,518.8415,338.89114,698.7919,488.86423,341.36017,619.521
19,IN_A05,2025-10-01,488.0,294.9898,681.0102,538.2778,334.14496,742.4106,488.0,317.66946,658.33057,488.0,317.66946,658.33057,488.0,294.98962,681.0104,488.0,294.98962,681.0104,501.12262,293.40173,708.8435,488.86423,335.87445,640.87286
