unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,SeasonalNaive
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,WindowAverage
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,Naive
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,HoltWinters
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,HistoricAverage
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,SeasonalNaive
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,WindowAverage
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,Naive
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,HoltWinters
IN_A01,2025-01-01,51744.0,-9676.8876953125,113164.890625,HistoricAverage
IN_A01,2025-01-01,26000.0,-3403.6552734375,55403.65625,SeasonalNaive
IN_A01,2025-01-01,26000.0,-3403.6552734375,55403.65625,WindowAverage
IN_A01,2025-01-01,26000.0,-3403.6552734375,55403.65625,Naive
IN_A01,2025-01-01,26000.0,-3403.6552734375,55403.65625,HoltWinters
IN_A01,2025-01-01,26000.0,-3403.6552734375,55403.65625,HistoricAverage
IN_A01,2025-01-01,22626.171875,-10915.767578125,56168.11328125,SeasonalNaive
IN_A01,2025-01-01,22626.171875,-10915.767578125,56168.11328125,WindowAverage
IN_A01,2025-01-01,22626.171875,-10915.767578125,56168.11328125,Naive
IN_A01,2025-01-01,22626.171875,-10915.767578125,56168.11328125,HoltWinters
IN_A01,2025-01-01,22626.171875,-10915.767578125,56168.11328125,HistoricAverage
IN_A01,2025-01-01,40597.41796875,-5792.78955078125,86987.625,SeasonalNaive
IN_A01,2025-01-01,40597.41796875,-5792.78955078125,86987.625,WindowAverage
IN_A01,2025-01-01,40597.41796875,-5792.78955078125,86987.625,Naive
IN_A01,2025-01-01,40597.41796875,-5792.78955078125,86987.625,HoltWinters
IN_A01,2025-01-01,40597.41796875,-5792.78955078125,86987.625,HistoricAverage
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,SeasonalNaive
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,WindowAverage
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,Naive
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,HoltWinters
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,HistoricAverage
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,SeasonalNaive
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,WindowAverage
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,Naive
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,HoltWinters
IN_A01,2025-04-01,32778.0,-28642.888671875,94198.890625,HistoricAverage
IN_A01,2025-04-01,26000.0,-15583.0478515625,67583.046875,SeasonalNaive
IN_A01,2025-04-01,26000.0,-15583.0478515625,67583.046875,WindowAverage
IN_A01,2025-04-01,26000.0,-15583.0478515625,67583.046875,Naive
IN_A01,2025-04-01,26000.0,-15583.0478515625,67583.046875,HoltWinters
IN_A01,2025-04-01,26000.0,-15583.0478515625,67583.046875,HistoricAverage
IN_A01,2025-04-01,26997.65234375,-20437.177734375,74432.484375,SeasonalNaive
IN_A01,2025-04-01,26997.65234375,-20437.177734375,74432.484375,WindowAverage
IN_A01,2025-04-01,26997.65234375,-20437.177734375,74432.484375,Naive
IN_A01,2025-04-01,26997.65234375,-20437.177734375,74432.484375,HoltWinters
IN_A01,2025-04-01,26997.65234375,-20437.177734375,74432.484375,HistoricAverage
IN_A01,2025-04-01,40597.41796875,-5792.78955078125,86987.625,SeasonalNaive
IN_A01,2025-04-01,40597.41796875,-5792.78955078125,86987.625,WindowAverage
IN_A01,2025-04-01,40597.41796875,-5792.78955078125,86987.625,Naive
IN_A01,2025-04-01,40597.41796875,-5792.78955078125,86987.625,HoltWinters
IN_A01,2025-04-01,40597.41796875,-5792.78955078125,86987.625,HistoricAverage
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,SeasonalNaive
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,WindowAverage
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,Naive
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,HoltWinters
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,HistoricAverage
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,SeasonalNaive
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,WindowAverage
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,Naive
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,HoltWinters
IN_A01,2025-07-01,45852.0,-15568.8876953125,107272.890625,HistoricAverage
IN_A01,2025-07-01,26000.0,-24928.625,76928.625,SeasonalNaive
IN_A01,2025-07-01,26000.0,-24928.625,76928.625,WindowAverage
