unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_A01,mae,65182.5,9704.5,56030.25,56030.25,65182.5,65182.5,74286.931640625,66226.07421875
IN_A02,mae,13813.25,13238.296875,30624.0,30624.0,19098.0,19098.0,22255.31640625,18585.6875
IN_A03,mae,1577.0,534.0,3893.5,3893.5,1577.0,1577.0,2599.14990234375,1593.412109375
IN_A04,mae,6674.5,14586.90625,8320.625,5717.25,6674.5,6674.5,6882.8359375,6542.7578125
IN_A05,mae,59.25,69.734375,119.0,119.0,59.25,59.25,83.57864379882812,59.56097412109375
IN_A06,mae,34794.5,55796.5625,28950.75,28950.75,31313.609375,31313.609375,27250.0390625,30313.765625
IN_A07,mae,32945.0,8396.25,27865.25,27865.25,28206.0859375,28206.0859375,30166.5341796875,27342.9375
IN_A09,mae,114.5,207.25,220.0,220.0,114.5,114.5,236.70892333984375,189.6978759765625
IN_A10,mae,7758.25,23082.3125,27122.5,27122.5,7758.25,7758.25,24169.12890625,7761.3828125
IN_A11,mae,2140.0,12696.6875,1941.75,2555.5,2326.048828125,4226.6884765625,2188.7509765625,2079.25
IN_A12,mae,16347.75,5939.484375,21176.0,21176.0,10711.8251953125,8531.212768554688,20364.0673828125,16446.515625
IN_A16,mae,68.5,286.3125,113.25,93.5,56.12506103515625,101.61972045898438,42.4986572265625,63.9573974609375
IN_B01,mae,14349.5,8071.03125,7332.0,9598.5,14349.5,14349.5,7779.3779296875,13097.24609375
IN_B02,mae,625.25,625.25,1106.25,1228.75,861.0257568359375,861.0257568359375,1088.8410034179688,865.118408203125
IN_B03,mae,13033.5,6174.203125,14656.5,14656.5,14106.4326171875,14106.4326171875,7459.5771484375,12696.96484375
IN_B05,mae,12879.0,5779.34375,13680.5,13680.5,9439.0078125,9439.0078125,14122.882080078125,12884.6416015625
IN_B06,mae,379.25,205.53125,114.75,217.5,204.43212890625,204.43212890625,130.61212158203125,194.14178466796875
IN_C01,mae,24481.0,19849.125,18472.25,18472.25,19849.125,19659.2392578125,20014.3154296875,19955.830078125
IN_C02,mae,16771.5,6058.03125,14598.25,14598.25,13970.625,16760.904296875,13579.8515625,14978.921875
IN_C03,mae,4527.5,6121.84375,10897.0,10897.0,8062.234375,8062.234375,18480.54296875,6290.6953125
IN_C04,mae,22.5,122.8125,25.5,25.5,45.9408073425293,45.9408073425293,22.19927215576172,39.531494140625
IN_C05,mae,6488.0,2276.046875,5780.0,7642.0,2985.287353515625,1304.76806640625,5309.9853515625,4752.478515625
IN_C07,mae,7422.5,5733.90625,15212.75,15212.75,9834.09375,9834.09375,14787.845703125,7473.703125
IN_C08,mae,3727.5,4000.546875,8400.25,8400.25,8207.0703125,8207.0703125,8650.732421875,4057.8701171875
IN_C09,mae,12919.5,7621.9375,23521.0,23521.0,12919.5,12919.5,19276.64453125,12982.8515625
IN_C10,mae,6956.75,8658.375,15990.5,15990.5,6956.75,6956.75,13441.6875,6991.71875
IN_D01,mae,3979.0,6407.421875,6215.0,8451.0,6178.3642578125,6178.3642578125,6734.10400390625,6057.9853515625
IN_D02,mae,812.25,812.25,1189.25,1171.75,888.7342529296875,888.7342529296875,664.138427734375,688.5556030273438
IN_D03,mae,10.5,230.97999572753906,47.75,63.25,216.60866165161133,216.60866165161133,40.40109956264496,23.62405014038086
IN_D04,mae,7672.25,2747.78125,5265.0,5265.0,7672.25,7672.25,6040.246826171875,6224.846923828125
IN_D05,mae,1529.5,2674.40625,1000.5,793.25,1529.5,1529.5,1654.681396484375,1498.6326904296875
IN_D06,mae,10535.5,10603.90625,15488.75,15488.75,15258.314453125,15258.314453125,16101.5263671875,15314.763671875
IN_D07,mae,15734.0,22184.1875,16274.375,7440.75,15734.0,15734.0,13972.0703125,15734.0
