unique_id,cutoff,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_D03,2018-04-01,mae,1680.25,2331.51222222222,1680.25,1995.25,2331.51222222222,2331.51222222222,1995.25,2339.850113273362
IN_V06,2018-10-01,mae,67547.0,61975.0,61975.0,85949.25,61975.0,61975.0,125699.92502980254,61975.0
IN_D03,2019-04-01,mae,7964.25,7760.876153846155,9375.0,9375.0,7760.876153846146,7760.876153846146,9903.384516879296,8066.228284374731
IN_A01,2019-10-01,mae,975413.5557500002,689591.5382500001,623454.701875,1251017.4440000001,689591.5382499996,689591.5382499996,1018003.3175183388,665101.323569832
IN_A02,2019-10-01,mae,737903.584,977994.0087187502,900604.8633750004,789587.8487500001,977994.0087187493,1177295.461060785,1169865.9122281908,1036447.2420568878
IN_A03,2019-10-01,mae,195144.8627499999,102365.0875000002,111919.66674999992,170871.62274999998,102365.08749999903,102365.08749999903,128887.06492130755,113333.70206273632
IN_A04,2019-10-01,mae,102414.44924999998,183353.11575000008,125374.81737500001,117772.09650000001,102414.44924999998,85287.9120833333,104878.53395317422,157383.6790378299
IN_A05,2019-10-01,mae,4008.303249999999,6581.361375000002,2857.928249999999,3086.6532499999994,4008.303249999999,4008.303249999999,3263.187369077472,3653.937000782773
IN_A06,2019-10-01,mae,1243775.2474999996,9549552.339312501,4973026.964999999,5031941.115,3125170.191472548,3125170.191472548,3844437.3376310337,3659472.6459714016
IN_A07,2019-10-01,mae,682422.2335,516625.57662499987,801437.5335,801437.5335,471906.66248777666,471906.66248777666,560787.5785175946,756579.834033887
IN_A09,2019-10-01,mae,19650.75,119825.0625,20440.5,40848.0,19650.75,19650.75,86342.1679366689,46636.23137455317
IN_A10,2019-10-01,mae,1117780.5957500003,1902793.6528124996,1167610.0905,1167610.0905000002,581668.03815925,581668.03815925,789341.9923613961,1117275.2496575257
IN_A11,2019-10-01,mae,14979.915999999997,19671.402437500015,14979.915999999997,19580.664249999994,14979.915999999997,12580.54180105777,25613.479921423335,17813.001149421507
IN_A12,2019-10-01,mae,5867053.18325,1647664.22125,8133665.66825,8133665.66825,5867053.18325,5867053.18325,7312668.451587523,6334271.269534715
IN_A16,2019-10-01,mae,21379.596499999985,28592.049437499983,28511.019874999998,17034.081749999983,28592.0494375001,17034.081749999983,17942.70174068377,26101.095172388814
IN_B01,2019-10-01,mae,286375.71825000003,319650.18937499996,259548.65637500014,244508.72149999999,518014.4047086969,518014.4047086969,564197.4725540228,590567.3775355042
IN_B02,2019-10-01,mae,1155685.6002499997,1374848.5071249995,1302005.869,1322972.2789999999,1386814.5715758959,1386814.5715758959,1277110.4485862833,1239030.8905212027
IN_B03,2019-10-01,mae,194305.93274999998,231215.813875,194305.93274999998,216687.26625,231215.81387499988,231215.81387499988,160852.49389141845,193193.27094639314
IN_B05,2019-10-01,mae,4903845.048249999,1227091.6403125017,5931450.713500001,5931450.7135,4903845.048249999,4903845.048249999,5722856.551890388,4326288.233355805
IN_B06,2019-10-01,mae,31320.6375,21538.3415625,18592.9625,18592.9625,21538.341562499987,21538.341562499987,21775.89612604788,21420.609984984578
IN_C01,2019-10-01,mae,1291342.1485000001,428893.60043750005,911378.57125,911378.57125,629361.7182301531,629361.7182301531,992874.9102920057,526361.9733150101
IN_C02,2019-10-01,mae,223258.78350000002,757287.7128125,261064.9279999995,280399.2139999999,223258.78350000002,223258.78350000002,392233.3781563109,313893.7649996086
IN_C03,2019-10-01,mae,684273.5525000002,1145988.9111250006,714280.463,714280.4630000001,182728.73914755927,182728.73914755927,343179.4474563182,403697.99476180924
IN_C04,2019-10-01,mae,7063.65625,1452.34375,1472.90625,3641.84375,2200.6656833673014,2200.6656833673014,2390.2261481305413,1452.343749999999
IN_C05,2019-10-01,mae,212252.732,281475.1796875,203939.96199999997,203939.96199999997,281475.17968750023,281475.17968750023,167410.239703887,264796.54860236624
IN_C07,2019-10-01,mae,833419.8425000003,1470818.5660000006,890670.6399999997,890670.6400000001,281709.8638474988,281709.8638474988,495741.9641668815,833535.9538092753
IN_C08,2019-10-01,mae,393950.5179999998,712118.5492499998,443050.5094999998,443050.5094999999,179111.3616530142,179111.3616530142,242819.02314930665,296050.1741196549
IN_C09,2019-10-01,mae,518016.6080000005,924101.1586249997,592430.9305000002,592430.9305,518016.6080000005,518016.6080000005,367871.3498863699,520299.4561161003
IN_C10,2019-10-01,mae,579336.0329999998,1430906.2912499998,736633.1509999996,736633.1509999998,202502.43463805853,202502.43463805853,285354.5436773263,383308.0232400417
IN_D01,2019-10-01,mae,781059.7775,638124.4805625001,748861.59175,748861.59175,638124.4805625003,638124.4805625003,872286.0009962673,685121.4945073236
IN_D02,2019-10-01,mae,158341.059,142209.61353124998,137789.1015,220500.93575,149007.88670577644,149007.88670577644,184534.69497606508,158047.3301156321
IN_D04,2019-10-01,mae,136338.78850000002,205965.6978125,161891.456,124263.7435,136338.78850000002,136338.78850000002,206933.81487774587,168393.345856219
IN_D05,2019-10-01,mae,38594.3,31667.031249999996,32625.024999999998,32625.025,31667.03124999998,31667.03124999998,38948.63319336699,38465.29164202874
IN_D06,2019-10-01,mae,145454.43075,67005.92874999998,69629.264625,141663.46899999998,67005.92874999998,67005.92874999998,112631.33009860387,67005.92874999999
IN_D07,2019-10-01,mae,386863.5462499999,838021.3216250001,713248.0939999998,713248.0939999999,605361.147453778,443560.2209999999,972938.6551584412,858027.3849104668
IN_D08,2019-10-01,mae,92937.25,210633.96875,544387.75,680024.25,101618.25,101618.25,791286.0764260492,309194.16548551223
IN_D10,2019-10-01,mae,127437.92025,132219.13890625004,147480.966875,167524.01350000003,132219.13890625015,132219.13890625015,150748.0215992572,143121.5795930261
IN_D11,2019-10-01,mae,301614.81074999995,99711.00631249989,194290.87524999992,208997.29674999998,205162.01229478733,124522.37228256749,344309.7981665125,176513.36892684404
IN_G01,2019-10-01,mae,142681.74949999998,346532.846875,180912.0246249999,219142.29975,142681.74949999998,142681.74949999998,269612.9329413755,226358.58704558457
IN_G02,2019-10-01,mae,2321939.65,1547745.0109374998,2259758.65,2259758.65,2345075.3713571364,2345075.3713571364,2270358.0128024695,2259153.411130734
IN_G03,2019-10-01,mae,398293.86924999993,590767.9374375001,540901.5525000002,540901.5525,590767.9374374994,590767.9374374994,435432.67941703374,534981.5412655316
IN_G04,2019-10-01,mae,331168.6997499998,328835.5914687499,315756.75324999995,225423.30200000003,328835.5914687504,328835.5914687504,227357.04854861752,324773.31239201676
IN_H01,2019-10-01,mae,11589.269500000002,21416.946437500017,6647.488499999985,8426.838500000005,27660.3044227968,27660.3044227968,24441.1497870081,11513.853582100863
IN_H02,2019-10-01,mae,680130.9354999999,355477.77725,718770.8162500001,718770.8162499999,423656.9378606501,423656.9378606501,569133.3857059982,646652.3279946004
IN_H03,2019-10-01,mae,312426.30000000005,483445.1420000002,297009.11250000005,297009.11250000005,410591.30000000005,410591.30000000005,113713.75772378652,266203.68237654783
IN_H04,2019-10-01,mae,101.5,111.97128125000006,108.72500000000002,102.75,111.97128124999972,102.75,139.56205680569798,118.61601133375257
IN_H05,2019-10-01,mae,1974.3184999999994,3723.2363124999983,1963.04425,1764.4935,1974.3184999999994,1974.3184999999994,8848.744919173838,1429.7246431109347
IN_J01,2019-10-01,mae,6152098.577749999,4674746.5668125,4802516.3715,3962498.10525,4690259.887019364,3962498.10525,3755784.3280836847,4801731.038555611
IN_J02,2019-10-01,mae,29216.861999999997,27524.499906249996,13553.869999999999,26522.538500000002,27524.499906250025,27524.499906250025,36898.20641018016,23697.976592040195
IN_J04,2019-10-01,mae,3473.8332500000006,4780.023562500001,3473.8332500000006,4095.8065000000006,3473.8332500000006,3473.8332500000006,4743.5321518213095,3473.8332500000006
IN_J05,2019-10-01,mae,817393.87825,720748.7226249999,870937.9062499999,322612.3097499999,720748.7226250002,420467.46070833324,528446.2607375738,359100.0524650258
IN_J06,2019-10-01,mae,5400.65625,3818.2158750000017,22386.694749999995,22386.69475,3818.215874999987,3818.215874999987,15970.004239832808,3462.1267636227967
IN_L01,2019-10-01,mae,69856.14425000003,55202.37575000002,101501.60375,101501.60375000001,55202.375749999905,55202.375749999905,78511.87750838975,70703.59528195926
IN_L02,2019-10-01,mae,192875.29025000002,151400.68825,271163.41612500005,349451.542,195222.6947422101,195222.6947422101,368480.76813696633,212155.7289156047
IN_L03,2019-10-01,mae,344.54724999999996,1969.1047500000004,337.5482499999997,426.69124999999985,383.45314032444355,383.45314032444355,1157.1624634907528,304.6061995961568
IN_L04,2019-10-01,mae,160283.07825000005,94225.18356250008,160069.81274999995,160069.81275,94225.18356249973,94225.18356249973,118026.42342999563,145870.99005173557
IN_M01,2019-10-01,mae,334550.30874999985,397793.8373125,537853.4727500002,836474.03675,398527.83243614016,398527.83243614016,488694.6146213043,324951.3391259797
IN_M02,2019-10-01,mae,392940.9035,516126.0567500001,1026024.5387499997,1026024.53875,516126.0567500008,516126.0567500008,601931.9005269173,446587.4953176772
IN_M03,2019-10-01,mae,310970.8384999996,686284.6496249996,294641.5939999996,294641.5939999998,308025.06304830033,308025.06304830033,225861.9016271832,310615.9884377774
IN_M04,2019-10-01,mae,29356.75,52370.43125000002,32925.59999999998,32925.600000000006,12328.914995864674,12328.914995864674,22488.36087003094,29333.820943415223
IN_M05,2019-10-01,mae,5931.095999999999,12714.5686875,5319.125000000001,5319.124999999999,5931.095999999999,5931.095999999999,5090.304510430955,5934.50920659116
IN_M09,2019-10-01,mae,1426.7275,1125.7775000000001,1306.8525,1186.9775,1426.7275,1186.9775,1186.9775,1333.6023697727353
IN_N01,2019-10-01,mae,99997.13399999999,90731.00371874998,75565.344,96292.094,99997.13399999999,99997.13399999999,99387.06129137085,98386.67700036759
IN_N02,2019-10-01,mae,1921537.687500001,1173883.1937499987,3049602.745000002,3049602.745000001,1921537.687500001,1921537.687500001,5183462.6370906215,2386480.8962397957
IN_N03,2019-10-01,mae,831857.8499999992,1984001.8043749998,1260541.1374999988,1260541.1374999997,1185599.2479687794,1185599.2479687794,828492.0512481607,859701.6945252661
IN_N04,2019-10-01,mae,118696.125,318545.858125,154545.0625,154545.0625,23848.497138496314,23848.497138496314,16396.91606302082,64509.21414648235
IN_N05,2019-10-01,mae,2377433.0050000004,3346636.06,2809494.9175,2809494.9175,3346636.0599999945,3346636.0599999945,2621564.852425877,2380952.341359248
IN_N06,2019-10-01,mae,2575140.4899999984,4687429.7356250025,2944685.8200000003,2944685.8199999994,1540097.5270938482,1540097.5270938482,1863080.780038544,1995170.1099318545
IN_N07,2019-10-01,mae,738866.1070000001,885090.0405937501,756498.017375,498073.3077500001,738866.1070000001,738866.1070000001,539063.4778542105,713887.0315372586
IN_P01,2019-10-01,mae,230491.4525,222033.56656250003,188549.96625,208760.10375,222033.5665624999,222033.5665624999,175829.2596245244,208818.76402231795
IN_P02,2019-10-01,mae,1311.75,29798.6875,1321.0,2556.0,29798.687500000015,29798.687500000015,46770.02019541738,23176.81441189734
IN_P03,2019-10-01,mae,135114.5,186203.47499999998,111867.5,122930.0,186203.47500000033,73818.16327362134,96336.05192210143,113149.08426024909
IN_R01,2019-10-01,mae,1243072.93075,1207217.180375,1522602.89,1367946.52575,1308986.31681961,1666129.5091246709,1767478.8317587958,1546433.9078770964
IN_R02,2019-10-01,mae,708632.555,797012.58821875,554771.6299999999,1209410.01,797012.5882187504,797012.5882187504,758706.5435074568,621533.3536217925
IN_R03,2019-10-01,mae,618573.8750000005,1438271.6870624996,982192.7599999993,982192.7600000002,618573.8750000005,982192.7600000002,520722.0317445551,1012368.1189727401
IN_R05,2019-10-01,mae,566367.7119999998,534070.6448749998,772599.6897499999,846874.7607499998,566367.7119999998,566367.7119999998,1890102.7458240069,997507.4194334566
IN_R06,2019-10-01,mae,849867.8735000002,508856.753,522399.8382500005,842355.5680000002,508856.753,508856.753,986626.5709476753,802000.8095779759
IN_R07,2019-10-01,mae,8484.0,26249.5,14959.0,14959.0,10709.242798261816,10709.242798261816,9051.243642006426,8766.143732416127
IN_S01,2019-10-01,mae,442335.0644999994,693805.7484374996,190094.6830000002,277122.2999999998,285108.9376867681,285108.9376867681,1129724.7081963199,288494.3276850359
IN_S02,2019-10-01,mae,658556.4715,795884.2314687499,805878.8288749999,869024.32275,795884.23146875,795884.23146875,782238.2241026004,757944.0858011474
IN_S03,2019-10-01,mae,206814.042,161920.7775,161920.7775,358236.869,161920.7775,161920.7775,329715.430800556,161920.7775
