unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_A01,mae,1644263.4787499998,646062.8673125001,1657175.8702499997,1657175.8702500002,646062.8673125006,646062.8673125006,1308182.6226082346,964142.2580527384
IN_A02,mae,1644227.1300000001,803841.821375,2119577.0610000016,2119577.0609999998,1685197.5719422933,1685197.5719422933,2302530.801857181,1714863.4091237367
IN_A03,mae,155001.72499999998,89965.65249999997,274847.82500000007,274847.82499999995,155001.72499999998,155001.72499999998,179734.7604503939,173664.7481960979
IN_A04,mae,110126.03399999999,528690.827375,118020.49587500002,68413.65974999999,172280.95944252872,95084.46534906985,143807.97348706052,181120.6179446238
IN_A05,mae,3772.375,14403.485125,7048.095750000008,7048.095750000004,5164.211209677422,5164.211209677422,6510.759168261164,3772.375
IN_A06,mae,2289410.7875000015,4767105.399656253,2200202.8412500024,2110994.8950000005,2349763.9498707466,2349763.9498707466,2295632.7728174003,2292233.5879152976
IN_A07,mae,593350.4855,161260.96400000004,661790.1047499999,661790.1047499999,596451.704443333,733425.0975622743,723203.5100637493,586123.7145046748
IN_A09,mae,40866.0,48692.609375,59961.75,59961.75,74787.03662117608,74787.03662117608,89066.62528323973,59100.22168258787
IN_A10,mae,534061.3700000006,1367850.837499999,1287854.5925000007,1287854.5925000007,944084.9614516133,944084.9614516133,1305825.9015160687,1037239.8408827847
IN_A11,mae,56040.26074999999,383563.784875,148969.86375,148969.86375000002,56040.26074999999,56040.26074999999,33500.837050642935,56302.84308830855
IN_A12,mae,14026608.995,4113741.235,14280016.070000002,14280016.07,7862473.907539725,5243438.149689298,16807991.74113363,13872320.575216135
IN_A16,mae,13924.589250000005,46422.099843749995,26590.712125000005,20934.241000000024,19980.800394562277,16511.29214460506,17674.05834098965,14937.425808227636
IN_B01,mae,299229.69499999983,650951.1991874999,162228.34512500023,186748.6372499999,299229.69499999983,186667.5127023824,226972.7704359776,238928.3459770747
IN_B02,mae,140690.2699999999,1121349.6375000002,807353.2287499997,807353.2287499999,990782.3472592093,990782.3472592093,192556.22725865472,512758.82825230656
IN_B03,mae,418958.59774999984,236736.23253125008,422015.58050000004,422015.58050000004,366742.17512862117,366742.17512862117,177957.11951857057,374639.6193964769
IN_B05,mae,11937300.963,4867329.223234376,8591319.73425,9315666.04425,7027386.140273406,7027386.140273406,10824610.075401375,10936492.799927799
IN_B06,mae,45092.49175,11726.202250000002,17723.13475,17195.14275,31616.764366090632,31616.764366090632,24954.54448409501,29800.015628833215
IN_C01,mae,1350654.5515,1364247.3215625002,1238674.1455,1238674.1455,1364247.3215624997,1403641.833199492,1256189.4961461117,1325282.4250217045
IN_C02,mae,926954.0802500001,414262.7628281249,718204.87525,718204.87525,902724.9818161769,1046042.5428648776,935335.0930869011,862661.8735954646
IN_C03,mae,253505.218,528560.5202500002,488659.63824999996,488659.63824999996,528647.7614881931,528647.7614881931,1203931.3317834,404124.9457476983
IN_C04,mae,1671.75,5463.80859375,1671.75,1584.75,1850.7374494719897,1850.7374494719897,1005.1586007083079,1724.1445040227954
IN_C05,mae,159462.61250000002,88433.62318750002,145843.66425,208381.69324999998,112817.68612670174,112817.68612670174,123676.59313572521,136015.55793887374
IN_C07,mae,470022.257,997570.8059375,900695.5344999998,900695.5344999998,773921.6724032259,773921.6724032259,880821.522295231,865825.6519311424
IN_C08,mae,184286.5,614756.8185937498,367084.125,367084.125,316656.730484169,316656.730484169,414900.6004963248,316854.7761706157
IN_C09,mae,714403.12625,809492.8779375001,1154589.9937499997,1154589.99375,1024649.380201315,1024649.380201315,1153695.5048974364,875233.6559818089
IN_C10,mae,366626.27899999986,1614678.7579375,672247.7490000001,672247.7490000001,685036.2871612904,685036.2871612904,791906.1551002595,680215.1367764997
IN_D01,mae,318393.94225,633209.33684375,376469.5775000001,376469.5775000001,653062.7302570852,653062.7302570852,229862.04856509215,301234.4735322005
IN_D02,mae,93595.897,97476.0488125,121111.85250000004,121111.85250000002,85514.7275407202,85514.7275407202,66981.51967236312,69136.98901607802
IN_D03,mae,10.5,15034.6544,1551.75,1567.25,6500.75733598352,6500.75733598352,1870.3719648245115,9.813028759257122
IN_D04,mae,29235.158999999985,127574.75881250005,111697.60725,143548.82874999996,96217.53904015181,96217.53904015181,200533.45040470234,152996.77895263015
IN_D05,mae,20389.5,48370.834375000006,14450.425000000003,14450.425,20389.5,20389.5,11736.673189896344,18629.791981647053
IN_D06,mae,352342.86275,292846.58412500005,449293.71275000006,449293.71275,420221.92216366087,420221.92216366087,457444.32223345165,420636.11665758956
IN_D07,mae,523161.76875,696866.508640625,368561.03875,384594.8322499999,516716.0545386251,516716.0545386251,394487.99511733424,472196.037937981
IN_D08,mae,2587256.5,967596.0,1205214.25,1620386.5,967596.0,1117175.106304076,1317398.6929197032,1102044.3727725712
