unique_id,best_model,consistency_ratio,confidence,n_windows,win_count,avg_mae,std_mae
IN_A01,HistoricAverage,0.6666666666666666,Medium,3,2,690852.0081093751,126741.6362859715
IN_A02,SARIMAX,1.0,High,3,3,808856.5309150586,193791.0409360307
IN_A03,SARIMAX,0.3333333333333333,Low,3,1,204208.91789508995,163363.1903662908
IN_A04,SARIMAX,0.6666666666666666,Medium,3,2,161059.4157700131,48523.477780482775
IN_A05,SARIMAX,0.6666666666666666,Medium,3,2,5622.017382579538,2915.0455526784463
IN_A06,WindowAverage,0.3333333333333333,Low,3,1,2231991.993541667,358330.7946583295
IN_A07,WindowAverage,0.6666666666666666,Medium,3,2,232110.88318750003,85669.25612183612
IN_A09,SARIMAX,0.6666666666666666,Medium,3,2,63300.77922192876,21158.288000229997
IN_A10,SARIMAX,0.6666666666666666,Medium,3,2,308346.5067258263,65743.7093529381
IN_A11,SARIMAX,0.6666666666666666,Medium,3,2,149710.5713355782,144345.94642491205
IN_A12,HistoricAverage,0.6666666666666666,Medium,3,2,8559839.807677083,4273082.167166909
IN_A16,SeasonalNaive,0.6666666666666666,Medium,3,2,19655.797583333337,3811.312888527249
IN_B01,WindowAverage,0.6666666666666666,Medium,3,2,388738.6969999997,408771.6066243864
IN_B02,HistoricAverage,0.6666666666666666,Medium,3,2,481132.4902010416,219980.69094524666
IN_B03,HistoricAverage,1.0,High,3,3,356848.9984861111,205460.38281439556
IN_B05,HistoricAverage,0.3333333333333333,Low,3,1,7794969.28263889,2215578.1634459123
IN_B06,HistoricAverage,0.3333333333333333,Low,3,1,41192.29495138888,25679.383363403806
IN_C01,HistoricAverage,0.3333333333333333,Low,3,1,534883.7437222223,254942.1749358996
IN_C02,SARIMAX,0.6666666666666666,Medium,3,2,334387.7940739646,60179.09627221288
IN_C03,WindowAverage,0.3333333333333333,Low,3,1,391298.2578125002,237225.98351061365
IN_C04,Naive,0.6666666666666666,Medium,3,2,2181.9583333333335,597.2126052197269
IN_C05,HistoricAverage,0.6666666666666666,Medium,3,2,140103.7984,44728.24882841499
IN_C07,SARIMAX,0.6666666666666666,Medium,3,2,376712.61615638767,195009.0577082451
IN_C08,SARIMAX,1.0,High,3,3,143506.54885294632,35718.97212636863
IN_C09,SARIMAX,1.0,High,3,3,405746.5262609259,295547.1559553168
