unique_id,best_model,consistency_ratio,confidence,n_windows,win_count,avg_mae,std_mae
IL_A01,Naive,0.6666666666666666,Medium,3,2,2034930.1158750001,1317760.1807778561
IL_A02,SARIMAX,1.0,High,3,3,1507864.1744541514,1263384.9991652817
IL_A03,WindowAverage,0.6666666666666666,Medium,3,2,281145.1490208332,167643.2296981237
IL_A04,ARIMAX,0.6666666666666666,Medium,3,2,171399.06846113902,56349.004525177115
IL_A05,SARIMAX,0.6666666666666666,Medium,3,2,22521.06056547005,15407.015526607867
IL_A06,WindowAverage,0.6666666666666666,Medium,3,2,5486962.214166667,571066.6472305487
IL_A07,SARIMAX,0.6666666666666666,Medium,3,2,380560.51729280775,256874.00329198022
IL_A09,Naive,0.6666666666666666,Medium,3,2,135924.375,88007.71948998635
IL_A10,SARIMAX,1.0,High,3,3,2323182.8689110116,1252881.584117063
IL_A11,WindowAverage,0.6666666666666666,Medium,3,2,121959.37533333332,77784.66668501578
IL_A12,HistoricAverage,0.6666666666666666,Medium,3,2,9446172.746538542,3989140.511066305
IL_A16,SARIMAX,0.6666666666666666,Medium,3,2,26217.588416788243,18526.06453567466
IL_B01,WindowAverage,0.3333333333333333,Low,3,1,929991.9985000006,247894.234983154
IL_B02,SARIMAX,0.6666666666666666,Medium,3,2,795175.248715063,445503.3658677423
IL_B03,Naive,0.6666666666666666,Medium,3,2,818527.328125,334868.6155542762
IL_B05,HistoricAverage,0.6666666666666666,Medium,3,2,8198015.5333440965,1682106.1735978848
IL_B06,HistoricAverage,0.6666666666666666,Medium,3,2,28345.4773,12640.83909481529
IL_C01,WindowAverage,0.6666666666666666,Medium,3,2,563690.1945833334,185742.25918369155
IL_C02,Naive,0.6666666666666666,Medium,3,2,541790.9768333334,255224.94869251375
IL_C03,SeasonalNaive,0.3333333333333333,Low,3,1,1116645.5554583336,628729.9102059695
IL_C04,HistoricAverage,0.3333333333333333,Low,3,1,7659.915277777777,2786.727760252646
IL_C05,SARIMAX,0.6666666666666666,Medium,3,2,766452.1708141277,384635.8645702612
IL_C07,SARIMAX,0.3333333333333333,Low,3,1,1549731.3192796875,850170.3756313041
IL_C08,SARIMAX,1.0,High,3,3,704736.1929388159,351626.1620890453
IL_C09,SARIMAX,0.6666666666666666,Medium,3,2,1445128.8118683852,116474.41939081521
IL_C10,SARIMAX,0.6666666666666666,Medium,3,2,1712902.3974820247,659601.0002267776
IL_D01,HistoricAverage,0.6666666666666666,Medium,3,2,416720.68212500005,179365.6276906385
IL_D02,ARIMAX,0.3333333333333333,Low,3,1,250408.97675646725,23019.72478889461
IL_D03,WindowAverage,0.6666666666666666,Medium,3,2,16039.104166666666,5831.342194586473
IL_D04,HistoricAverage,0.3333333333333333,Low,3,1,413271.50675208337,97066.59946436509
IL_D05,SARIMAX,0.3333333333333333,Low,3,1,38010.41701501992,22568.954695599758
IL_D06,HistoricAverage,1.0,High,3,3,272998.0289708334,54569.15673149473
IL_D07,HistoricAverage,0.6666666666666666,Medium,3,2,624192.2861090278,79420.0944342715
IL_D08,Naive,1.0,High,3,3,1377900.99325,343559.79707459395
IL_D10,ARIMAX,0.3333333333333333,Low,3,1,346586.9014876993,86930.99381539032
IL_D11,HistoricAverage,0.3333333333333333,Low,3,1,348716.66017916665,201964.50084601223
IL_G01,HistoricAverage,0.3333333333333333,Low,3,1,628597.91115625,228169.3725299877
IL_G02,Naive,0.3333333333333333,Low,3,1,1609957.0958333334,1062398.8736668748
IL_G03,SeasonalNaive,0.6666666666666666,Medium,3,2,519542.37016666663,113653.96060741044
IL_G04,SARIMAX,0.3333333333333333,Low,3,1,672136.084815685,18199.03240846428
IL_H01,HistoricAverage,0.6666666666666666,Medium,3,2,9454.878236111108,5611.464108306129
IL_H02,WindowAverage,0.3333333333333333,Low,3,1,678871.8860208333,87451.56521131693
IL_H03,SARIMAX,0.6666666666666666,Medium,3,2,356991.49401709763,166750.96809661333
IL_H04,SARIMAX,0.6666666666666666,Medium,3,2,252.53414160630498,87.98247747855595
IL_H05,Naive,0.3333333333333333,Low,3,1,19117.30654166666,12405.901836991085
IL_J01,HistoricAverage,0.3333333333333333,Low,3,1,4895751.604402778,376933.9231583054
IL_J02,HistoricAverage,0.6666666666666666,Medium,3,2,182421.9153125,92277.27846576642
IL_J04,HistoricAverage,0.6666666666666666,Medium,3,2,9538.235597222223,3477.41670357875
IL_J05,Naive,0.6666666666666666,Medium,3,2,929998.9348749999,849931.3921118877
IL_J06,HistoricAverage,0.6666666666666666,Medium,3,2,25665.94659722222,5865.058291001238
IL_L01,SARIMAX,0.3333333333333333,Low,3,1,173733.67370392854,72537.0111081586
IL_L02,WindowAverage,0.3333333333333333,Low,3,1,230630.6199791667,22075.00395930239
IL_L03,WindowAverage,0.3333333333333333,Low,3,1,1721.7095208333333,1567.5611421278068
IL_L04,SARIMAX,0.6666666666666666,Medium,3,2,308233.79477673146,4030.087772411073
IL_M01,HistoricAverage,0.6666666666666666,Medium,3,2,727153.5704791667,272889.2760623064
IL_M02,ARIMAX,1.0,High,3,3,1141800.6591499439,351037.82032084017
IL_M03,WindowAverage,0.3333333333333333,Low,3,1,623807.2285208333,276402.53511214745
IL_M04,SARIMAX,0.6666666666666666,Medium,3,2,110361.28308070583,59695.554223677624
IL_M05,SeasonalNaive,0.3333333333333333,Low,3,1,15464.931541666665,4098.936548484722
IL_M09,SARIMAX,0.6666666666666666,Medium,3,2,5438.332344167301,564.9287610739193
IL_N01,HistoricAverage,0.6666666666666666,Medium,3,2,81072.67855798612,26691.888106992854
IL_N02,SARIMAX,0.3333333333333333,Low,3,1,2844453.6871976317,1685207.4873995192
IL_N03,SeasonalNaive,0.3333333333333333,Low,3,1,1603918.3029166677,641411.1006682906
IL_N04,SeasonalNaive,0.3333333333333333,Low,3,1,294378.9354166666,164623.75589801974
IL_N05,SARIMAX,1.0,High,3,3,1202627.2637392108,423323.00841842697
IL_N06,SARIMAX,0.6666666666666666,Medium,3,2,2999406.71626431,1812038.1646526235
IL_N07,HistoricAverage,0.6666666666666666,Medium,3,2,229532.99230833337,28206.50569375135
IL_P01,HistoricAverage,0.3333333333333333,Low,3,1,253941.59085138887,107426.7709665638
IL_P02,Naive,0.6666666666666666,Medium,3,2,716.0625,133.80996027482408
IL_P03,SeasonalNaive,0.6666666666666666,Medium,3,2,24013.80416666667,12066.673446524192
IL_R01,HistoricAverage,0.6666666666666666,Medium,3,2,1418465.247048611,174571.91608657196
IL_R02,HistoricAverage,0.3333333333333333,Low,3,1,1295185.972229167,334858.67570884625
IL_R03,HistoricAverage,0.6666666666666666,Medium,3,2,1804295.1991944446,836384.7738405511
IL_R05,HistoricAverage,0.6666666666666666,Medium,3,2,915367.1308576389,530940.1401845097
IL_R06,WindowAverage,0.6666666666666666,Medium,3,2,587397.2034374999,321216.53214962216
IL_R07,Naive,0.3333333333333333,Low,3,1,5384.75,2966.4048632140557
IL_S01,HistoricAverage,0.3333333333333333,Low,3,1,2104149.626088889,782361.7345704995
IL_S02,WindowAverage,0.3333333333333333,Low,3,1,783935.2190208334,154631.0402396635
IL_S03,Naive,0.6666666666666666,Medium,3,2,205014.31383333332,49081.21516522954
IL_V03,HistoricAverage,0.3333333333333333,Low,3,1,340919.88337222225,216381.3421507558
IL_V04,HistoricAverage,0.6666666666666666,Medium,3,2,739152.3889489584,207852.0320996746
IL_V06,SARIMAX,0.6666666666666666,Medium,3,2,477340.79406002705,128518.59234064214
IL_V07,HistoricAverage,0.3333333333333333,Low,3,1,106800.38536805555,25554.430144481154
