unique_id,best_model,consistency_ratio,confidence,n_windows,win_count,avg_mae,std_mae
OH_A01,Naive,0.6666666666666666,Medium,3,2,2839421.4175416664,2395750.2853403892
OH_A02,SARIMAX,0.6666666666666666,Medium,3,2,1303503.5324067746,695974.8289182374
OH_A03,Naive,0.6666666666666666,Medium,3,2,384912.7237916666,234691.55906917594
OH_A04,Naive,0.6666666666666666,Medium,3,2,317655.57237500005,113275.70855513343
OH_A05,SARIMAX,0.6666666666666666,Medium,3,2,9078.044075936416,4156.375704297076
OH_A06,WindowAverage,0.3333333333333333,Low,3,1,6111422.540833333,2040320.4253984347
OH_A07,HistoricAverage,0.6666666666666666,Medium,3,2,401598.56020833337,101774.78764424942
OH_A09,HistoricAverage,1.0,High,3,3,128538.24284479168,33927.73364015526
OH_A10,SARIMAX,1.0,High,3,3,608733.1511175672,291205.35987386317
OH_A11,Naive,0.3333333333333333,Low,3,1,65481.915333333316,27136.270591505076
OH_A12,HistoricAverage,0.6666666666666666,Medium,3,2,16869434.725248266,4865500.07046452
OH_A16,HistoricAverage,0.3333333333333333,Low,3,1,24345.29471180554,2906.267208974449
OH_B01,WindowAverage,0.3333333333333333,Low,3,1,754380.5454999997,281599.7017556165
OH_B02,WindowAverage,0.6666666666666666,Medium,3,2,1062033.3864166664,211121.53778356762
OH_B03,HistoricAverage,0.6666666666666666,Medium,3,2,529741.1391631945,89066.65503226445
OH_B05,HistoricAverage,0.3333333333333333,Low,3,1,19423209.077371527,6671600.242749702
OH_B06,HistoricAverage,0.6666666666666666,Medium,3,2,76156.54590972222,33360.52417982423
OH_C01,HistoricAverage,0.3333333333333333,Low,3,1,1387586.800975,609683.5755294919
OH_C02,HistoricAverage,0.3333333333333333,Low,3,1,909124.2589083333,478815.2928377008
OH_C03,HistoricAverage,0.3333333333333333,Low,3,1,601598.9767444441,328051.78420227126
OH_C04,Naive,0.6666666666666666,Medium,3,2,7893.333333333333,2253.03595640046
OH_C05,HistoricAverage,0.6666666666666666,Medium,3,2,202002.40175624998,50352.405481851216
OH_C07,SARIMAX,0.6666666666666666,Medium,3,2,404849.5269656437,118301.1698219207
OH_C08,SARIMAX,0.6666666666666666,Medium,3,2,342605.30327637127,291120.1976251141
OH_C09,SARIMAX,1.0,High,3,3,394441.05399744725,112715.17081650444
OH_C10,ARIMAX,0.6666666666666666,Medium,3,2,306535.8409355252,105926.13680040957
OH_D01,HistoricAverage,0.6666666666666666,Medium,3,2,629262.1515569445,29812.379251218834
OH_D02,WindowAverage,0.6666666666666666,Medium,3,2,315211.04420833336,26322.506656275575
OH_D03,Naive,0.3333333333333333,Low,3,1,21931.854166666668,9636.725948230658
OH_D04,SARIMAX,0.6666666666666666,Medium,3,2,757996.8903214795,404994.1106112505
OH_D05,HistoricAverage,0.6666666666666666,Medium,3,2,49682.33562500001,39838.807551184844
OH_D06,HistoricAverage,0.6666666666666666,Medium,3,2,386376.70598437503,91937.31018255043
OH_D07,HistoricAverage,0.6666666666666666,Medium,3,2,454947.56628124975,16001.184168575912
OH_D08,HistoricAverage,0.3333333333333333,Low,3,1,2245989.889592361,243004.35654794704
OH_D10,Naive,0.6666666666666666,Medium,3,2,522284.00058333337,99932.20335817724
OH_D11,HistoricAverage,0.3333333333333333,Low,3,1,1149508.7487486112,216355.90634406963
OH_G01,HistoricAverage,0.6666666666666666,Medium,3,2,1122299.5283177083,375873.26673891576
OH_G02,HistoricAverage,0.3333333333333333,Low,3,1,3692248.7644874994,1331746.3549286325
OH_G03,SARIMAX,0.6666666666666666,Medium,3,2,530162.901378402,282315.825957077
OH_G04,Naive,0.3333333333333333,Low,3,1,2090721.1424166665,1494857.8116233295
OH_H01,Naive,0.6666666666666666,Medium,3,2,18433.26070833334,5670.677731803286
OH_H02,WindowAverage,0.6666666666666666,Medium,3,2,843576.6500833334,259004.17557724495
OH_H03,Naive,0.3333333333333333,Low,3,1,309542.56454166665,260525.12132047236
OH_H04,WindowAverage,0.3333333333333333,Low,3,1,573.1124999999998,159.20527040585006
OH_H05,SARIMAX,0.6666666666666666,Medium,3,2,63141.736111224396,38601.21840802264
OH_J01,WindowAverage,0.3333333333333333,Low,3,1,5457762.750208332,1138807.6826266397
OH_J02,WindowAverage,0.3333333333333333,Low,3,1,126411.93874999997,130749.01757852815
OH_J04,Naive,0.6666666666666666,Medium,3,2,7415.422458333333,2023.3139514882555
OH_J05,Naive,0.6666666666666666,Medium,3,2,781541.1016250001,675827.9467341368
OH_J06,WindowAverage,0.6666666666666666,Medium,3,2,35614.05122916666,7085.478205902272
OH_L01,HistoricAverage,1.0,High,3,3,162747.47828541673,21599.033426173286
OH_L02,WindowAverage,0.3333333333333333,Low,3,1,324961.5980208333,51988.02064614856
OH_L03,Naive,0.6666666666666666,Medium,3,2,1674.2989999999998,658.4452862294252
OH_L04,HistoricAverage,0.3333333333333333,Low,3,1,284071.4793708333,45822.76093040045
OH_M01,HistoricAverage,0.6666666666666666,Medium,3,2,1509472.3230930555,191535.76534431832
OH_M02,SARIMAX,0.6666666666666666,Medium,3,2,4072906.8594664535,1025308.7106199813
OH_M03,SeasonalNaive,0.6666666666666666,Medium,3,2,447805.6784583331,269987.19314735377
OH_M04,HistoricAverage,0.3333333333333333,Low,3,1,41387.85705138888,31609.135056154446
OH_M05,Naive,0.6666666666666666,Medium,3,2,6994.965166666668,2172.074553403747
OH_M09,Naive,0.6666666666666666,Medium,3,2,12107.989583333334,7854.811206396617
OH_N01,HistoricAverage,0.6666666666666666,Medium,3,2,251635.50879166662,47079.226938392174
OH_N02,Naive,0.6666666666666666,Medium,3,2,1647183.9875000007,257293.1592734858
OH_N03,WindowAverage,0.6666666666666666,Medium,3,2,715852.6237500001,333043.55241318134
OH_N04,WindowAverage,0.3333333333333333,Low,3,1,119507.07799999998,84378.85120111021
OH_N05,SARIMAX,1.0,High,3,3,763688.9102331131,301550.4548101835
OH_N06,SARIMAX,1.0,High,3,3,951255.020901816,101705.35093039717
OH_N07,HistoricAverage,0.3333333333333333,Low,3,1,1671796.1709083335,983566.4732495494
OH_P01,HistoricAverage,0.3333333333333333,Low,3,1,226478.23261250005,50330.64308630372
OH_P02,HistoricAverage,0.3333333333333333,Low,3,1,3315.3069444444445,397.4167813195152
OH_P03,Naive,0.3333333333333333,Low,3,1,96240.27083333333,6309.489394385121
OH_R01,WindowAverage,0.6666666666666666,Medium,3,2,1555248.9657083333,805470.9476822213
OH_R02,HistoricAverage,0.3333333333333333,Low,3,1,2509747.2303656247,885108.3661140567
OH_R03,WindowAverage,0.6666666666666666,Medium,3,2,1967975.4258333321,694688.3326351575
OH_R05,SARIMAX,0.6666666666666666,Medium,3,2,2275560.287184177,403922.09398919175
OH_R06,HistoricAverage,0.6666666666666666,Medium,3,2,1870028.6440659722,1100249.151414935
OH_R07,HistoricAverage,0.6666666666666666,Medium,3,2,9766.913888888888,6550.586621659953
OH_S01,SARIMAX,0.6666666666666666,Medium,3,2,2112016.5002826233,49720.67402839861
OH_S02,WindowAverage,0.6666666666666666,Medium,3,2,353843.83008333336,64811.64233093341
OH_S03,HistoricAverage,0.6666666666666666,Medium,3,2,1827845.0387083332,400560.4728019195
OH_V03,HistoricAverage,0.3333333333333333,Low,3,1,800187.1135833334,261307.5493407506
OH_V04,WindowAverage,0.3333333333333333,Low,3,1,573975.9023124999,175190.1579643544
OH_V06,Naive,0.6666666666666666,Medium,3,2,517724.7466666666,314946.2534583378
OH_V07,Naive,0.6666666666666666,Medium,3,2,544582.9672500001,95650.14074519032
