index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,17627.0,53463.0,55504.0625,40293.75,56686.224540942414
1,IL_A01,2025-04-01,17627.0,53520.0,55504.0625,40293.75,61768.41840769354
2,IL_A01,2025-07-01,17627.0,36565.0,55504.0625,40293.75,73117.68384855018
3,IL_A01,2025-10-01,17627.0,17627.0,55504.0625,40293.75,85992.34751025113
4,IL_A02,2025-01-01,115962.0,184759.0,166484.59375,169637.0,151177.9256926313
5,IL_A02,2025-04-01,115962.0,193448.0,166484.59375,169637.0,173095.83158110525
6,IL_A02,2025-07-01,115962.0,184379.0,166484.59375,169637.0,190585.83993647908
7,IL_A02,2025-10-01,115962.0,115962.0,166484.59375,169637.0,205955.1697124612
8,IL_A03,2025-01-01,14418.0,22742.0,23776.1875,20283.75,20933.772239175836
9,IL_A03,2025-04-01,14418.0,22255.0,23776.1875,20283.75,18891.47897105944
10,IL_A03,2025-07-01,14418.0,21720.0,23776.1875,20283.75,22145.644074416665
11,IL_A03,2025-10-01,14418.0,14418.0,23776.1875,20283.75,21933.979604697655
12,IL_A04,2025-01-01,45256.0,73211.0,56190.71875,59665.0,61882.782022528714
13,IL_A04,2025-04-01,45256.0,63048.0,56190.71875,59665.0,57157.76757882563
14,IL_A04,2025-07-01,45256.0,57145.0,56190.71875,59665.0,58201.76176369387
15,IL_A04,2025-10-01,45256.0,45256.0,56190.71875,59665.0,61849.5038562425
16,IL_A05,2025-01-01,1107.0,1564.0,1393.34375,1459.25,1264.055954431729
17,IL_A05,2025-04-01,1107.0,1572.0,1393.34375,1459.25,1362.8313848366524
18,IL_A05,2025-07-01,1107.0,1594.0,1393.34375,1459.25,1435.0905484002851
19,IL_A05,2025-10-01,1107.0,1107.0,1393.34375,1459.25,1492.4039154860036
20,IL_A06,2025-01-01,67680.0,78313.0,58075.59375,78493.25,86360.44648121353
21,IL_A06,2025-04-01,67680.0,78162.0,58075.59375,78493.25,76546.36327280733
22,IL_A06,2025-07-01,67680.0,89818.0,58075.59375,78493.25,83431.89346819621
23,IL_A06,2025-10-01,67680.0,67680.0,58075.59375,78493.25,91370.11481508432
24,IL_A07,2025-01-01,27756.0,67006.0,68672.40625,42031.0,32502.93595005831
25,IL_A07,2025-04-01,27756.0,41623.0,68672.40625,42031.0,36685.320843725145
26,IL_A07,2025-07-01,27756.0,31739.0,68672.40625,42031.0,41230.224342201225
27,IL_A07,2025-10-01,27756.0,27756.0,68672.40625,42031.0,45921.54298458784
28,IL_A09,2025-01-01,1960.0,2751.0,2643.6875,2456.25,2263.894233618542
29,IL_A09,2025-04-01,1960.0,2636.0,2643.6875,2456.25,2269.180470575113
30,IL_A09,2025-07-01,1960.0,2478.0,2643.6875,2456.25,2389.2951303524437
31,IL_A09,2025-10-01,1960.0,1960.0,2643.6875,2456.25,2465.5778882300647
32,IL_A10,2025-01-01,242965.0,371227.0,372996.125,332927.0,383053.988139728
33,IL_A10,2025-04-01,242965.0,360742.0,372996.125,332927.0,400073.48134082
34,IL_A10,2025-07-01,242965.0,356774.0,372996.125,332927.0,387312.0434416058
35,IL_A10,2025-10-01,242965.0,242965.0,372996.125,332927.0,453567.5041697507
36,IL_A11,2025-01-01,78025.0,107303.0,107107.84375,101172.25,108290.28254706482
37,IL_A11,2025-04-01,78025.0,114615.0,107107.84375,101172.25,110880.69462155727
38,IL_A11,2025-07-01,78025.0,104746.0,107107.84375,101172.25,113695.63710035276
39,IL_A11,2025-10-01,78025.0,78025.0,107107.84375,101172.25,116601.26361859398
40,IL_A12,2025-01-01,13592.0,22124.0,25804.625,19747.75,6586.84300498505
41,IL_A12,2025-04-01,13592.0,26195.0,25804.625,19747.75,16081.898587415571
42,IL_A12,2025-07-01,13592.0,17080.0,25804.625,19747.75,12962.826341379343
43,IL_A12,2025-10-01,13592.0,13592.0,25804.625,19747.75,19402.01554840296
44,IL_A16,2025-01-01,1397.0,1245.0,1437.15625,1553.25,1445.1573824551479
45,IL_A16,2025-04-01,1397.0,1821.0,1437.15625,1553.25,1463.8079140897257
46,IL_A16,2025-07-01,1397.0,1750.0,1437.15625,1553.25,1484.0750269044229
47,IL_A16,2025-10-01,1397.0,1397.0,1437.15625,1553.25,1504.9950495642706
48,IL_B01,2025-01-01,68142.0,111707.0,103558.4375,99286.5,82856.8806875529
49,IL_B01,2025-04-01,68142.0,112269.0,103558.4375,99286.5,106407.25062333039
50,IL_B01,2025-07-01,68142.0,105028.0,103558.4375,99286.5,109108.6252030421
51,IL_B01,2025-10-01,68142.0,68142.0,103558.4375,99286.5,111897.02520540082
52,IL_B02,2025-01-01,3505.0,6040.0,2906.0,4814.0,3287.6168270957696
53,IL_B02,2025-04-01,3505.0,4287.0,2906.0,4814.0,3205.0314616422884
54,IL_B02,2025-07-01,3505.0,5424.0,2906.0,4814.0,3203.0412344915494
55,IL_B02,2025-10-01,3505.0,3505.0,2906.0,4814.0,3241.9121073870447
56,IL_B03,2025-01-01,42506.0,66858.0,78716.03125,64318.25,83689.66023335887
57,IL_B03,2025-04-01,42506.0,83094.0,78716.03125,64318.25,75215.1217816739
58,IL_B03,2025-07-01,42506.0,64815.0,78716.03125,64318.25,84715.96587885295
59,IL_B03,2025-10-01,42506.0,42506.0,78716.03125,64318.25,98467.05335487875
60,IL_B05,2025-01-01,21190.0,31582.0,29126.1875,29879.25,25816.67020027697
61,IL_B05,2025-04-01,21190.0,28027.0,29126.1875,29879.25,28477.446379906298
62,IL_B05,2025-07-01,21190.0,38718.0,29126.1875,29879.25,30245.962773271764
63,IL_B05,2025-10-01,21190.0,21190.0,29126.1875,29879.25,31552.619023464926
64,IL_B06,2025-01-01,1089.0,1064.0,484.53125,922.25,745.5448294234268
65,IL_B06,2025-04-01,1089.0,858.0,484.53125,922.25,941.923349512835
66,IL_B06,2025-07-01,1089.0,678.0,484.53125,922.25,1011.5322882478902
67,IL_B06,2025-10-01,1089.0,1089.0,484.53125,922.25,978.8945753293851
68,IL_C01,2025-01-01,55033.0,98269.0,47684.75,80038.25,27386.863417215813
69,IL_C01,2025-04-01,55033.0,85153.0,47684.75,80038.25,36161.26951261029
70,IL_C01,2025-07-01,55033.0,81698.0,47684.75,80038.25,34691.45955377358
71,IL_C01,2025-10-01,55033.0,55033.0,47684.75,80038.25,50231.97221320617
72,IL_C02,2025-01-01,40225.0,63836.0,57816.03125,58188.75,44805.0105558257
73,IL_C02,2025-04-01,40225.0,65722.0,57816.03125,58188.75,50716.56540946916
74,IL_C02,2025-07-01,40225.0,62972.0,57816.03125,58188.75,57231.56293671231
75,IL_C02,2025-10-01,40225.0,40225.0,57816.03125,58188.75,63404.69518301989
76,IL_C03,2025-01-01,85747.0,141481.0,171235.90625,121327.5,59357.97896437837
77,IL_C03,2025-04-01,85747.0,132246.0,171235.90625,121327.5,27394.34071531168
78,IL_C03,2025-07-01,85747.0,125836.0,171235.90625,121327.5,-2301.2590199930605
79,IL_C03,2025-10-01,85747.0,85747.0,171235.90625,121327.5,-32919.73281054303
80,IL_C04,2025-01-01,489.0,734.0,814.46875,668.75,815.9323016232945
81,IL_C04,2025-04-01,489.0,695.0,814.46875,668.75,819.3438206803903
82,IL_C04,2025-07-01,489.0,757.0,814.46875,668.75,823.0510416301388
83,IL_C04,2025-10-01,489.0,489.0,814.46875,668.75,826.8776915818556
84,IL_C05,2025-01-01,16442.0,17851.0,21938.21875,20440.5,22132.504936524703
85,IL_C05,2025-04-01,16442.0,24872.0,21938.21875,20440.5,22661.936633236914
86,IL_C05,2025-07-01,16442.0,22597.0,21938.21875,20440.5,23237.258138016412
87,IL_C05,2025-10-01,16442.0,16442.0,21938.21875,20440.5,23831.113761495104
88,IL_C07,2025-01-01,90669.0,147984.0,162922.71875,127441.25,106731.72195712739
89,IL_C07,2025-04-01,90669.0,137061.0,162922.71875,127441.25,120155.7389545114
90,IL_C07,2025-07-01,90669.0,134051.0,162922.71875,127441.25,132172.5334389538
91,IL_C07,2025-10-01,90669.0,90669.0,162922.71875,127441.25,142899.38731890812
92,IL_C08,2025-01-01,76754.0,123911.0,136870.34375,107281.5,86434.33547056417
93,IL_C08,2025-04-01,76754.0,116546.0,136870.34375,107281.5,94992.76595659027
94,IL_C08,2025-07-01,76754.0,111915.0,136870.34375,107281.5,103215.81281301653
95,IL_C08,2025-10-01,76754.0,76754.0,136870.34375,107281.5,111008.33933826993
96,IL_C09,2025-01-01,118162.0,193524.0,238399.96875,167150.75,114383.98650949438
97,IL_C09,2025-04-01,118162.0,180125.0,238399.96875,167150.75,110189.16860907145
