index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,584561.45,1577948.0089999998,2525821.8498750003,1125350.2067500001,2050416.6460444094
1,IL_A01,2025-04-01,584561.45,1284025.918,2525821.8498750003,1125350.2067500001,2930260.9585530963
2,IL_A01,2025-07-01,584561.45,1054865.45,2525821.8498750003,1125350.2067500001,3239066.2109566573
3,IL_A01,2025-10-01,584561.45,584561.45,2525821.8498750003,1125350.2067500001,3557819.697791634
4,IL_A02,2025-01-01,5991173.716,9440003.269,8228565.3926875,8483979.882,6408463.807053886
5,IL_A02,2025-04-01,5991173.716,9376909.912,8228565.3926875,8483979.882,6776125.766570993
6,IL_A02,2025-07-01,5991173.716,9127832.631,8228565.3926875,8483979.882,7175655.740150455
7,IL_A02,2025-10-01,5991173.716,5991173.716,8228565.3926875,8483979.882,7588056.666567054
8,IL_A03,2025-01-01,953943.0,1573188.0,1677776.2181875,1380624.9625,1207858.4057086322
9,IL_A03,2025-04-01,953943.0,1513223.1,1677776.2181875,1380624.9625,1391774.3331138308
10,IL_A03,2025-07-01,953943.0,1482145.75,1677776.2181875,1380624.9625,1534572.0723217533
11,IL_A03,2025-10-01,953943.0,953943.0,1677776.2181875,1380624.9625,1647997.8505845133
12,IL_A04,2025-01-01,876103.1359999999,1411775.997,1060288.9544375,1166378.04525,1022082.2850548325
13,IL_A04,2025-04-01,876103.1359999999,1246480.82,1060288.9544375,1166378.04525,1135491.6936941007
14,IL_A04,2025-07-01,876103.1359999999,1131152.228,1060288.9544375,1166378.04525,1191346.4808006557
15,IL_A04,2025-10-01,876103.1359999999,876103.1359999999,1060288.9544375,1166378.04525,1249000.6431183768
16,IL_A05,2025-01-01,94346.8,136448.0,118914.68621875,123218.38325,111898.060080586
17,IL_A05,2025-04-01,94346.8,128360.533,118914.68621875,123218.38325,121707.73640020571
18,IL_A05,2025-07-01,94346.8,133718.2,118914.68621875,123218.38325,128956.58477072
19,IL_A05,2025-10-01,94346.8,94346.8,118914.68621875,123218.38325,135129.74389647227
20,IL_A06,2025-01-01,22602095.77,19065939.06,16959986.631375,20356014.665,18357028.349440895
21,IL_A06,2025-04-01,22602095.77,14551524.48,16959986.631375,20356014.665,23168231.629784055
22,IL_A06,2025-07-01,22602095.77,25204499.35,16959986.631375,20356014.665,21083002.079253286
23,IL_A06,2025-10-01,22602095.77,22602095.77,16959986.631375,20356014.665,20888893.68771101
24,IL_A07,2025-01-01,1371636.41,2112867.113,2707788.14771875,1825348.1967500001,1505031.7712379536
25,IL_A07,2025-04-01,1371636.41,1949915.705,2707788.14771875,1825348.1967500001,1622562.479382434
26,IL_A07,2025-07-01,1371636.41,1866973.559,2707788.14771875,1825348.1967500001,1750280.4537451183
27,IL_A07,2025-10-01,1371636.41,1371636.41,2707788.14771875,1825348.1967500001,1882112.8929369338
28,IL_A09,2025-01-01,481663.0,562004.0,654280.7589375,524792.0,658531.6452721872
29,IL_A09,2025-04-01,481663.0,528019.0,654280.7589375,524792.0,674284.3821311666
30,IL_A09,2025-07-01,481663.0,527482.0,654280.7589375,524792.0,691402.5266064303
31,IL_A09,2025-10-01,481663.0,481663.0,654280.7589375,524792.0,709072.1361650928
32,IL_A10,2025-01-01,12931644.75,20250537.95,19500884.9228125,17774000.85,15225611.639869124
33,IL_A10,2025-04-01,12931644.75,19200316.1,19500884.9228125,17774000.85,16948725.376153532
34,IL_A10,2025-07-01,12931644.75,18713504.6,19500884.9228125,17774000.85,18351031.9568212
35,IL_A10,2025-10-01,12931644.75,12931644.75,19500884.9228125,17774000.85,19512429.474006113
36,IL_A11,2025-01-01,488964.988,552388.785,622504.7496875001,555544.2295,562671.7681973494
37,IL_A11,2025-04-01,488964.988,619864.358,622504.7496875001,555544.2295,607803.9982525986
38,IL_A11,2025-07-01,488964.988,560958.787,622504.7496875001,555544.2295,640122.0109491108
39,IL_A11,2025-10-01,488964.988,488964.988,622504.7496875001,555544.2295,665461.7968774807
40,IL_A12,2025-01-01,11192933.34,18240440.92,14036966.23234375,16224514.5845,14338335.45136201
41,IL_A12,2025-04-01,11192933.34,26687264.11,14036966.23234375,16224514.5845,14681322.80357608
42,IL_A12,2025-07-01,11192933.34,8777419.968,14036966.23234375,16224514.5845,15054039.436942665
43,IL_A12,2025-10-01,11192933.34,11192933.34,14036966.23234375,16224514.5845,15438763.225033334
44,IL_A16,2025-01-01,275967.55,248068.335,240798.73781249998,301896.66875,298875.57179899525
45,IL_A16,2025-04-01,275967.55,333636.63,240798.73781249998,301896.66875,296851.1501203538
46,IL_A16,2025-07-01,275967.55,349914.16000000003,240798.73781249998,301896.66875,294651.2566615809
47,IL_A16,2025-10-01,275967.55,275967.55,240798.73781249998,301896.66875,292380.49311338534
48,IL_B01,2025-01-01,2790824.905,4533334.672,4021845.79378125,3979632.514,3301638.2648902237
49,IL_B01,2025-04-01,2790824.905,4402752.6,4021845.79378125,3979632.514,3651229.014900159
50,IL_B01,2025-07-01,2790824.905,4191617.879,4021845.79378125,3979632.514,3915432.3885620194
51,IL_B01,2025-10-01,2790824.905,2790824.905,4021845.79378125,3979632.514,4123837.242655551
52,IL_B02,2025-01-01,803169.1000000001,5035500.346,2984050.45165625,2987638.1585,1987556.164823026
53,IL_B02,2025-04-01,803169.1000000001,3701039.752,2984050.45165625,2987638.1585,3106753.809919926
54,IL_B02,2025-07-01,803169.1000000001,2410843.436,2984050.45165625,2987638.1585,3185625.369126438
55,IL_B02,2025-10-01,803169.1000000001,803169.1000000001,2984050.45165625,2987638.1585,3267037.794315153
56,IL_B03,2025-01-01,673254.6780000001,780673.591,1098100.57278125,918387.956,927778.2979940362
57,IL_B03,2025-04-01,673254.6780000001,1299455.091,1098100.57278125,918387.956,1048237.2791398432
58,IL_B03,2025-07-01,673254.6780000001,920168.464,1098100.57278125,918387.956,1116181.1072756283
59,IL_B03,2025-10-01,673254.6780000001,673254.6780000001,1098100.57278125,918387.956,1162054.1456467048
60,IL_B05,2025-01-01,8470564.589,25003308.91,20501072.03865625,20598703.17225,20793037.817347936
61,IL_B05,2025-04-01,8470564.589,19899414.73,20501072.03865625,20598703.17225,21290428.118310783
62,IL_B05,2025-07-01,8470564.589,29021524.46,20501072.03865625,20598703.17225,21830930.95973439
