index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,17627.0,53463.0,55504.0625,40293.75,43271.39616319241
1,IL_A01,2025-04-01,17627.0,53520.0,55504.0625,40293.75,36911.98767071064
2,IL_A01,2025-07-01,17627.0,36565.0,55504.0625,40293.75,36644.24370011613
3,IL_A01,2025-10-01,17627.0,17627.0,55504.0625,40293.75,38047.358414942224
4,IL_A02,2025-01-01,115962.0,184759.0,166484.59375,169637.0,115712.41033050753
5,IL_A02,2025-04-01,115962.0,193448.0,166484.59375,169637.0,107381.52638640173
6,IL_A02,2025-07-01,115962.0,184379.0,166484.59375,169637.0,94159.01169324279
7,IL_A02,2025-10-01,115962.0,115962.0,166484.59375,169637.0,79200.38020528949
8,IL_A03,2025-01-01,14418.0,22742.0,23776.1875,20283.75,19231.19939772894
9,IL_A03,2025-04-01,14418.0,22255.0,23776.1875,20283.75,15736.769666072338
10,IL_A03,2025-07-01,14418.0,21720.0,23776.1875,20283.75,17516.536128924017
11,IL_A03,2025-10-01,14418.0,14418.0,23776.1875,20283.75,15848.93445775169
12,IL_A04,2025-01-01,45256.0,73211.0,56190.71875,59665.0,55718.21746875049
13,IL_A04,2025-04-01,45256.0,63048.0,56190.71875,59665.0,45735.40215305574
14,IL_A04,2025-07-01,45256.0,57145.0,56190.71875,59665.0,41440.99002946018
15,IL_A04,2025-10-01,45256.0,45256.0,56190.71875,59665.0,39817.1697863975
16,IL_A05,2025-01-01,1107.0,1564.0,1393.34375,1459.25,1162.3172276947926
17,IL_A05,2025-04-01,1107.0,1572.0,1393.34375,1459.25,1174.3189757923524
18,IL_A05,2025-07-01,1107.0,1594.0,1393.34375,1459.25,1158.4741612259056
19,IL_A05,2025-10-01,1107.0,1107.0,1393.34375,1459.25,1128.78672959166
20,IL_A06,2025-01-01,67680.0,78313.0,58075.59375,78493.25,81346.3832601425
21,IL_A06,2025-04-01,67680.0,78162.0,58075.59375,78493.25,67255.76993416116
22,IL_A06,2025-07-01,67680.0,89818.0,58075.59375,78493.25,69799.20808121609
23,IL_A06,2025-10-01,67680.0,67680.0,58075.59375,78493.25,73449.70616817466
24,IL_A07,2025-01-01,27756.0,67006.0,68672.40625,42031.0,19869.36556684578
25,IL_A07,2025-04-01,27756.0,41623.0,68672.40625,42031.0,13276.488591203175
26,IL_A07,2025-07-01,27756.0,31739.0,68672.40625,42031.0,6880.938592306455
27,IL_A07,2025-10-01,27756.0,27756.0,68672.40625,42031.0,768.7928187644866
28,IL_A09,2025-01-01,1960.0,2751.0,2643.6875,2456.25,2084.0235908062173
29,IL_A09,2025-04-01,1960.0,2636.0,2643.6875,2456.25,1935.8968795530539
30,IL_A09,2025-07-01,1960.0,2478.0,2643.6875,2456.25,1900.2466729038927
31,IL_A09,2025-10-01,1960.0,1960.0,2643.6875,2456.25,1822.7149484024621
32,IL_A10,2025-01-01,242965.0,371227.0,372996.125,332927.0,362888.05104080687
33,IL_A10,2025-04-01,242965.0,360742.0,372996.125,332927.0,362707.87332625355
34,IL_A10,2025-07-01,242965.0,356774.0,372996.125,332927.0,332483.08260044205
35,IL_A10,2025-10-01,242965.0,242965.0,372996.125,332927.0,381493.8549900042
36,IL_A11,2025-01-01,78025.0,107303.0,107107.84375,101172.25,100465.5236842018
37,IL_A11,2025-04-01,78025.0,114615.0,107107.84375,101172.25,96382.14337427182
38,IL_A11,2025-07-01,78025.0,104746.0,107107.84375,101172.25,92420.97998033145
39,IL_A11,2025-10-01,78025.0,78025.0,107107.84375,101172.25,88635.34651632
40,IL_A12,2025-01-01,13592.0,22124.0,25804.625,19747.75,7096.903771494493
41,IL_A12,2025-04-01,13592.0,26195.0,25804.625,19747.75,17026.993802753757
42,IL_A12,2025-07-01,13592.0,17080.0,25804.625,19747.75,14349.625360754271
43,IL_A12,2025-10-01,13592.0,13592.0,25804.625,19747.75,21224.987650588133
44,IL_A16,2025-01-01,1397.0,1245.0,1437.15625,1553.25,1388.8204335419668
45,IL_A16,2025-04-01,1397.0,1821.0,1437.15625,1553.25,1359.4207814957635
46,IL_A16,2025-07-01,1397.0,1750.0,1437.15625,1553.25,1330.9010707069342
47,IL_A16,2025-10-01,1397.0,1397.0,1437.15625,1553.25,1303.6451459169393
48,IL_B01,2025-01-01,68142.0,111707.0,103558.4375,99286.5,75347.80906575666
49,IL_B01,2025-04-01,68142.0,112269.0,103558.4375,99286.5,92493.63850617503
50,IL_B01,2025-07-01,68142.0,105028.0,103558.4375,99286.5,88692.28690518111
51,IL_B01,2025-10-01,68142.0,68142.0,103558.4375,99286.5,85059.3835386575
52,IL_B02,2025-01-01,3505.0,6040.0,2906.0,4814.0,3072.9776511688174
53,IL_B02,2025-04-01,3505.0,4287.0,2906.0,4814.0,2807.325008779996
54,IL_B02,2025-07-01,3505.0,5424.0,2906.0,4814.0,2619.4609667286345
55,IL_B02,2025-10-01,3505.0,3505.0,2906.0,4814.0,2474.7854129962034
56,IL_B03,2025-01-01,42506.0,66858.0,78716.03125,64318.25,81632.5110708703
57,IL_B03,2025-04-01,42506.0,83094.0,78716.03125,64318.25,71403.4154941861
58,IL_B03,2025-07-01,42506.0,64815.0,78716.03125,64318.25,79122.80398802506
