index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,584561.45,1577948.0089999998,2525821.8498750003,1125350.2067500001,1192023.7467772984
1,IL_A01,2025-04-01,584561.45,1284025.918,2525821.8498750003,1125350.2067500001,1339738.66151499
2,IL_A01,2025-07-01,584561.45,1054865.45,2525821.8498750003,1125350.2067500001,905190.5061292648
3,IL_A01,2025-10-01,584561.45,584561.45,2525821.8498750003,1125350.2067500001,489898.36209169216
4,IL_A02,2025-01-01,5991173.716,9440003.269,8228565.3926875,8483979.882,5297881.361659469
5,IL_A02,2025-04-01,5991173.716,9376909.912,8228565.3926875,8483979.882,4718319.669145128
6,IL_A02,2025-07-01,5991173.716,9127832.631,8228565.3926875,8483979.882,4156104.4487466924
7,IL_A02,2025-10-01,5991173.716,5991173.716,8228565.3926875,8483979.882,3618802.5147813465
8,IL_A03,2025-01-01,953943.0,1573188.0,1677776.2181875,1380624.9625,1087017.7458170147
9,IL_A03,2025-04-01,953943.0,1513223.1,1677776.2181875,1380624.9625,1167867.816516927
10,IL_A03,2025-07-01,953943.0,1482145.75,1677776.2181875,1380624.9625,1206019.6337855677
11,IL_A03,2025-10-01,953943.0,953943.0,1677776.2181875,1380624.9625,1216109.7967363524
12,IL_A04,2025-01-01,876103.1359999999,1411775.997,1060288.9544375,1166378.04525,866821.4782221629
13,IL_A04,2025-04-01,876103.1359999999,1246480.82,1060288.9544375,1166378.04525,847807.8424712783
14,IL_A04,2025-07-01,876103.1359999999,1131152.228,1060288.9544375,1166378.04525,769209.4555665874
15,IL_A04,2025-10-01,876103.1359999999,876103.1359999999,1060288.9544375,1166378.04525,694093.9770839557
16,IL_A05,2025-01-01,94346.8,136448.0,118914.68621875,123218.38325,97671.68686568737
17,IL_A05,2025-04-01,94346.8,128360.533,118914.68621875,123218.38325,95347.58847307235
18,IL_A05,2025-07-01,94346.8,133718.2,118914.68621875,123218.38325,90276.6436360634
19,IL_A05,2025-10-01,94346.8,94346.8,118914.68621875,123218.38325,84284.26981009322
20,IL_A06,2025-01-01,22602095.77,19065939.06,16959986.631375,20356014.665,18657967.4499414
21,IL_A06,2025-04-01,22602095.77,14551524.48,16959986.631375,20356014.665,23725843.82555747
22,IL_A06,2025-07-01,22602095.77,25204499.35,16959986.631375,20356014.665,21901222.332345314
