index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,17627.0,53463.0,55504.0625,40293.75,49978.81035206738
1,IL_A01,2025-04-01,17627.0,53520.0,55504.0625,40293.75,49340.203069787916
2,IL_A01,2025-07-01,17627.0,36565.0,55504.0625,40293.75,54880.96377433317
3,IL_A01,2025-10-01,17627.0,17627.0,55504.0625,40293.75,62019.852932010865
4,IL_A02,2025-01-01,115962.0,184759.0,166484.59375,169637.0,133445.1680115694
5,IL_A02,2025-04-01,115962.0,193448.0,166484.59375,169637.0,140238.679064615
6,IL_A02,2025-07-01,115962.0,184379.0,166484.59375,169637.0,142372.425814861
7,IL_A02,2025-10-01,115962.0,115962.0,166484.59375,169637.0,142577.77487801397
8,IL_A03,2025-01-01,14418.0,22742.0,23776.1875,20283.75,20082.485818452387
9,IL_A03,2025-04-01,14418.0,22255.0,23776.1875,20283.75,17314.12432244776
10,IL_A03,2025-07-01,14418.0,21720.0,23776.1875,20283.75,19831.090101670343
11,IL_A03,2025-10-01,14418.0,14418.0,23776.1875,20283.75,18891.457027342807
12,IL_A04,2025-01-01,45256.0,73211.0,56190.71875,59665.0,58800.499745639594
13,IL_A04,2025-04-01,45256.0,63048.0,56190.71875,59665.0,51446.584879995906
14,IL_A04,2025-07-01,45256.0,57145.0,56190.71875,59665.0,49821.375896577025
15,IL_A04,2025-10-01,45256.0,45256.0,56190.71875,59665.0,50833.3368072648
16,IL_A05,2025-01-01,1107.0,1564.0,1393.34375,1459.25,1213.1865910632607
17,IL_A05,2025-04-01,1107.0,1572.0,1393.34375,1459.25,1268.575180546467
18,IL_A05,2025-07-01,1107.0,1594.0,1393.34375,1459.25,1296.7823548130955
19,IL_A05,2025-10-01,1107.0,1107.0,1393.34375,1459.25,1310.5953223068675
20,IL_A06,2025-01-01,67680.0,78313.0,58075.59375,78493.25,83853.41487067801
21,IL_A06,2025-04-01,67680.0,78162.0,58075.59375,78493.25,71901.06661491632
22,IL_A06,2025-07-01,67680.0,89818.0,58075.59375,78493.25,76615.55077470615
23,IL_A06,2025-10-01,67680.0,67680.0,58075.59375,78493.25,82409.91048019743
24,IL_A07,2025-01-01,27756.0,67006.0,68672.40625,42031.0,26186.150758452015
25,IL_A07,2025-04-01,27756.0,41623.0,68672.40625,42031.0,24980.90474626873
26,IL_A07,2025-07-01,27756.0,31739.0,68672.40625,42031.0,24055.581467253854
27,IL_A07,2025-10-01,27756.0,27756.0,68672.40625,42031.0,23345.16787287162
28,IL_A09,2025-01-01,1960.0,2751.0,2643.6875,2456.25,2173.9589122123793
29,IL_A09,2025-04-01,1960.0,2636.0,2643.6875,2456.25,2102.538675474189
30,IL_A09,2025-07-01,1960.0,2478.0,2643.6875,2456.25,2144.7709016281683
31,IL_A09,2025-10-01,1960.0,1960.0,2643.6875,2456.25,2144.1464179061586
32,IL_A10,2025-01-01,242965.0,371227.0,372996.125,332927.0,372971.0195902674
33,IL_A10,2025-04-01,242965.0,360742.0,372996.125,332927.0,381390.6773795152
34,IL_A10,2025-07-01,242965.0,356774.0,372996.125,332927.0,359897.56302102393
35,IL_A10,2025-10-01,242965.0,242965.0,372996.125,332927.0,417530.67953389906
36,IL_A11,2025-01-01,78025.0,107303.0,107107.84375,101172.25,104377.90311563331
37,IL_A11,2025-04-01,78025.0,114615.0,107107.84375,101172.25,103631.419015755
38,IL_A11,2025-07-01,78025.0,104746.0,107107.84375,101172.25,103058.30854034211
39,IL_A11,2025-10-01,78025.0,78025.0,107107.84375,101172.25,102618.30504961654
40,IL_A12,2025-01-01,13592.0,22124.0,25804.625,19747.75,6841.873388239772
41,IL_A12,2025-04-01,13592.0,26195.0,25804.625,19747.75,16554.44619392172
42,IL_A12,2025-07-01,13592.0,17080.0,25804.625,19747.75,13656.225851066803
