index,unique_id,ds,Naive,SeasonalNaive,HistoricAverage,WindowAverage,SARIMAX
0,IL_A01,2025-01-01,584561.45,1577948.0089999998,2525821.8498750003,1125350.2067500001,1621220.1964108539
1,IL_A01,2025-04-01,584561.45,1284025.918,2525821.8498750003,1125350.2067500001,2134999.811991181
2,IL_A01,2025-07-01,584561.45,1054865.45,2525821.8498750003,1125350.2067500001,2072128.358542962
3,IL_A01,2025-10-01,584561.45,584561.45,2525821.8498750003,1125350.2067500001,2023859.0279845279
4,IL_A02,2025-01-01,5991173.716,9440003.269,8228565.3926875,8483979.882,5853172.584356677
5,IL_A02,2025-04-01,5991173.716,9376909.912,8228565.3926875,8483979.882,5747222.720390191
6,IL_A02,2025-07-01,5991173.716,9127832.631,8228565.3926875,8483979.882,5665880.094448574
7,IL_A02,2025-10-01,5991173.716,5991173.716,8228565.3926875,8483979.882,5603429.588142073
8,IL_A03,2025-01-01,953943.0,1573188.0,1677776.2181875,1380624.9625,1147438.0757628235
9,IL_A03,2025-04-01,953943.0,1513223.1,1677776.2181875,1380624.9625,1279821.0750908959
10,IL_A03,2025-07-01,953943.0,1482145.75,1677776.2181875,1380624.9625,1370295.8530536606
11,IL_A03,2025-10-01,953943.0,953943.0,1677776.2181875,1380624.9625,1432053.8233849162
12,IL_A04,2025-01-01,876103.1359999999,1411775.997,1060288.9544375,1166378.04525,944451.8816384976
13,IL_A04,2025-04-01,876103.1359999999,1246480.82,1060288.9544375,1166378.04525,991649.7684366845
14,IL_A04,2025-07-01,876103.1359999999,1131152.228,1060288.9544375,1166378.04525,980277.9681836218
15,IL_A04,2025-10-01,876103.1359999999,876103.1359999999,1060288.9544375,1166378.04525,971547.3097471716
16,IL_A05,2025-01-01,94346.8,136448.0,118914.68621875,123218.38325,104784.87347313666
17,IL_A05,2025-04-01,94346.8,128360.533,118914.68621875,123218.38325,108527.66246907519
18,IL_A05,2025-07-01,94346.8,133718.2,118914.68621875,123218.38325,109616.6142033917
19,IL_A05,2025-10-01,94346.8,94346.8,118914.68621875,123218.38325,109707.00682084661
20,IL_A06,2025-01-01,22602095.77,19065939.06,16959986.631375,20356014.665,18507497.899691146
21,IL_A06,2025-04-01,22602095.77,14551524.48,16959986.631375,20356014.665,23447037.72698462
22,IL_A06,2025-07-01,22602095.77,25204499.35,16959986.631375,20356014.665,21492112.2057993
23,IL_A06,2025-10-01,22602095.77,22602095.77,16959986.631375,20356014.665,21426676.263229795
24,IL_A07,2025-01-01,1371636.41,2112867.113,2707788.14771875,1825348.1967500001,1327521.5095950672
25,IL_A07,2025-04-01,1371636.41,1949915.705,2707788.14771875,1825348.1967500001,1293652.4561957223
26,IL_A07,2025-07-01,1371636.41,1866973.559,2707788.14771875,1825348.1967500001,1267649.6126004634
27,IL_A07,2025-10-01,1371636.41,1371636.41,2707788.14771875,1825348.1967500001,1247686.0236563561
28,IL_A09,2025-01-01,481663.0,562004.0,654280.7589375,524792.0,634739.7998423823
29,IL_A09,2025-04-01,481663.0,528019.0,654280.7589375,524792.0,630200.302937397
30,IL_A09,2025-07-01,481663.0,527482.0,654280.7589375,524792.0,626715.1205607387
31,IL_A09,2025-10-01,481663.0,481663.0,654280.7589375,524792.0,624039.3844202675
32,IL_A10,2025-01-01,12931644.75,20250537.95,19500884.9228125,17774000.85,14518156.189093519
33,IL_A10,2025-04-01,12931644.75,19200316.1,19500884.9228125,17774000.85,15637876.152201103
34,IL_A10,2025-07-01,12931644.75,18713504.6,19500884.9228125,17774000.85,16427538.542299017
35,IL_A10,2025-10-01,12931644.75,12931644.75,19500884.9228125,17774000.85,16983962.991916206
36,IL_A11,2025-01-01,488964.988,552388.785,622504.7496875001,555544.2295,540018.889784316
37,IL_A11,2025-04-01,488964.988,619864.358,622504.7496875001,555544.2295,565830.3191248762
38,IL_A11,2025-07-01,488964.988,560958.787,622504.7496875001,555544.2295,578531.3307166365
39,IL_A11,2025-10-01,488964.988,488964.988,622504.7496875001,555544.2295,584499.7465781746
40,IL_A12,2025-01-01,11192933.34,18240440.92,14036966.23234375,16224514.5845,13820311.050820868
41,IL_A12,2025-04-01,11192933.34,26687264.11,14036966.23234375,16224514.5845,13721471.716566559
42,IL_A12,2025-07-01,11192933.34,8777419.968,14036966.23234375,16224514.5845,13645588.174166637
43,IL_A12,2025-10-01,11192933.34,11192933.34,14036966.23234375,16224514.5845,13587328.859467264
44,IL_A16,2025-01-01,275967.55,248068.335,240798.73781249998,301896.66875,301933.118439567
45,IL_A16,2025-04-01,275967.55,333636.63,240798.73781249998,301896.66875,302516.49998315825
46,IL_A16,2025-07-01,275967.55,349914.16000000003,240798.73781249998,301896.66875,302964.38905922725
47,IL_A16,2025-10-01,275967.55,275967.55,240798.73781249998,301896.66875,303308.2542743696
48,IL_B01,2025-01-01,2790824.905,4533334.672,4021845.79378125,3979632.514,3157445.283592106
49,IL_B01,2025-04-01,2790824.905,4402752.6,4021845.79378125,3979632.514,3384052.8168416084
50,IL_B01,2025-07-01,2790824.905,4191617.879,4021845.79378125,3979632.514,3523387.561367349
51,IL_B01,2025-10-01,2790824.905,2790824.905,4021845.79378125,3979632.514,3608487.3082318367
52,IL_B02,2025-01-01,803169.1000000001,5035500.346,2984050.45165625,2987638.1585,1877935.6420986932
53,IL_B02,2025-04-01,803169.1000000001,3701039.752,2984050.45165625,2987638.1585,2903637.1656352403
54,IL_B02,2025-07-01,803169.1000000001,2410843.436,2984050.45165625,2987638.1585,2887579.2471754844
55,IL_B02,2025-10-01,803169.1000000001,803169.1000000001,2984050.45165625,2987638.1585,2875250.838466869
56,IL_B03,2025-01-01,673254.6780000001,780673.591,1098100.57278125,918387.956,888384.2637698464
57,IL_B03,2025-04-01,673254.6780000001,1299455.091,1098100.57278125,918387.956,975243.7936355327
58,IL_B03,2025-07-01,673254.6780000001,920168.464,1098100.57278125,918387.956,1009073.0691389273
59,IL_B03,2025-10-01,673254.6780000001,673254.6780000001,1098100.57278125,918387.956,1021258.7146114857
60,IL_B05,2025-01-01,8470564.589,25003308.91,20501072.03865625,20598703.17225,20041813.870377317
61,IL_B05,2025-04-01,8470564.589,19899414.73,20501072.03865625,20598703.17225,19898479.937232647
62,IL_B05,2025-07-01,8470564.589,29021524.46,20501072.03865625,20598703.17225,19788435.82700882
63,IL_B05,2025-10-01,8470564.589,8470564.589,20501072.03865625,20598703.17225,19703949.86014983
64,IL_B06,2025-01-01,46308.857,66577.268,32351.4761875,52100.60949999999,23473.933651867977
65,IL_B06,2025-04-01,46308.857,65857.294,32351.4761875,52100.60949999999,20366.324517992547
66,IL_B06,2025-07-01,46308.857,29659.019,32351.4761875,52100.60949999999,24895.54255673018
