unique_id,ds,cutoff,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_A01,2020-01-01,2019-10-01,45015.0,36761.0,25240.312,37528.75,44721.0,36761.0,36761.0,34848.74,36749.88
IN_A01,2020-04-01,2019-10-01,58441.0,36761.0,25240.312,37528.75,32958.0,36761.0,36761.0,33148.46,36749.88
IN_A01,2020-07-01,2019-10-01,47741.0,36761.0,25240.312,37528.75,35675.0,36761.0,36761.0,38926.945,36749.88
IN_A01,2020-10-01,2019-10-01,35403.0,36761.0,25240.312,37528.75,36761.0,36761.0,36761.0,39539.57,36749.88
IN_A01,2021-01-01,2020-10-01,29030.0,35403.0,29522.25,46650.0,45015.0,35403.0,35403.0,47463.13,35527.438
IN_A01,2021-04-01,2020-10-01,47924.0,35403.0,29522.25,46650.0,58441.0,35403.0,35403.0,48759.387,35527.438
IN_A01,2021-07-01,2020-10-01,48260.0,35403.0,29522.25,46650.0,47741.0,35403.0,35403.0,51276.75,35527.438
IN_A01,2021-10-01,2020-10-01,45456.0,35403.0,29522.25,46650.0,35403.0,35403.0,35403.0,49362.766,35527.438
IN_A01,2022-01-01,2021-10-01,41744.0,45456.0,31713.125,42667.5,29030.0,45456.0,45456.0,47671.316,45483.99
IN_A01,2022-04-01,2021-10-01,48676.0,45456.0,31713.125,42667.5,47924.0,45456.0,45456.0,51842.617,45483.99
IN_A01,2022-07-01,2021-10-01,25206.0,45456.0,31713.125,42667.5,48260.0,45456.0,45456.0,54131.516,45483.99
IN_A01,2022-10-01,2021-10-01,47897.0,45456.0,31713.125,42667.5,45456.0,45456.0,45456.0,51907.133,45483.99
IN_A01,2023-01-01,2022-10-01,74003.0,47897.0,33022.785,40880.75,41744.0,47897.0,47897.0,48115.715,41705.133
IN_A01,2023-04-01,2022-10-01,99779.0,47897.0,33022.785,40880.75,48676.0,47897.0,47897.0,52736.543,41705.133
IN_A01,2023-07-01,2022-10-01,102437.0,47897.0,33022.785,40880.75,25206.0,47897.0,47897.0,51312.535,41705.133
IN_A01,2023-10-01,2022-10-01,104276.0,47897.0,33022.785,40880.75,47897.0,47897.0,47897.0,52736.055,41705.133
IN_A01,2024-01-01,2023-10-01,51744.0,104276.0,40785.406,95123.75,74003.0,104276.0,104276.0,108063.38,104656.69
IN_A01,2024-04-01,2023-10-01,32778.0,104276.0,40785.406,95123.75,99779.0,104276.0,104276.0,115323.16,105083.47
IN_A01,2024-07-01,2023-10-01,45852.0,104276.0,40785.406,95123.75,102437.0,104276.0,104276.0,114311.94,105534.375
IN_A01,2024-10-01,2023-10-01,26000.0,104276.0,40785.406,95123.75,104276.0,104276.0,104276.0,115823.25,106003.766
IN_A02,2020-01-01,2019-10-01,101834.0,111452.0,104667.375,99469.75,92529.0,104667.375,104667.375,84092.12,100333.305
IN_A02,2020-04-01,2019-10-01,105881.0,111452.0,104667.375,99469.75,95679.0,104667.375,104667.375,95915.734,100333.305
IN_A02,2020-07-01,2019-10-01,113399.0,111452.0,104667.375,99469.75,98219.0,104667.375,104667.375,87645.14,100333.305
IN_A02,2020-10-01,2019-10-01,115243.0,111452.0,104667.375,99469.75,111452.0,104667.375,104667.375,92536.78,100333.305
IN_A02,2021-01-01,2020-10-01,123669.0,115243.0,105551.75,109089.25,101834.0,105551.75,105551.75,101605.34,109706.15
IN_A02,2021-04-01,2020-10-01,135387.0,115243.0,105551.75,109089.25,105881.0,105551.75,105551.75,111845.6,109706.15
IN_A02,2021-07-01,2020-10-01,141311.0,115243.0,105551.75,109089.25,113399.0,105551.75,105551.75,106887.66,109706.15
IN_A02,2021-10-01,2020-10-01,150383.0,115243.0,105551.75,109089.25,115243.0,105551.75,105551.75,110966.95,109706.15
IN_A02,2022-01-01,2021-10-01,148630.0,150383.0,110907.71,137687.5,123669.0,139331.38,139331.38,140929.52,150291.67
IN_A02,2022-04-01,2021-10-01,164599.0,150383.0,110907.71,137687.5,135387.0,131612.2,131612.2,151403.12,150291.67
IN_A02,2022-07-01,2021-10-01,181354.0,150383.0,110907.71,137687.5,141311.0,126220.64,126220.64,148261.55,150291.67
IN_A02,2022-10-01,2021-10-01,158412.0,150383.0,110907.71,137687.5,150383.0,122454.82,122454.82,153299.88,150291.67
IN_A02,2023-01-01,2022-10-01,168087.0,158412.0,118385.0,163248.75,148630.0,173022.94,173022.94,158184.61,158639.73
IN_A02,2023-04-01,2022-10-01,200320.0,158412.0,118385.0,163248.75,164599.0,172229.67,172229.67,169443.53,158639.73
IN_A02,2023-07-01,2022-10-01,148155.0,158412.0,118385.0,163248.75,181354.0,177755.2,177755.2,169076.38,158639.73
IN_A02,2023-10-01,2022-10-01,149135.0,158412.0,118385.0,163248.75,158412.0,180688.77,180688.77,170097.64,158639.73
IN_A02,2024-01-01,2023-10-01,150092.0,149135.0,124389.91,166424.25,168087.0,154898.25,154898.25,150809.3,154385.94
IN_A02,2024-04-01,2023-10-01,139160.0,149135.0,124389.91,166424.25,200320.0,154898.25,154898.25,164677.31,154385.94
IN_A02,2024-07-01,2023-10-01,133215.0,149135.0,124389.91,166424.25,148155.0,154898.25,154898.25,157782.55,154385.94
IN_A02,2024-10-01,2023-10-01,120734.0,149135.0,124389.91,166424.25,149135.0,154898.25,154898.25,158953.11,154385.94
IN_A03,2020-01-01,2019-10-01,16660.0,15024.0,17549.188,15866.25,15511.0,15876.272,15876.272,13628.705,15831.554
IN_A03,2020-04-01,2019-10-01,17086.0,15024.0,17549.188,15866.25,15862.0,15876.272,15876.272,15385.364,15741.755
IN_A03,2020-07-01,2019-10-01,18614.0,15024.0,17549.188,15866.25,17068.0,15876.272,15876.272,15012.329,15656.486
IN_A03,2020-10-01,2019-10-01,19610.0,15024.0,17549.188,15866.25,15024.0,15876.272,15876.272,13845.5205,15575.077
IN_A03,2021-01-01,2020-10-01,21745.0,19610.0,17637.85,17992.5,16660.0,18464.506,18464.506,15125.302,19258.281
IN_A03,2021-04-01,2020-10-01,22984.0,19610.0,17637.85,17992.5,17086.0,17999.934,17999.934,16601.998,19258.281
IN_A03,2021-07-01,2020-10-01,23980.0,19610.0,17637.85,17992.5,18614.0,17811.52,17811.52,16618.717,19258.281
IN_A03,2021-10-01,2020-10-01,23830.0,19610.0,17637.85,17992.5,19610.0,17735.104,17735.104,15864.106,19258.281
IN_A03,2022-01-01,2021-10-01,24624.0,23830.0,18554.0,23134.75,21745.0,22805.768,23533.363,23644.697,23831.398
IN_A03,2022-04-01,2021-10-01,25437.0,23830.0,18554.0,23134.75,22984.0,21998.904,23507.766,25093.715,23831.398
IN_A03,2022-07-01,2021-10-01,26375.0,23830.0,18554.0,23134.75,23980.0,21363.283,23541.348,25258.193,23831.398
IN_A03,2022-10-01,2021-10-01,24872.0,23830.0,18554.0,23134.75,23830.0,20862.557,22212.39,24603.857,23831.398
IN_A03,2023-01-01,2022-10-01,25167.0,24872.0,19521.572,25327.0,24624.0,25214.203,24991.994,25195.354,24886.936
IN_A03,2023-04-01,2022-10-01,24818.0,24872.0,19521.572,25327.0,25437.0,25496.953,24467.48,26551.502,24886.936
IN_A03,2023-07-01,2022-10-01,22791.0,24872.0,19521.572,25327.0,26375.0,25660.834,24412.094,26833.617,24886.936
IN_A03,2023-10-01,2022-10-01,21170.0,24872.0,19521.572,25327.0,24872.0,25253.814,22714.422,26064.672,24886.936
IN_A03,2024-01-01,2023-10-01,20180.0,21170.0,20017.188,23486.5,25167.0,21170.0,21170.0,21560.955,21186.412
IN_A03,2024-04-01,2023-10-01,19852.0,21170.0,20017.188,23486.5,24818.0,21170.0,21170.0,22697.861,21186.412
