unique_id,ds,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_A01,2024-01-01,51744,104276.0,40785.406,95123.75,74003.0,104276.0,104276.0,108063.38,104656.69
IN_A01,2024-04-01,32778,104276.0,40785.406,95123.75,99779.0,104276.0,104276.0,115323.16,105083.47
IN_A01,2024-07-01,45852,104276.0,40785.406,95123.75,102437.0,104276.0,104276.0,114311.94,105534.375
IN_A01,2024-10-01,26000,104276.0,40785.406,95123.75,104276.0,104276.0,104276.0,115823.25,106003.766
IN_A02,2024-01-01,150092,149135.0,124389.91,166424.25,168087.0,154898.25,154898.25,150809.3,154385.94
IN_A02,2024-04-01,139160,149135.0,124389.91,166424.25,200320.0,154898.25,154898.25,164677.31,154385.94
IN_A02,2024-07-01,133215,149135.0,124389.91,166424.25,148155.0,154898.25,154898.25,157782.55,154385.94
IN_A02,2024-10-01,120734,149135.0,124389.91,166424.25,149135.0,154898.25,154898.25,158953.11,154385.94
IN_A03,2024-01-01,20180,21170.0,20017.188,23486.5,25167.0,21170.0,21170.0,21560.955,21186.412
IN_A03,2024-04-01,19852,21170.0,20017.188,23486.5,24818.0,21170.0,21170.0,22697.861,21186.412
IN_A03,2024-07-01,20074,21170.0,20017.188,23486.5,22791.0,21170.0,21170.0,22696.854,21186.412
IN_A03,2024-10-01,18266,21170.0,20017.188,23486.5,21170.0,21170.0,21170.0,21812.93,21186.412
IN_A04,2024-01-01,79409,70910.0,53898.094,74202.25,82989.0,70910.0,70910.0,77098.83,70646.516
IN_A04,2024-04-01,67185,70910.0,53898.094,74202.25,75031.0,70910.0,70910.0,73710.12,70646.516
IN_A04,2024-07-01,65540,70910.0,53898.094,74202.25,67879.0,70910.0,70910.0,71461.06,70646.516
IN_A04,2024-10-01,61806,70910.0,53898.094,74202.25,70910.0,70910.0,70910.0,74580.99,70646.516
IN_A05,2024-01-01,643,636.0,533.03125,699.25,746.0,636.0,636.0,654.15546,636.62195
IN_A05,2024-04-01,616,636.0,533.03125,699.25,717.0,636.0,636.0,663.2707,636.62195
IN_A05,2024-07-01,574,636.0,533.03125,699.25,698.0,636.0,636.0,679.27966,636.62195
IN_A05,2024-10-01,488,636.0,533.03125,699.25,636.0,636.0,636.0,658.60876,636.62195
IN_A06,2024-01-01,173708,101634.0,80631.94,107477.75,120938.0,105114.89,105114.89,112628.51,108171.57
IN_A06,2024-04-01,124677,101634.0,80631.94,107477.75,105154.0,105114.89,105114.89,108658.12,99127.43
IN_A06,2024-07-01,132962,101634.0,80631.94,107477.75,102185.0,105114.89,105114.89,113077.2,106757.23
IN_A06,2024-10-01,114367,101634.0,80631.94,107477.75,101634.0,105114.89,105114.89,126383.984,118331.29
