unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,WindowAverage
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,SeasonalNaive
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,Naive
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,HoltWinters
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,HistoricAverage
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,WindowAverage
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,SeasonalNaive
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,Naive
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,HoltWinters
IN_A01,2025-01-01,1379182.547,-1373128.1714574324,4131493.2654574327,HistoricAverage
IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,WindowAverage
IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,SeasonalNaive
IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,Naive
IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,HoltWinters
IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,HistoricAverage
IN_A01,2025-01-01,1710977.0946058964,-473790.030566307,3895744.2197781,WindowAverage
IN_A01,2025-01-01,1710977.0946058964,-473790.030566307,3895744.2197781,SeasonalNaive
IN_A01,2025-01-01,1710977.0946058964,-473790.030566307,3895744.2197781,Naive
IN_A01,2025-01-01,1710977.0946058964,-473790.030566307,3895744.2197781,HoltWinters
IN_A01,2025-01-01,1710977.0946058964,-473790.030566307,3895744.2197781,HistoricAverage
IN_A01,2025-01-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,WindowAverage
IN_A01,2025-01-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,SeasonalNaive
IN_A01,2025-01-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,Naive
IN_A01,2025-01-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HoltWinters
IN_A01,2025-01-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HistoricAverage
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,WindowAverage
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,SeasonalNaive
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,Naive
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,HoltWinters
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,HistoricAverage
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,WindowAverage
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,SeasonalNaive
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,Naive
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,HoltWinters
IN_A01,2025-04-01,1414326.759,-1337983.9594574324,4166637.4774574325,HistoricAverage
IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,WindowAverage
IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,SeasonalNaive
IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,Naive
IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,HoltWinters
IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,HistoricAverage
IN_A01,2025-04-01,2459921.61709068,275154.40365423914,4644688.830527121,WindowAverage
IN_A01,2025-04-01,2459921.61709068,275154.40365423914,4644688.830527121,SeasonalNaive
IN_A01,2025-04-01,2459921.61709068,275154.40365423914,4644688.830527121,Naive
IN_A01,2025-04-01,2459921.61709068,275154.40365423914,4644688.830527121,HoltWinters
IN_A01,2025-04-01,2459921.61709068,275154.40365423914,4644688.830527121,HistoricAverage
IN_A01,2025-04-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,WindowAverage
IN_A01,2025-04-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,SeasonalNaive
IN_A01,2025-04-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,Naive
IN_A01,2025-04-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HoltWinters
IN_A01,2025-04-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HistoricAverage
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,WindowAverage
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,SeasonalNaive
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,Naive
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,HoltWinters
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,HistoricAverage
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,WindowAverage
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,SeasonalNaive
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,Naive
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,HoltWinters
IN_A01,2025-07-01,1238717.4,-1513593.3184574326,3991028.1184574324,HistoricAverage
IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,WindowAverage
IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,SeasonalNaive
IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,Naive
IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,HoltWinters
IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,HistoricAverage
IN_A01,2025-07-01,1951305.4387473566,-233461.93597977236,4136072.8134744857,WindowAverage
IN_A01,2025-07-01,1951305.4387473566,-233461.93597977236,4136072.8134744857,SeasonalNaive
IN_A01,2025-07-01,1951305.4387473566,-233461.93597977236,4136072.8134744857,Naive
IN_A01,2025-07-01,1951305.4387473566,-233461.93597977236,4136072.8134744857,HoltWinters
IN_A01,2025-07-01,1951305.4387473566,-233461.93597977236,4136072.8134744857,HistoricAverage
IN_A01,2025-07-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,WindowAverage
IN_A01,2025-07-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,SeasonalNaive
IN_A01,2025-07-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,Naive
IN_A01,2025-07-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HoltWinters
IN_A01,2025-07-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HistoricAverage
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,WindowAverage
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,SeasonalNaive
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,Naive
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,HoltWinters
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,HistoricAverage
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,WindowAverage
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,SeasonalNaive
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,Naive
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,HoltWinters
IN_A01,2025-10-01,726622.955,-2025687.7634574324,3478933.6734574325,HistoricAverage
IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,WindowAverage
IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,SeasonalNaive
IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,Naive
IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,HoltWinters
IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,HistoricAverage
IN_A01,2025-10-01,2214550.280529019,29782.649637100752,4399317.911420938,WindowAverage
IN_A01,2025-10-01,2214550.280529019,29782.649637100752,4399317.911420938,SeasonalNaive
IN_A01,2025-10-01,2214550.280529019,29782.649637100752,4399317.911420938,Naive
IN_A01,2025-10-01,2214550.280529019,29782.649637100752,4399317.911420938,HoltWinters
IN_A01,2025-10-01,2214550.280529019,29782.649637100752,4399317.911420938,HistoricAverage
IN_A01,2025-10-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,WindowAverage
IN_A01,2025-10-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,SeasonalNaive
IN_A01,2025-10-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,Naive
IN_A01,2025-10-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HoltWinters
IN_A01,2025-10-01,1763990.5195277778,-253225.01124579366,3781206.0503013493,HistoricAverage
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,Naive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,Naive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,SeasonalNaive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,HoltWinters
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,HistoricAverage
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,Naive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,Naive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,SeasonalNaive
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,HoltWinters
IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,HistoricAverage
IN_A02,2025-01-01,8242206.313,5439725.30412914,11044687.32187086,Naive
IN_A02,2025-01-01,8242206.313,5439725.30412914,11044687.32187086,Naive
IN_A02,2025-01-01,8242206.313,5439725.30412914,11044687.32187086,SeasonalNaive
IN_A02,2025-01-01,8242206.313,5439725.30412914,11044687.32187086,HoltWinters
IN_A02,2025-01-01,8242206.313,5439725.30412914,11044687.32187086,HistoricAverage
IN_A02,2025-01-01,6932549.303846971,5142099.277732512,8722999.32996143,Naive
IN_A02,2025-01-01,6932549.303846971,5142099.277732512,8722999.32996143,Naive
IN_A02,2025-01-01,6932549.303846971,5142099.277732512,8722999.32996143,SeasonalNaive
IN_A02,2025-01-01,6932549.303846971,5142099.277732512,8722999.32996143,HoltWinters
IN_A02,2025-01-01,6932549.303846971,5142099.277732512,8722999.32996143,HistoricAverage
IN_A02,2025-01-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-01-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-01-01,6846819.591555555,3326968.411529652,10366670.77158146,SeasonalNaive
IN_A02,2025-01-01,6846819.591555555,3326968.411529652,10366670.77158146,HoltWinters
IN_A02,2025-01-01,6846819.591555555,3326968.411529652,10366670.77158146,HistoricAverage
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,Naive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,Naive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,SeasonalNaive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,HoltWinters
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,HistoricAverage
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,Naive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,Naive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,SeasonalNaive
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,HoltWinters
IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,HistoricAverage
IN_A02,2025-04-01,7854393.057,5051912.048129141,10656874.065870859,Naive
IN_A02,2025-04-01,7854393.057,5051912.048129141,10656874.065870859,Naive
IN_A02,2025-04-01,7854393.057,5051912.048129141,10656874.065870859,SeasonalNaive
IN_A02,2025-04-01,7854393.057,5051912.048129141,10656874.065870859,HoltWinters
IN_A02,2025-04-01,7854393.057,5051912.048129141,10656874.065870859,HistoricAverage
IN_A02,2025-04-01,7511939.30786108,5291060.804507427,9732817.811214734,Naive
IN_A02,2025-04-01,7511939.30786108,5291060.804507427,9732817.811214734,Naive
IN_A02,2025-04-01,7511939.30786108,5291060.804507427,9732817.811214734,SeasonalNaive
IN_A02,2025-04-01,7511939.30786108,5291060.804507427,9732817.811214734,HoltWinters
IN_A02,2025-04-01,7511939.30786108,5291060.804507427,9732817.811214734,HistoricAverage
IN_A02,2025-04-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-04-01,6846819.591555555,3326968.411529652,10366670.77158146,Naive
IN_A02,2025-04-01,6846819.591555555,3326968.411529652,10366670.77158146,SeasonalNaive
IN_A02,2025-04-01,6846819.591555555,3326968.411529652,10366670.77158146,HoltWinters
IN_A02,2025-04-01,6846819.591555555,3326968.411529652,10366670.77158146,HistoricAverage
IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,Naive
IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,Naive
IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,SeasonalNaive
