unique_id,ds,cutoff,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_A01,2020-01-01,2019-10-01,1709043.485,1125968.595,1492187.2449999999,1624460.91775,3257235.907,1492187.2450000008,1492187.2450000008,1316222.0094374262,1541167.674360336
IN_A01,2020-04-01,2019-10-01,3696006.933,1125968.595,1492187.2449999999,1624460.91775,948503.758,1492187.2450000008,1492187.2450000008,1300379.0707982916,1541167.6743603363
IN_A01,2020-07-01,2019-10-01,1669084.205,1125968.595,1492187.2449999999,1624460.91775,1166135.411,1492187.2450000008,1492187.2450000008,1374750.5847965837,1541167.6743603365
IN_A01,2020-10-01,2019-10-01,1331393.98,1125968.595,1492187.2449999999,1624460.91775,1125968.595,1492187.2450000008,1492187.2450000008,2320624.2921056566,1541167.6743603365
IN_A01,2021-01-01,2020-10-01,963008.973,1331393.98,1614026.22615,2101382.15075,1709043.485,1614026.2261499995,1614026.2261499995,1744494.3877536897,1732528.6848911021
IN_A01,2021-04-01,2020-10-01,4340354.28,1331393.98,1614026.22615,2101382.15075,3696006.933,1614026.2261499995,1614026.2261499995,2112138.382012011,1732528.6848911021
IN_A01,2021-07-01,2020-10-01,2106043.99,1331393.98,1614026.22615,2101382.15075,1669084.205,1614026.2261499995,1614026.2261499995,1791798.2221932905,1732528.6848911021
IN_A01,2021-10-01,2020-10-01,1598343.514,1331393.98,1614026.22615,2101382.15075,1331393.98,1614026.2261499995,1614026.2261499995,2471799.4968775897,1732528.6848911021
IN_A01,2022-01-01,2021-10-01,1238847.707,1598343.514,1720344.8033333335,2251937.6892500003,963008.973,1720344.803333334,1720344.803333334,1853292.2459465512,1913278.7679595982
IN_A01,2022-04-01,2021-10-01,1727771.98,1598343.514,1720344.8033333335,2251937.6892500003,4340354.28,1720344.803333334,1720344.803333334,2739727.2749378043,1913278.7679595985
IN_A01,2022-07-01,2021-10-01,1557520.825,1598343.514,1720344.8033333335,2251937.6892500003,2106043.99,1720344.803333334,1720344.803333334,2066473.6786431163,1913278.7679595987
IN_A01,2022-10-01,2021-10-01,1544840.108,1598343.514,1720344.8033333335,2251937.6892500003,1598343.514,1720344.803333334,1720344.803333334,2575403.891453417,1913278.767959599
IN_A01,2023-01-01,2022-10-01,2279788.163,1544840.108,1691330.567857143,1517245.155,1238847.707,1691330.5678571428,1691330.5678571428,1603262.8028113383,1778432.2571572033
IN_A01,2023-04-01,2022-10-01,3251210.291,1544840.108,1691330.567857143,1517245.155,1727771.98,1691330.5678571428,1691330.5678571428,2433590.3056591703,1778432.2571572033
IN_A01,2023-07-01,2022-10-01,3022578.794,1544840.108,1691330.567857143,1517245.155,1557520.825,1691330.5678571428,1691330.5678571428,1848177.1480898035,1778432.2571572033
IN_A01,2023-10-01,2022-10-01,2833975.894,1544840.108,1691330.567857143,1517245.155,1544840.108,1691330.5678571428,1691330.5678571428,2256615.728479065,1778432.2571572033
IN_A01,2024-01-01,2023-10-01,1379182.547,2833975.894,1835775.2825625,2846888.2854999998,2279788.163,1835775.2825625006,1835775.2825625006,2051479.051922901,2153854.6733027385
IN_A01,2024-04-01,2023-10-01,1414326.759,2833975.894,1835775.2825625,2846888.2854999998,3251210.291,1835775.2825625006,1835775.2825625006,2889561.1624872885,2153854.6733027385
IN_A01,2024-07-01,2023-10-01,1238717.4,2833975.894,1835775.2825625,2846888.2854999998,3022578.794,1835775.2825625006,1835775.2825625006,2355250.6094039544,2153854.6733027385
IN_A01,2024-10-01,2023-10-01,726622.955,2833975.894,1835775.2825625,2846888.2854999998,2833975.894,1835775.2825625006,1835775.2825625006,2695289.327618795,2153854.6733027385
IN_A02,2020-01-01,2019-10-01,5193283.959,5781346.723,5301165.8735625,5455944.164249999,5233910.135,5301165.873562502,5210575.008084944,4840942.631222655,5188771.682943112
IN_A02,2020-04-01,2019-10-01,6093064.677,5781346.723,5301165.8735625,5455944.164249999,5149614.776,5301165.873562502,5269043.490391323,5311036.5247978475,5188771.682943112
IN_A02,2020-07-01,2019-10-01,7018415.467,5781346.723,5301165.8735625,5455944.164249999,5658905.023,5301165.873562502,4915792.39627675,5014374.522563063,5188771.682943112
IN_A02,2020-10-01,2019-10-01,6596111.597,5781346.723,5301165.8735625,5455944.164249999,5781346.723,5301165.873562502,4830865.059173732,5055058.372503672,5188771.682943112
IN_A02,2021-01-01,2020-10-01,7525641.502,6596111.597,5485976.48385,6225218.925,5193283.959,5758807.9634809615,5758807.9634809615,6160018.272905221,6503270.4162563495
IN_A02,2021-04-01,2020-10-01,8609615.162,6596111.597,5485976.48385,6225218.925,6093064.677,5485976.483849767,5485976.483849767,6713564.199126878,6503270.4162563495
IN_A02,2021-07-01,2020-10-01,8542591.41,6596111.597,5485976.48385,6225218.925,7018415.467,5485976.483849767,5485976.483849767,6674933.215457982,6503270.4162563495
IN_A02,2021-10-01,2020-10-01,8475935.941,6596111.597,5485976.48385,6225218.925,6596111.597,5485976.483849767,5485976.483849767,6616471.818137092,6503270.4162563495
IN_A02,2022-01-01,2021-10-01,8018538.228,8475935.941,5953054.737166666,8288446.00375,7525641.502,9050451.345674299,9050451.345674299,8427262.675969236,8480029.319472691
IN_A02,2022-04-01,2021-10-01,8671604.678,8475935.941,5953054.737166666,8288446.00375,8609615.162,9034420.839951891,9034420.839951891,9065612.382129949,8480029.319472691
IN_A02,2022-07-01,2021-10-01,9366701.546,8475935.941,5953054.737166666,8288446.00375,8542591.41,9204761.971884646,9204761.971884646,9017531.632519415,8480029.319472691
IN_A02,2022-10-01,2021-10-01,8586273.668,8475935.941,5953054.737166666,8288446.00375,8475935.941,9532648.046004396,9532648.046004396,8962444.742169196,8480029.319472691
IN_A02,2023-01-01,2022-10-01,9879170.954,8586273.668,6339872.564714287,8660779.53,8018538.228,8586273.668,8586273.668,8658124.747556051,8732441.310305899
IN_A02,2023-04-01,2022-10-01,11006792.12,8586273.668,6339872.564714287,8660779.53,8671604.678,8586273.668,8586273.668,9297776.577288693,8732441.310305899
IN_A02,2023-07-01,2022-10-01,8632155.005,8586273.668,6339872.564714287,8660779.53,9366701.546,8586273.668,8586273.668,9357390.08020015,8732441.310305899
IN_A02,2023-10-01,2022-10-01,9205572.785,8586273.668,6339872.564714287,8660779.53,8586273.668,8586273.668,8586273.668,9196565.833837913,8732441.310305899
IN_A02,2024-01-01,2023-10-01,8242206.313,9205572.785,6757503.833625,9680922.716000002,9879170.954,9246543.226942293,9246543.226942293,9443398.815779557,9259029.386842432
IN_A02,2024-04-01,2023-10-01,7854393.057,9205572.785,6757503.833625,9680922.716000002,11006792.12,9246543.226942293,9246543.226942293,10178673.553350342,9270589.831363993
IN_A02,2024-07-01,2023-10-01,7359497.375,9205572.785,6757503.833625,9680922.716000002,8632155.005,9246543.226942293,9246543.226942293,9942439.81622984,9281995.25991803
IN_A02,2024-10-01,2023-10-01,6789285.875,9205572.785,6757503.833625,9680922.716000002,9205572.785,9246543.226942293,9246543.226942293,9890993.642068982,9293221.778370492
IN_A03,2020-01-01,2019-10-01,1498643.354,1397809.6,1490589.3752499998,1481034.796,1434559.35,1490589.375250001,1490589.375250001,1388756.5165762103,1479620.7606872637
IN_A03,2020-04-01,2019-10-01,1568003.071,1397809.6,1490589.3752499998,1481034.796,1416526.234,1490589.375250001,1490589.375250001,1486840.8895693598,1479620.7606872637
IN_A03,2020-07-01,2019-10-01,1557340.088,1397809.6,1490589.3752499998,1481034.796,1675244.0,1490589.375250001,1490589.375250001,1506172.1978919222,1479620.7606872637
IN_A03,2020-10-01,2019-10-01,1747831.338,1397809.6,1490589.3752499998,1481034.796,1397809.6,1490589.375250001,1490589.375250001,1474499.9872772775,1479620.7606872637
IN_A03,2021-01-01,2020-10-01,1830864.313,1747831.338,1511062.3927499996,1592954.46275,1498643.354,1511062.3927499996,1511062.3927499996,1476447.1166159096,1545228.7842002397
IN_A03,2021-04-01,2020-10-01,1892065.867,1747831.338,1511062.3927499996,1592954.46275,1568003.071,1511062.3927499996,1511062.3927499996,1568564.7328160503,1545228.7842002397
IN_A03,2021-07-01,2020-10-01,2079353.15,1747831.338,1511062.3927499996,1592954.46275,1557340.088,1511062.3927499996,1511062.3927499996,1581776.7614930596,1545228.7842002397
IN_A03,2021-10-01,2020-10-01,2081602.845,1747831.338,1511062.3927499996,1592954.46275,1747831.338,1511062.3927499996,1511062.3927499996,1594361.5804271565,1545228.7842002397
IN_A03,2022-01-01,2021-10-01,2095311.06,2081602.845,1587713.9179166667,1970971.54375,1830864.313,2081602.845,2081602.845,2023444.8100908364,2074185.695342314
IN_A03,2022-04-01,2021-10-01,2134390.27,2081602.845,1587713.9179166667,1970971.54375,1892065.867,2081602.845,2081602.845,2112971.5222077323,2074185.695342314
IN_A03,2022-07-01,2021-10-01,2187822.35,2081602.845,1587713.9179166667,1970971.54375,2079353.15,2081602.845,2081602.845,2157606.6509697638,2074185.695342314
IN_A03,2022-10-01,2021-10-01,2064097.57,2081602.845,1587713.9179166667,1970971.54375,2081602.845,2081602.845,2081602.845,2172003.0100105964,2074185.695342314
IN_A03,2023-01-01,2022-10-01,1941883.0,2064097.57,1663812.6885714289,2120405.3125,2095311.06,2064097.57,2064097.57,2066840.9138079581,2085325.1570004513
IN_A03,2023-04-01,2022-10-01,1901024.4,2064097.57,1663812.6885714289,2120405.3125,2134390.27,2064097.57,2064097.57,2146561.5225782893,2085325.1570004513
IN_A03,2023-07-01,2022-10-01,1902258.5,2064097.57,1663812.6885714289,2120405.3125,2187822.35,2064097.57,2064097.57,2192130.4897826193,2085325.1570004513
IN_A03,2023-10-01,2022-10-01,1755260.5,2064097.57,1663812.6885714289,2120405.3125,2064097.57,2064097.57,2064097.57,2183322.52819404,2085325.1570004513
IN_A03,2024-01-01,2023-10-01,1588232.0,1755260.5,1690224.4275,1875106.6,1941883.0,1755260.5,1755260.5,1728198.0528611492,1773923.523196098
IN_A03,2024-04-01,2023-10-01,1595490.0,1755260.5,1690224.4275,1875106.6,1901024.4,1755260.5,1755260.5,1786753.553614619,1773923.523196098
IN_A03,2024-07-01,2023-10-01,1661913.1,1755260.5,1690224.4275,1875106.6,1902258.5,1755260.5,1755260.5,1818890.2310926754,1773923.523196098
IN_A03,2024-10-01,2023-10-01,1555400.0,1755260.5,1690224.4275,1875106.6,1755260.5,1755260.5,1755260.5,1786132.3042331322,1773923.523196098
