State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
Wyoming,68891,,,,2016,12,2014,3,
Oklahoma,765374,,,,2016,12,2014,2,
"Rhode Island",250294,39131,39131,0,2016,12,2014,3,
Alabama,1000824,,,,2016,12,2014,2,
Michigan,1791236,,,,2016,12,2014,1,
Michigan,1803155,,,,2016,12,2014,2,
Illinois,2850715,383988,383591,397,2016,12,2014,3,
"Puerto Rico",1329677,570717,,570717,2016,12,2014,3,
Colorado,889665,155871,154690,1181,2016,12,2014,1,
"North Carolina",1837398,,,,2016,12,2014,3,
Utah,313500,,,,2016,12,2014,1,
"New York",2082549,791665,28324,763341,2016,12,2014,1,
Missouri,780053,,,,2016,12,2014,3,
Iowa,499120,61768,60589,1179,2016,12,2014,1,
Kentucky,1060566,247899,247899,0,2016,12,2014,3,
Idaho,270679,,,,2016,12,2014,1,
Alaska,107200,,,,2016,12,2014,1,
Vermont,187050,37432,0,37432,2016,12,2014,1,
Oklahoma,757290,,,,2016,12,2014,1,
Illinois,2724044,273645,273498,147,2016,12,2014,1,
Montana,147003,,,,2016,12,2014,1,
California,13309395,1339318,1339318,0,2016,12,2014,2,
Tennessee,1368261,,,,2016,12,2014,3,
Georgia,1673416,,,,2016,12,2014,3,
Alabama,997545,,,,2016,12,2014,1,
Wisconsin,1172221,,,,2016,12,2014,1,
"Rhode Island",233589,27930,27930,0,2016,12,2014,2,
"South Carolina",1053784,,,,2016,12,2014,3,
Nebraska,233229,,,,2016,12,2014,2,
Arkansas,871098,209868,185567,24301,2016,12,2014,2,
Maine,300720,,,,2016,12,2014,1,
Idaho,276009,,,,2016,12,2014,3,
Kentucky,997084,197850,197850,0,2016,12,2014,2,
Totals,66277482,7222843,5089144,2133699,2016,12,2014,3,
Illinois,2764067,311244,311026,218,2016,12,2014,2,
Alaska,110050,,,,2016,12,2014,3,
Alaska,106745,,,,2016,12,2014,2,
Maryland,1091423,163927,163927,0,2016,12,2014,3,
Virginia,882479,,,,2016,12,2014,2,
"New Jersey",1470023,398073,398073,0,2016,12,2014,3,
"South Dakota",105290,,,,2016,12,2014,1,
"South Carolina",1038049,,,,2016,12,2014,2,
Ohio,2507119,159628,150265,9363,2016,12,2014,2,
Nevada,404662,63693,63693,0,2016,12,2014,3,
