State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Amer. Samoa",28183,,,,2020,2,2019,1,
Kansas,369499,,,,2020,2,2019,1,
"N. Mariana Islands",15963,,,,2020,2,2019,2,
Totals,75153292,15448306,12201118,3247188,2020,2,2019,2,
Utah,287277,,,,2020,2,2019,3,
Maine,257551,8562,8562,0,2020,2,2019,2,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Colorado,1255515,389270,382110,7160,2020,2,2019,2,
Tennessee,1540713,,,,2020,2,2019,1,
Utah,288842,,,,2020,2,2019,2,
Massachusetts,1488230,336784,0,336784,2020,2,2019,3,
Kentucky,1290860,450566,450566,0,2020,2,2019,2,
Pennsylvania,2859499,770742,731892,38850,2020,2,2019,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Nevada,589856,211069,211069,0,2020,2,2019,1,
Wyoming,54597,,,,2020,2,2019,3,
Arizona,1874674,421967,106458,315509,2020,2,2019,1,
Idaho,293665,,,,2020,2,2019,1,
Arizona,1876939,426199,107490,318709,2020,2,2019,3,
Indiana,1310771,310202,310202,0,2020,2,2019,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"New York",6130507,1900628,301942,1598686,2020,2,2019,3,
Hawaii,313334,112080,20671,91409,2020,2,2019,1,
Minnesota,1084410,197789,197019,770,2020,2,2019,1,
Oregon,958743,461893,381390,80503,2020,2,2019,3,
Alabama,1033902,,,,2020,2,2019,2,
Arkansas,825029,247947,246996,951,2020,2,2019,3,
Nevada,587603,209747,209747,0,2020,2,2019,3,
"New Jersey",1639444,545379,545379,0,2020,2,2019,2,
"South Dakota",104369,,,,2020,2,2019,1,
Delaware,219338,62893,9842,53051,2020,2,2019,1,
"North Carolina",2162490,,,,2020,2,2019,3,
Oregon,967100,466729,386673,80056,2020,2,2019,1,
Minnesota,1067388,193550,192684,866,2020,2,2019,2,
Florida,3790751,,,,2020,2,2019,2,
Washington,1743962,559930,545495,14435,2020,2,2019,2,
"Virgin Islands",27617,12713,12678,12713,2020,2,2019,1,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,218971,62762,9817,52945,2020,2,2019,3,
Illinois,2638758,672921,565283,107638,2020,2,2019,2,
"North Dakota",89555,19561,18641,920,2020,2,2019,2,
Missouri,881755,,,,2020,2,2019,3,
"New York",6153908,1911722,302526,1609196,2020,2,2019,1,
Maryland,1222071,310968,310968,0,2020,2,2019,3,
Connecticut,954542,267800,243656,24144,2020,2,2019,3,
California,12724664,3768331,3767510,821,2020,2,2019,2,
Louisiana,1675222,507789,507789,0,2020,2,2019,2,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
"Puerto Rico",1212621,403672,,403672,2020,2,2019,2,
Nebraska,244419,,,,2020,2,2019,1,
Vermont,171269,56793,0,56793,2020,2,2019,1,
Vermont,169458,55799,0,55799,2020,2,2019,3,
Iowa,603260,171270,156133,15137,2020,2,2019,3,
"New Hampshire",185135,54590,54307,283,2020,2,2019,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,35908,4208,,4208,2020,2,2019,3,
Maine,250952,2922,2922,0,2020,2,2019,1,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Texas,4204185,,,,2020,2,2019,2,
Alaska,207050,50745,50742,3,2020,2,2019,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Michigan,2443016,697752,645158,52594,2020,2,2019,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,675003,,,,2020,2,2019,1,
"South Carolina",1269811,,,,2020,2,2019,3,
Oklahoma,637768,,,,2020,2,2019,3,
Alabama,1033512,,,,2020,2,2019,3,
"West Virginia",524071,161070,161070,0,2020,2,2019,1,
