State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Alabama,"1,353,361",N/A,N/A,N/A,2024,12,2023,7,
Alaska,"256,483","74,688","74,687",1,2024,12,2023,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"33,887",N/A,N/A,N/A,2024,12,2023,7,
Arizona,"2,271,339","673,715","142,142","531,573",2024,12,2023,7,
Arkansas,"918,743","284,753","272,364","12,389",2024,12,2023,7,
California,"15,362,807","5,322,018","5,290,778","31,240",2024,12,2023,7,
Colorado,"1,631,208","595,878","587,705","8,173",2024,12,2023,7,
Connecticut,"1,162,357","372,514","341,718","30,796",2024,12,2023,7,
Delaware,"298,788","102,146","15,890","86,256",2024,12,2023,7,
District of Columbia,"294,729","139,532","93,526","46,006",2024,12,2023,7,
Florida,"5,318,887",N/A,N/A,N/A,2024,12,2023,7,
Georgia,"2,618,313",N/A,N/A,N/A,2024,12,2023,7,
Guam,"44,290","6,156",N/A,"6,156",2024,12,2023,7,
Hawaii,"468,052","183,201","30,854","152,347",2024,12,2023,7,
Idaho,"391,557","107,712","107,712",0,2024,12,2023,7,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,463,903","1,009,299","929,371","79,928",2024,12,2023,7,
Indiana,"2,040,189","595,756","595,756",0,2024,12,2023,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"739,215","234,738","203,710","31,028",2024,12,2023,7,
Kansas,"451,578",N/A,N/A,N/A,2024,12,2023,7,
Kentucky,"1,546,316","618,591","618,591",0,2024,12,2023,7,
Louisiana,"2,228,741","1,014,449","780,095","234,354",2024,12,2023,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"410,332","116,572","92,718","23,854",2024,12,2023,7,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,597,078","463,274","463,274",0,2024,12,2023,7,
Massachusetts,"2,290,802","504,956",0,"504,956",2024,12,2023,7,
Michigan,"3,115,705","1,096,494","1,020,805","75,689",2024,12,2023,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014. "
Minnesota,"1,422,107","326,995","326,995",0,2024,12,2023,7,
Mississippi,"834,487",N/A,N/A,N/A,2024,12,2023,7,
Missouri,"1,482,476","350,795","350,795",0,2024,12,2023,7,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"286,665","110,827","110,827",0,2024,12,2023,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"17,129",N/A,N/A,N/A,2024,12,2023,7,
Nebraska,"385,773","82,590","80,692","1,898",2024,12,2023,7,
Nevada,"843,000","380,564","380,564",0,2024,12,2023,7,
New Hampshire,"192,277","65,068","64,622",446,2024,12,2023,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"2,170,619","783,401","783,401",0,2024,12,2023,7,
New Mexico,"925,158","288,232","288,232",0,2024,12,2023,7,
New York,"7,935,241","2,582,592","436,117","2,146,475",2024,12,2023,7,
North Carolina,"2,967,275",N/A,N/A,N/A,2024,12,2023,7,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota,"127,424","34,119","32,424","1,695",2024,12,2023,7,
Ohio,"3,528,290","875,610","875,355",255,2024,12,2023,7,
Oklahoma,"1,211,825","365,810","365,810",0,2024,12,2023,7,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,354,166","728,674","619,437","109,237",2024,12,2023,7,
Pennsylvania,"3,588,827","1,149,301","1,084,846","64,455",2024,12,2023,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,522,500","695,770",N/A,"695,770",2024,12,2023,7,
Rhode Island,"362,475","102,173","102,173",0,2024,12,2023,7,
South Carolina,"1,557,395",N/A,N/A,N/A,2024,12,2023,7,
South Dakota,"109,030","4,125","4,125",0,2024,12,2023,7,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee,"1,892,813",N/A,N/A,N/A,2024,12,2023,7,
Texas,"5,882,840",N/A,N/A,N/A,2024,12,2023,7,
Utah,"459,540","126,322","125,366",956,2024,12,2023,7,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"193,611","82,498",0,"82,498",2024,12,2023,7,
Virgin Islands,"36,868","18,248",N/A,"18,248",2024,12,2023,7,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,997,416","752,549","752,549",0,2024,12,2023,7,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,056,657","760,521","740,744","19,777",2024,12,2023,7,
West Virginia,"614,687","225,701","225,701",0,2024,12,2023,7,
Wisconsin,"1,502,101",N/A,N/A,N/A,2024,12,2023,7,
Wyoming,"88,080",N/A,N/A,N/A,2024,12,2023,7,
Totals,"97,857,412","24,408,927","19,412,471","4,996,456",2024,12,2023,7,
Alabama,"1,325,088",N/A,N/A,N/A,2024,12,2023,8,
Alaska,"251,160","73,071","73,071",0,2024,12,2023,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"33,887",N/A,N/A,N/A,2024,12,2023,8,
Arizona,"2,242,083","657,700","135,347","522,353",2024,12,2023,8,
Arkansas,"868,551","264,913","254,406","10,507",2024,12,2023,8,
California,"15,343,746","5,326,420","5,295,388","31,032",2024,12,2023,8,
Colorado,"1,582,723","573,810","565,769","8,041",2024,12,2023,8,
Connecticut,"1,146,797","374,121","342,311","31,810",2024,12,2023,8,
Delaware,"290,897","98,720","15,263","83,457",2024,12,2023,8,
District of Columbia,"291,177","136,623","91,222","45,401",2024,12,2023,8,
Florida,"5,376,391",N/A,N/A,N/A,2024,12,2023,8,
Georgia,"2,478,927",N/A,N/A,N/A,2024,12,2023,8,
Guam,"44,534","6,197",N/A,"6,197",2024,12,2023,8,
Hawaii,"468,435","181,422","30,428","150,994",2024,12,2023,8,
Idaho,"371,854","97,821","97,821",0,2024,12,2023,8,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,436,109","1,003,759","923,520","80,239",2024,12,2023,8,
Indiana,"2,002,413","591,406","591,406",0,2024,12,2023,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"707,178","219,540","193,110","26,430",2024,12,2023,8,
Kansas,"435,863",N/A,N/A,N/A,2024,12,2023,8,
Kentucky,"1,527,569","606,434","606,434",0,2024,12,2023,8,
Louisiana,"2,198,151","998,250","765,237","233,013",2024,12,2023,8,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"408,101","116,446","92,471","23,975",2024,12,2023,8,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,576,830","457,544","457,544",0,2024,12,2023,8,
Massachusetts,"2,280,258","482,112",0,"482,112",2024,12,2023,8,
Michigan,"3,056,264","1,070,013","996,093","73,920",2024,12,2023,8,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014. "
Minnesota,"1,394,888","317,995","317,995",0,2024,12,2023,8,
Mississippi,"814,786",N/A,N/A,N/A,2024,12,2023,8,
Missouri,"1,468,978","349,933","349,933",0,2024,12,2023,8,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"275,402","104,655","104,655",0,2024,12,2023,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,371",N/A,N/A,N/A,2024,12,2023,8,
Nebraska,"392,231","84,289","82,338","1,951",2024,12,2023,8,
Nevada,"839,936","378,160","378,160",0,2024,12,2023,8,
New Hampshire,"186,699","60,498","60,064",434,2024,12,2023,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"2,155,858","776,395","776,395",0,2024,12,2023,8,
New Mexico,"901,881","279,626","279,626",0,2024,12,2023,8,
New York,"7,821,660","2,540,512","426,091","2,114,421",2024,12,2023,8,
North Carolina,"2,956,601",N/A,N/A,N/A,2024,12,2023,8,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota,"122,708","32,298","30,742","1,556",2024,12,2023,8,
Ohio,"3,473,616","856,823","856,577",246,2024,12,2023,8,
Oklahoma,"1,186,287","344,083","344,083",0,2024,12,2023,8,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,348,988","724,863","613,640","111,223",2024,12,2023,8,
Pennsylvania,"3,535,700","1,123,544","1,060,721","62,823",2024,12,2023,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,529,641","698,443",N/A,"698,443",2024,12,2023,8,
Rhode Island,"360,912","100,399","100,399",0,2024,12,2023,8,
South Carolina,"1,557,385",N/A,N/A,N/A,2024,12,2023,8,
South Dakota,"109,131","7,478","7,478",0,2024,12,2023,8,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee,"1,876,773",N/A,N/A,N/A,2024,12,2023,8,
Texas,"5,765,159",N/A,N/A,N/A,2024,12,2023,8,
Utah,"443,253","119,015","117,981","1,034",2024,12,2023,8,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"193,612","82,227",0,"82,227",2024,12,2023,8,
Virgin Islands,"35,311","17,257",N/A,"17,257",2024,12,2023,8,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,976,607","745,460","745,460",0,2024,12,2023,8,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"1,992,717","718,547","698,782","19,765",2024,12,2023,8,
West Virginia,"598,091","216,686","216,686",0,2024,12,2023,8,
Wisconsin,"1,470,548",N/A,N/A,N/A,2024,12,2023,8,
Wyoming,"77,896",N/A,N/A,N/A,2024,12,2023,8,
Totals,"96,623,612","24,015,508","19,094,647","4,920,861",2024,12,2023,8,
Alabama,"1,296,845",N/A,N/A,N/A,2024,12,2023,9,
Alaska,"244,188","70,664","70,664",0,2024,12,2023,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"33,887",N/A,N/A,N/A,2024,12,2023,9,
Arizona,"2,707,565","844,387","196,105","648,282",2024,12,2023,9,
Arkansas,"835,268","253,254","244,108","9,146",2024,12,2023,9,
California,"15,027,570","5,181,885","5,151,950","29,935",2024,12,2023,9,
Colorado,"1,532,057","551,705","544,038","7,667",2024,12,2023,9,
Connecticut,"1,133,861","365,972","334,664","31,308",2024,12,2023,9,
Delaware,"283,833","95,609","14,652","80,957",2024,12,2023,9,
District of Columbia,"287,873","134,002","89,065","44,937",2024,12,2023,9,
Florida,"5,417,062",N/A,N/A,N/A,2024,12,2023,9,
Georgia,"2,463,031",N/A,N/A,N/A,2024,12,2023,9,
Guam,"44,400","6,188",N/A,"6,188",2024,12,2023,9,
Hawaii,"469,705","180,403","29,964","150,439",2024,12,2023,9,
Idaho,"337,811","83,833","83,833",0,2024,12,2023,9,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,420,649","1,004,844","923,344","81,500",2024,12,2023,9,
Indiana,"1,956,949","581,737","581,737",0,2024,12,2023,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"680,060","209,090","186,569","22,521",2024,12,2023,9,
Kansas,"433,911",N/A,N/A,N/A,2024,12,2023,9,
Kentucky,"1,506,338","593,558","593,558",0,2024,12,2023,9,
Louisiana,"2,160,233","976,856","745,461","231,395",2024,12,2023,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"403,931","115,294","91,408","23,886",2024,12,2023,9,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,571,402","455,948","455,948",0,2024,12,2023,9,
Massachusetts,"2,251,713","463,523",0,"463,523",2024,12,2023,9,
Michigan,"2,987,640","1,039,111","967,782","71,329",2024,12,2023,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014. "
Minnesota,"1,357,278","307,001","307,001",0,2024,12,2023,9,
Mississippi,"794,563",N/A,N/A,N/A,2024,12,2023,9,
Missouri,"1,441,448","343,168","343,168",0,2024,12,2023,9,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"261,838","97,499","97,499",0,2024,12,2023,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,013",N/A,N/A,N/A,2024,12,2023,9,
Nebraska,"384,741","82,590","80,692","1,898",2024,12,2023,9,
Nevada,"833,536","374,633","374,633",0,2024,12,2023,9,
New Hampshire,"185,247","61,067","60,642",425,2024,12,2023,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"2,116,625","752,389","752,389",0,2024,12,2023,9,
New Mexico,"869,896","268,125","268,125",0,2024,12,2023,9,
New York,"7,696,056","2,496,091","417,302","2,078,789",2024,12,2023,9,
North Carolina,"2,946,890",N/A,N/A,N/A,2024,12,2023,9,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
North Dakota,"120,654","31,465","29,964","1,501",2024,12,2023,9,
Ohio,"3,422,453","838,158","837,919",239,2024,12,2023,9,
Oklahoma,"1,077,766","303,033","303,033",0,2024,12,2023,9,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,340,114","719,700","608,684","111,016",2024,12,2023,9,
Pennsylvania,"3,459,823","1,085,603","1,024,336","61,267",2024,12,2023,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,525,572","695,102",N/A,"695,102",2024,12,2023,9,
Rhode Island,"358,348","97,376","97,376",0,2024,12,2023,9,
South Carolina,"1,560,932",N/A,N/A,N/A,2024,12,2023,9,
South Dakota,"109,315","10,164","10,164",0,2024,12,2023,9,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee,"1,841,592",N/A,N/A,N/A,2024,12,2023,9,
Texas,"5,438,284",N/A,N/A,N/A,2024,12,2023,9,
Utah,"428,331","113,580","112,521","1,059",2024,12,2023,9,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"190,131","79,579",0,"79,579",2024,12,2023,9,
Virgin Islands,"30,867","14,556",N/A,"14,556",2024,12,2023,9,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,959,631","739,411","739,411",0,2024,12,2023,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"1,981,472","708,463","688,514","19,949",2024,12,2023,9,
West Virginia,"583,289","207,927","207,927",0,2024,12,2023,9,
Wisconsin,"1,437,713",N/A,N/A,N/A,2024,12,2023,9,
Wyoming,"78,650",N/A,N/A,N/A,2024,12,2023,9,
Totals,"95,335,850","23,634,543","18,666,150","4,968,393",2024,12,2023,9,
