State,Year,Quarter,Population
Alabama,2017,1,1019973.0
Alabama,2017,2,1016816.0
Alabama,2017,3,1019782.0
Alabama,2017,4,1018509.6666666666
Alaska,2017,1,180677.66666666666
Alaska,2017,2,184889.33333333334
Alaska,2017,3,184185.66666666666
Alaska,2017,4,193784.66666666666
Amer. Samoa,2017,4,27898.0
American Samoa,2017,1,41214.0
American Samoa,2017,2,41214.0
American Samoa,2017,3,41214.0
Arizona,2017,1,1945027.6666666667
Arizona,2017,2,1937251.0
Arizona,2017,3,1931021.3333333333
Arizona,2017,4,1934234.6666666667
Arkansas,2017,1,954168.0
Arkansas,2017,2,939271.3333333334
Arkansas,2017,3,937571.3333333334
Arkansas,2017,4,931862.6666666666
California,2017,1,11821194.333333334
California,2017,2,11688252.0
California,2017,3,11316818.666666666
California,2017,4,13109776.333333334
Colorado,2017,1,1345945.6666666667
Colorado,2017,2,1365833.6666666667
Colorado,2017,3,1362938.0
Colorado,2017,4,1316861.3333333333
Connecticut,2017,1,901842.0
Connecticut,2017,2,892401.0
Connecticut,2017,3,890228.6666666666
Connecticut,2017,4,910168.3333333334
Delaware,2017,1,207584.33333333334
Delaware,2017,2,206896.0
Delaware,2017,3,209295.33333333334
Delaware,2017,4,211004.66666666666
Dist. Of Col.,2017,4,263084.6666666667
District Of Columbia,2017,3,260507.66666666666
District of Columbia,2017,1,253182.0
District of Columbia,2017,2,257318.66666666666
Florida,2017,1,4063863.6666666665
Florida,2017,2,4045939.6666666665
Florida,2017,3,4008700.0
Florida,2017,4,4004565.0
Georgia,2017,1,1836004.3333333333
Georgia,2017,2,1843098.3333333333
Georgia,2017,3,1865054.0
Georgia,2017,4,1944540.6666666667
Guam,2017,1,35805.0
Guam,2017,2,35953.333333333336
Guam,2017,3,35891.333333333336
Guam,2017,4,35805.0
Hawaii,2017,1,331813.0
Hawaii,2017,2,331382.0
Hawaii,2017,3,326670.0
Hawaii,2017,4,329540.0
Idaho,2017,1,319008.0
Idaho,2017,2,319898.6666666667
Idaho,2017,3,319467.6666666667
Idaho,2017,4,320582.3333333333
Illinois,2017,1,2904882.0
Illinois,2017,2,2878470.0
Illinois,2017,3,2833521.0
Illinois,2017,4,2884864.6666666665
Indiana,2017,1,1340711.3333333333
Indiana,2017,2,1344308.0
Indiana,2017,3,1352132.6666666667
Indiana,2017,4,1349519.3333333333
Iowa,2017,1,602619.0
Iowa,2017,2,595103.3333333334
Iowa,2017,3,590950.0
Iowa,2017,4,589673.3333333334
Kansas,2017,1,381575.3333333333
Kansas,2017,2,377186.6666666667
Kansas,2017,3,373188.0
Kansas,2017,4,361796.6666666667
Kentucky,2017,1,1329612.3333333333
Kentucky,2017,2,1338202.0
Kentucky,2017,3,1345714.0
Kentucky,2017,4,1349775.6666666667
Louisiana,2017,1,1658062.6666666667
Louisiana,2017,2,1625819.6666666667
Louisiana,2017,3,1631144.6666666667
Louisiana,2017,4,1636861.6666666667
Maine,2017,1,259691.66666666666
Maine,2017,2,259469.0
Maine,2017,3,258600.0
Maine,2017,4,257078.66666666666
Maryland,2017,1,1202317.0
Maryland,2017,2,1213787.0
Maryland,2017,3,1215368.0
Maryland,2017,4,1220146.6666666667
Massachusetts,2017,1,1827548.0
Massachusetts,2017,2,1815268.3333333333
Massachusetts,2017,3,1768131.0
Massachusetts,2017,4,1740366.0
Michigan,2017,1,2393812.3333333335
Michigan,2017,2,2107279.3333333335
Michigan,2017,3,1612240.6666666667
