State,Period,Average_pop
AK,2014Q1,107998.33333333331
AK,2014Q2,115946.0
AK,2014Q3,118862.33333333331
AK,2014Q4,120304.33333333331
AK,2015Q1,124527.66666666669
AK,2015Q2,126642.66666666669
AK,2015Q3,120278.66666666669
AK,2015Q4,135703.0
AK,2016Q1,151430.33333333334
AK,2016Q2,157028.0
AK,2016Q3,161079.33333333334
AK,2016Q4,173380.66666666666
AK,2017Q1,180677.66666666663
AK,2017Q2,184889.3333333333
AK,2017Q3,184185.66666666663
AK,2017Q4,193784.66666666663
AK,2018Q1,196836.3333333333
AK,2018Q2,198563.0
AK,2018Q3,205991.0
AK,2018Q4,206503.66666666663
AK,2019Q1,207064.0
AK,2019Q2,205735.3333333333
AK,2019Q3,213297.3333333333
AK,2019Q4,213974.3333333333
AK,2020Q1,215320.0
AK,2020Q2,220452.3333333333
AK,2020Q3,224144.0
AK,2020Q4,231242.3333333333
AK,2021Q1,235796.66666666663
AK,2021Q2,240709.66666666663
AK,2021Q3,242994.66666666663
AK,2021Q4,247014.66666666663
AK,2022Q1,250337.66666666663
AK,2022Q2,252925.3333333333
AK,2022Q3,254849.66666666663
AK,2022Q4,257069.3333333333
AK,2023Q1,259400.3333333333
AK,2023Q2,260180.66666666663
AK,2023Q3,250610.3333333333
AK,2023Q4,244210.3333333333
AK,2024Q1,243760.3333333333
AK,2024Q2,244265.0
AK,2024Q3,244104.66666666663
AK,2024Q4,239885.66666666663
AL,2014Q1,1004433.3333333334
AL,2014Q2,1026705.0
AL,2014Q3,1044615.6666666666
AL,2014Q4,1049282.3333333333
AL,2015Q1,1049218.0
AL,2015Q2,1049405.0
AL,2015Q3,1052562.3333333333
AL,2015Q4,1047963.6666666666
AL,2016Q1,1046428.0
AL,2016Q2,1042295.6666666666
AL,2016Q3,1037516.6666666666
AL,2016Q4,1030187.6666666666
AL,2017Q1,1019973.0
AL,2017Q2,1016816.0
AL,2017Q3,1019782.0
AL,2017Q4,1018509.6666666666
AL,2018Q1,1020837.6666666666
AL,2018Q2,1022330.3333333334
AL,2018Q3,1022206.0
AL,2018Q4,1029058.0
AL,2019Q1,1032761.0
AL,2019Q2,1033221.6666666666
AL,2019Q3,1043193.3333333334
AL,2019Q4,1048775.0
AL,2020Q1,1053454.3333333333
AL,2020Q2,1073171.0
AL,2020Q3,1103095.0
AL,2020Q4,1132700.0
AL,2021Q1,1157577.6666666667
AL,2021Q2,1181693.3333333333
AL,2021Q3,1207181.6666666667
AL,2021Q4,1230629.0
AL,2022Q1,1253956.6666666667
AL,2022Q2,1272591.3333333333
AL,2022Q3,1295523.6666666667
AL,2022Q4,1317604.0
