State,Enrollment Year,Quarter,Avg_Total_Medicaid_Enrollees
Alabama,2014.0,1.0,1004433.3333333334
Alabama,2014.0,2.0,1026705.0
Alabama,2014.0,3.0,1044615.6666666666
Alabama,2014.0,4.0,1049282.3333333333
Alabama,2015.0,1.0,1049218.0
Alabama,2015.0,2.0,1049405.0
Alabama,2015.0,3.0,1052562.3333333333
Alabama,2015.0,4.0,1047963.6666666666
Alabama,2016.0,1.0,1046428.0
Alabama,2016.0,2.0,1042295.6666666666
Alabama,2016.0,3.0,1037516.6666666666
Alabama,2016.0,4.0,1030187.6666666666
Alabama,2017.0,1.0,1019973.0
Alabama,2017.0,2.0,1016816.0
Alabama,2017.0,3.0,1019782.0
Alabama,2017.0,4.0,1018509.6666666666
Alabama,2018.0,1.0,1020837.6666666666
Alabama,2018.0,2.0,1022330.3333333334
Alabama,2018.0,3.0,1022206.0
Alabama,2018.0,4.0,1029058.0
Alabama,2019.0,1.0,1032761.0
Alabama,2019.0,2.0,1033221.6666666666
Alabama,2019.0,3.0,1043193.3333333334
Alabama,2019.0,4.0,1048775.0
Alabama,2020.0,1.0,1053454.3333333333
Alabama,2020.0,2.0,1073171.0
Alabama,2020.0,3.0,1103095.0
Alabama,2020.0,4.0,1132700.0
Alabama,2021.0,1.0,1157577.6666666667
Alabama,2021.0,2.0,1181693.3333333333
Alabama,2021.0,3.0,1207181.6666666667
Alabama,2021.0,4.0,1230629.0
Alabama,2022.0,1.0,1253956.6666666667
Alabama,2022.0,2.0,1272591.3333333333
Alabama,2022.0,3.0,1295523.6666666667
Alabama,2022.0,4.0,1317604.0
Alabama,2023.0,1.0,1347926.0
Alabama,2023.0,2.0,1369909.0
Alabama,2023.0,3.0,1325098.0
Alabama ,2023.0,4.0,1251657.0
Alabama ,2024.0,1.0,1192647.6666666667
Alabama ,2024.0,2.0,1122485.3333333333
Alabama ,2024.0,3.0,1091271.0
Alabama ,2024.0,4.0,1085180.6666666667
Alaska,2014.0,1.0,107998.33333333333
Alaska,2014.0,2.0,115946.0
Alaska,2014.0,3.0,118862.33333333333
Alaska,2014.0,4.0,120304.33333333333
Alaska,2015.0,1.0,124527.66666666667
Alaska,2015.0,2.0,126642.66666666667
Alaska,2015.0,3.0,120278.66666666667
Alaska,2015.0,4.0,135703.0
Alaska,2016.0,1.0,151430.33333333334
Alaska,2016.0,2.0,157028.0
Alaska,2016.0,3.0,161079.33333333334
Alaska,2016.0,4.0,173380.66666666666
Alaska,2017.0,1.0,180677.66666666666
Alaska,2017.0,2.0,184889.33333333334
Alaska,2017.0,3.0,184185.66666666666
Alaska,2017.0,4.0,193784.66666666666
Alaska,2018.0,1.0,196836.33333333334
Alaska,2018.0,2.0,198563.0
Alaska,2018.0,3.0,205991.0
Alaska,2018.0,4.0,206503.66666666666
Alaska,2019.0,1.0,207064.0
Alaska,2019.0,2.0,205735.33333333334
Alaska,2019.0,3.0,213297.33333333334
Alaska,2019.0,4.0,213974.33333333334
Alaska,2020.0,1.0,215320.0
Alaska,2020.0,2.0,220452.33333333334
Alaska,2020.0,3.0,224144.0
Alaska,2020.0,4.0,231242.33333333334
Alaska,2021.0,1.0,235796.66666666666
Alaska,2021.0,2.0,240709.66666666666
Alaska,2021.0,3.0,242994.66666666666
Alaska,2021.0,4.0,247014.66666666666
Alaska,2022.0,1.0,250337.66666666666
Alaska,2022.0,2.0,252925.33333333334
Alaska,2022.0,3.0,254849.66666666666
Alaska,2022.0,4.0,257069.33333333334
Alaska,2023.0,1.0,259400.33333333334
Alaska,2023.0,2.0,260180.66666666666
Alaska,2023.0,3.0,250610.33333333334
Alaska ,2023.0,4.0,244210.33333333334
Alaska ,2024.0,1.0,243760.33333333334
Alaska ,2024.0,2.0,244265.0
Alaska ,2024.0,3.0,244104.66666666666
Alaska ,2024.0,4.0,239885.66666666666
Amer. Samoa,2017.0,4.0,27898.0
Amer. Samoa,2018.0,1.0,27898.0
Amer. Samoa,2018.0,2.0,27898.0
Amer. Samoa,2018.0,3.0,27898.0
Amer. Samoa,2018.0,4.0,28183.0
Amer. Samoa,2019.0,1.0,28183.0
Amer. Samoa,2019.0,2.0,37829.0
Amer. Samoa,2019.0,3.0,37829.0
Amer. Samoa,2019.0,4.0,35002.0
Amer. Samoa,2020.0,1.0,35002.0
Amer. Samoa,2020.0,2.0,35002.0
Amer. Samoa,2020.0,3.0,35002.0
Amer. Samoa,2020.0,4.0,37756.0
Amer. Samoa,2021.0,1.0,37756.0
Amer. Samoa,2021.0,2.0,37756.0
Amer. Samoa,2021.0,3.0,37756.0
Amer. Samoa,2021.0,4.0,31434.0
Amer. Samoa,2022.0,1.0,31434.0
Amer. Samoa,2022.0,2.0,31434.0
Amer. Samoa,2022.0,3.0,31434.0
Amer. Samoa,2022.0,4.0,33887.0
Amer. Samoa,2023.0,1.0,33887.0
Amer. Samoa,2023.0,2.0,33887.0
Amer. Samoa,2023.0,3.0,33887.0
Amer. Samoa ,2023.0,4.0,33746.0
Amer. Samoa ,2024.0,1.0,33746.0
Amer. Samoa ,2024.0,2.0,33746.0
Amer. Samoa ,2024.0,3.0,33746.0
Amer. Samoa ,2024.0,4.0,31150.0
American Samoa,2014.0,1.0,36726.0
American Samoa,2014.0,2.0,36726.0
American Samoa,2014.0,3.0,36726.0
American Samoa,2014.0,4.0,36726.0
American Samoa,2015.0,1.0,36726.0
American Samoa,2015.0,2.0,36726.0
American Samoa,2015.0,3.0,36726.0
American Samoa,2015.0,4.0,40517.0
American Samoa,2016.0,1.0,40517.0
American Samoa,2016.0,2.0,40517.0
American Samoa,2016.0,3.0,40517.0
American Samoa,2016.0,4.0,41214.0
American Samoa,2017.0,1.0,41214.0
American Samoa,2017.0,2.0,41214.0
American Samoa,2017.0,3.0,41214.0
Arizona,2014.0,1.0,1451044.0
Arizona,2014.0,2.0,1573708.6666666667
Arizona,2014.0,3.0,1686447.6666666667
Arizona,2014.0,4.0,1723678.6666666667
Arizona,2015.0,1.0,1728164.3333333333
Arizona,2015.0,2.0,1754268.3333333333
Arizona,2015.0,3.0,1815228.6666666667
Arizona,2015.0,4.0,1877248.3333333333
Arizona,2016.0,1.0,1896147.3333333333
Arizona,2016.0,2.0,1891561.0
Arizona,2016.0,3.0,1907716.0
Arizona,2016.0,4.0,1942573.0
Arizona,2017.0,1.0,1945027.6666666667
Arizona,2017.0,2.0,1937251.0
Arizona,2017.0,3.0,1931021.3333333333
Arizona,2017.0,4.0,1934234.6666666667
Arizona,2018.0,1.0,1891265.0
