NDC,record_id,ATC4 Class
00002820705,AK_2024_4_FFSU_00002820705,A10AC
00054417925,AK_2024_4_FFSU_00054417925,H02AB
00078087601,AK_2024_4_FFSU_00078087601,J01GB
00406051201,AK_2024_4_FFSU_00406051201,N02AJ
00186037220,AK_2024_4_FFSU_00186037220,R01AD
00378728753,AK_2024_4_FFSU_00378728753,G03AC
00168025815,AK_2024_4_FFSU_00168025815,G01AF
00121075908,AK_2024_4_FFSU_00121075908,S02BA
00173069600,AK_2024_4_FFSU_00173069600,R03BA
00065414727,AK_2024_4_FFSU_00065414727,S01GA
00378064205,AK_2024_4_FFSU_00378064205,H02AB
00409115918,AK_2024_4_FFSU_00409115918,N01BB
00121086802,AK_2024_4_FFSU_00121086802,G01AA
00003029328,AK_2024_4_FFSU_00003029328,R01AD
00378750332,AK_2024_4_FFSU_00378750332,R03CC
00378623201,AK_2024_4_FFSU_00378623201,N06AB
00168009930,AK_2024_4_FFSU_00168009930,D01AC
00310621030,AK_2024_4_FFSU_00310621030,A10BK
00078087601,AK_2024_4_FFSU_00078087601,S01CA
00115180401,AK_2024_4_FFSU_00115180401,N05BB
00003029328,AK_2024_4_FFSU_00003029328,H02AB
00121088516,AK_2024_4_FFSU_00121088516,S03BA
00143959525,AK_2024_4_FFSU_00143959525,R02AD
00378623305,AK_2024_4_FFSU_00378623305,N06AB
00168025846,AK_2024_4_FFSU_00168025846,C05AA
00009001103,AK_2024_4_FFSU_00009001103,S01BA
00172392770,AK_2024_4_FFSU_00172392770,N05BA
00093317431,AK_2024_4_FFSU_00093317431,R03AC
00245531911,AK_2024_4_FFSU_00245531911,A12BA
00406012305,AK_2024_4_FFSU_00406012305,N02AJ
00093081201,AK_2024_4_FFSU_00093081201,N06AA
00168025815,AK_2024_4_FFSU_00168025815,D07XC
00054023525,AK_2024_4_FFSU_00054023525,N02AA
00078079975,AK_2024_4_FFSU_00078079975,S02BA
00172208380,AK_2024_4_FFSU_00172208380,C03AA
00054350049,AK_2024_4_FFSU_00054350049,C01BB
00037682210,AK_2024_4_FFSU_00037682210,H02AB
00338170840,AK_2024_4_FFSU_00338170840,V04CC
00074366303,AK_2024_4_FFSU_00074366303,L02AE
00054074287,AK_2024_4_FFSU_00054074287,R03AC
00115149101,AK_2024_4_FFSU_00115149101,N06BA
00169770521,AK_2024_4_FFSU_00169770521,H01AC
00378210005,AK_2024_4_FFSU_00378210005,A07DA
00074659419,AK_2024_4_FFSU_00074659419,H03AA
00054429731,AK_2024_4_FFSU_00054429731,C03CA
00054001729,AK_2024_4_FFSU_00054001729,A07EA
00378967130,AK_2024_4_FFSU_00378967130,R03BB
00054982831,AK_2024_4_FFSU_00054982831,A07EA
00093681673,AK_2024_4_FFSU_00093681673,R01AD
00054032856,AK_2024_4_FFSU_00054032856,D07AC
00093720210,AK_2024_4_FFSU_00093720210,C10AA
00378047705,AK_2024_4_FFSU_00378047705,N05BA
00406800503,AK_2024_4_FFSU_00406800503,N07BC
00456120230,AK_2024_4_FFSU_00456120230,A06AX
00406802003,AK_2024_4_FFSU_00406802003,A06AH
00378905593,AK_2024_4_FFSU_00378905593,S01HA
00378685677,AK_2024_4_FFSU_00378685677,N06BA
00002821501,AK_2024_4_FFSU_00002821501,A10AF
00173068224,AK_2024_4_FFSU_00173068224,R03CC
00228212750,AK_2024_4_FFSU_00228212750,N02CX
00378876893,AK_2024_4_FFSU_00378876893,A06AH
00054817525,AK_2024_4_FFSU_00054817525,A01AC
00093075305,AK_2024_4_FFSU_00093075305,C07AB
00406048462,AK_2024_4_FFSU_00406048462,R05DA
00054032856,AK_2024_4_FFSU_00054032856,R03AK
00074434190,AK_2024_4_FFSU_00074434190,H03AA
00168014630,AK_2024_4_FFSU_00168014630,S01CB
00338004903,AK_2024_4_FFSU_00338004903,A12CA
00093322397,AK_2024_4_FFSU_00093322397,G03CA
00023916360,AK_2024_4_FFSU_00023916360,L04AD
00054817525,AK_2024_4_FFSU_00054817525,C05AA
00002880359,AK_2024_4_FFSU_00002880359,A10AF
00121075908,AK_2024_4_FFSU_00121075908,S01BA
00009001104,AK_2024_4_FFSU_00009001104,D07AA
00168009930,AK_2024_4_FFSU_00168009930,J02AB
00003089321,AK_2024_4_FFSU_00003089321,B01AF
00338011704,AK_2024_4_FFSU_00338011704,A12CA
00338011704,AK_2024_4_FFSU_00338011704,A12BA
00456045801,AK_2024_4_FFSU_00456045801,H03AA
00009001104,AK_2024_4_FFSU_00009001104,H02AB
00054418125,AK_2024_4_FFSU_00054418125,A01AC
00168002031,AK_2024_4_FFSU_00168002031,H02AB
00121088516,AK_2024_4_FFSU_00121088516,D07XA
