NDC,ATC5 Class
70756061270,No ATC Mapping Found
00904020261,No RxCUI Found
52544063028,No RxCUI Found
67919001101,No RxCUI Found
13668001830,No RxCUI Found
72336001401,No RxCUI Found
59088016954,No RxCUI Found
65219053501,No ATC Mapping Found
65219053910,No ATC Mapping Found
00904549280,No RxCUI Found
51079013163,No RxCUI Found
00185010401,No RxCUI Found
65162052010,No RxCUI Found
00407222319,No RxCUI Found
00093715598,No RxCUI Found
00409180001,No RxCUI Found
00409792203,No RxCUI Found
50383005116,No RxCUI Found
00536406301,No RxCUI Found
72572074710,No RxCUI Found
62037083101,No RxCUI Found
00409335601,No RxCUI Found
49348016510,No RxCUI Found
00832102409,No RxCUI Found
64679073402,No RxCUI Found
00904527260,No RxCUI Found
16714011802,No RxCUI Found
49348032944,No ATC Mapping Found
00536106229,No RxCUI Found
35573044325,No ATC Mapping Found
64376043815,No RxCUI Found
00026394225,No ATC Mapping Found
00338021006,No RxCUI Found
48102000335,No RxCUI Found
70000001201,No ATC Mapping Found
00407140152,No RxCUI Found
00245053660,No RxCUI Found
50242004164,No RxCUI Found
00004196301,No RxCUI Found
99999990437,No RxCUI Found
00407141493,No RxCUI Found
00407141110,No RxCUI Found
00245012250,No RxCUI Found
68152010809,No RxCUI Found
13668028060,No RxCUI Found
00065045407,No ATC Mapping Found
70121157201,No ATC Mapping Found
00603295721,No RxCUI Found
00004196401,No RxCUI Found
00407222219,No RxCUI Found
00904642213,No RxCUI Found
00904198261,No RxCUI Found
00409115212,No RxCUI Found
43547038550,No RxCUI Found
59762105005,No RxCUI Found
71104080601,No ATC Mapping Found
51079028220,No RxCUI Found
62584074601,No RxCUI Found
60505609400,No RxCUI Found
65219038370,No RxCUI Found
00338051958,No ATC Mapping Found
00378699052,No RxCUI Found
00781602194,No RxCUI Found
51754100701,No ATC Mapping Found
46287050816,No RxCUI Found
00469650189,No RxCUI Found
13811052501,No RxCUI Found
00904323392,No RxCUI Found
00407141361,No RxCUI Found
10542001210,No RxCUI Found
25021030102,No RxCUI Found
62856079701,No RxCUI Found
00310027539,No RxCUI Found
00085056605,No RxCUI Found
00574030216,No RxCUI Found
51645091901,No RxCUI Found
00517656005,No ATC Mapping Found
63323006409,No RxCUI Found
00409492120,No RxCUI Found
00591293201,No RxCUI Found
37205061273,No RxCUI Found
00407141348,No RxCUI Found
00409790209,No RxCUI Found
59762491001,No RxCUI Found
00603616132,No RxCUI Found
00603158454,No RxCUI Found
00008081202,No RxCUI Found
50419018801,No RxCUI Found
00555095502,No RxCUI Found
65162084306,No RxCUI Found
00008058115,No RxCUI Found
00574087005,No RxCUI Found
