NDC,ATC4 Class
65162080451,L01AX
00409435013,C05AE
70700011384,G03CA
00536109306,M01AE
00832532510,B05XA
65862008401,J01DB
71332000201,B02BX
00409206605,S01HA
24208043262,D02BB
43547042403,C09CA
00264320055,B05BA
63323054007,S01XA
49884078611,C09DX
00517003125,B03BA
62175011843,A02BC
60505290103,L01EA
42043041001,D01BA
00456120730,N06DA
00378876593,N07BC
63323048731,B02BC
54295030824,D02AE
13925015901,C05AD
65649065103,R01AD
67877031901,M01AE
69292055001,M02AA
69238134301,M01AB
43547035611,C09AA
00113058840,G04BX
45802006601,S01GX
23155000401,C02DB
00168029360,D07AD
00096070735,D10AX
00409651001,J01XA
68180083773,L02AA
00713066960,H02AB
42799081301,C05AA
13925016420,C05AD
63323064220,D11AX
57664017688,N02AJ
36800085140,G04BX
16714004402,N06AX
69367024324,S02BA
63868093510,B05CB
00409653101,A07AA
00054417925,D07AB
00378730785,G03AB
50268006115,J05AB
13668060601,S01AA
00054449625,V03AF
70000011701,N07BA
13811071290,N06AX
23155065205,D06BX
68382075810,A10BA
00641092925,R06AD
68001023703,C02AC
00023586230,G03DC
00115173801,N06BA
52565004215,C05AA
60432056061,R03BA
00527551137,N06BA
69784018001,A06AD
00378226401,G04CA
69238106001,N05AA
00406147301,N06BA
65162054150,M03BX
00781282201,N06AB
51672126303,R03BA
27241006903,G04BE
00121048905,R05FA
67877022501,L04AA
00555904558,G03AA
00168008016,C05AA
00065035902,C01CA
00472200294,M01AE
00113054164,S01CB
78206011401,D07AC
13668003760,N05AX
00009009001,N05BA
24208043262,G01AD
13107010401,N02AA
52536010513,J01FA
29978060190,R01BA
60687024211,N06AB
46122001062,R02AX
51645085099,A06AB
00378563059,N02CC
47781058393,M01AB
00009004725,H02AB
13811070610,N06BA
75834025690,C10AA
00713026831,J01XB
00054457125,N07BC
51672127203,D01AA
51672126403,D07AC
69315013110,C03AA
50228012490,B01AC
00409492834,A12AA
00409762049,C05BA
00054048113,L04AH
75834025801,C10AA
00603516821,N03AA
70000000901,G01AF
00093922206,N02BA
51672133505,D07XB
54295030825,D02AE
51991079406,N06DA
55111029336,N02CC
00186037028,R03BA
00485015101,V04CG
65862018601,J01FF
67386042201,N07XX
68001028103,M02AA
60219170701,H02AB
67457085350,S01EC
63323072110,L01XG
00225038280,B05CB
61314064610,C05AA
00781715683,G03CA
00990782808,B05XA
72205005030,L02BA
00338070548,B05XA
58657050016,R05DA
65862052401,N02BF
00054418125,S02BA
46122063262,G02CC
70010000501,N06BA
70752013812,D04AA
00168025846,S01BA
51991008490,B03BA
00713032737,D07XC
51862045847,S01XA
00591024110,N05BA
45802062626,R06AE
53489021510,C02AC
66220028708,R02AX
00409488801,B05CB
00228212750,S01EA
63323098123,J01CG
68084045011,L04AD
00113090162,G02CC
42806034830,N06AX
00168041660,D11AH
68180076506,C09DB
00009087021,D10AF
62756052069,N02CC
68682020175,A06AD
69238148503,D10AF
75834014130,C01BB
00641620801,D04AA
00378632277,C03AA
42806050109,C08CA
29300022019,R03DC
24208048610,S01EC
72611063425,G01AA
60758077305,S01BC
00009008510,G03BA
33342015944,G04CA
00781538892,C10AA
45963041806,C01EB
24385011603,D11AC
68382091818,D10AA
00555904558,G03AC
47781054501,A01AB
00409230505,N05CD
51079067005,L04AX
67457037212,B01AB
16714095503,J02AB
72266012301,A04AA
00121043130,G04BX
42858007645,N06BA
00409471365,N01BB
42543014050,A01AC
00527296337,N05AA
54643564700,B03BA
51862087006,G03AB
55150030425,C05AA
00143178701,D11AX
68180086613,G03AA
64125014001,A03AB
45802002146,S01BA
24979010106,N06AX
16714046701,L01BC
00378172493,C08CA
51862051006,G03AB
72611076501,A07AA
00409409001,B05XA
63323048541,N01BB
00472016615,D01AA
16714012303,A02BC
64980044801,B05CA
62559027630,C07AB
00009003101,D07AA
62332060630,D07CB
67877029601,M02AA
25021081230,S01XA
43386016106,A02BB
76329630005,C01BB
00527328946,H03AA
61990012001,J01CA
61269016150,S01XA
00023004203,D05AX
62559043001,H02AB
00485020404,R01BA
55111020105,N05AX
66993058497,D07AC
00168030115,D07AD
00065041130,R02AA
00168035705,C01BB
62175048637,C08DA
00006307401,J05AP
43547040650,N03AE
16714040404,L02AA
54643564901,A11JA
64980030650,A12CD
64679070302,J01DD
24208078555,D07AA
43547027609,N06DA
00409146401,N02AF
00078043305,N06BA
66993084562,A07EA
00338050206,B05CX
51672137001,D06AX
63323048357,B02BC
58657064850,N02CX
00642747101,G03CA
00944304610,B02BD
70000002501,D01AC
70700016019,G01AF
00641614201,R01AB
00185015201,C09AA
00378353005,N06AX
00527150537,N06BA
62559015801,N06AB
00409488812,A12CA
51672201602,S02AA
64980030130,S01CB
51991008136,A02AA
69315018205,G04BD
00185064001,C09AA
00093324356,C07BB
70000003203,A02BC
69097097507,N05BC
00006003220,D11AX
00597018239,A10BH
00168014616,C05AA
24208053210,A11CA
33342004707,C09CA
46122061410,S02DA
42806063205,A10BA
45802040265,A10BG
68180086571,G03CA
00338113703,B05CX
63824095764,N02BE
10702006606,N06BA
57237022090,A10BG
69097017348,R03CC
00378615093,J01FA
68462032330,C10BA
00078079975,D07AB
68001032803,C03AA
59746000103,D07AA
00023530105,L04AD
67877056210,A10BA
68180086613,G03AC
00186037020,R03CC
00078043005,N06BA
00006033530,N05CJ
68180035305,N06AB
00536407810,C04AC
00054026424,N02AA
51672131003,D07AC
16714081601,L02BB
54123092930,A06AH
00832107530,N03AX
54838013340,R05DA
00536114397,D02AC
69543042510,G02CC
00046110611,G03AC
00597015570,R03AL
00013010130,A07EC
69097045905,C10AB
00168032346,G01AF
00378715501,R03BA
72305010030,H03AA
72578008804,D07AB
25021014220,J01CG
69097022843,A01AB
70677005301,A12CC
70000025901,R02AX
55111020030,C10AA
49884034701,N05AG
00054350547,R02AD
00713022915,D07AB
65862097703,C09DA
33342032715,S01BA
68180095101,D07XA
00113017653,S01GX
49348013027,R01AA
58657045401,A03BA
00713066860,S02BA
00378180304,H03AA
00378728085,G03AA
49348098053,N02BA
51991094117,S01AA
69097094705,C10AA
49348044334,D08AJ
62756029983,N03AB
42571011110,C09CA
48102004711,D07AB
45802005935,D01AA
65162098603,N03AX
69339013819,B05CA
69238130501,N05BA
43547042709,A10BG
68180051301,C09AA
51862054501,B03AE
70000053801,A06AB
72888003405,C07AG
00409338513,J01CR
00054418025,S02BA
42023021601,S01FB
72124000101,R03CC
50268040011,N02AJ
00093342510,N05BA
51672407008,S01GX
55111058601,C09BB
70000026302,G02CC
00338007010,V06DC
66993089815,H02AB
00065079550,A12BA
59651005290,C10AX
00904698516,D04AA
00338007010,V04CA
36800037934,D04AA
00555900879,G03CA
00143992801,S02AA
00074969403,L02AE
63323064220,V04CC
59011075804,N07BC
00002144527,L04AC
63323010615,A12CC
60505298503,L02BG
69238199301,N02BA
51862018701,N02AA
75834024560,N03AX
55150011930,J01CR
68382056701,C07AB
51672131606,D07AB
13668013201,C08CA
16714010105,C10AB
61314064610,R02AB
63323048627,D04AB
71288000630,J01CA
00472037015,S03BA
57237015901,A10BX
00536126720,R02AD
58657016301,A11HA
68682051384,L01XF
00113064771,R02AX
70677005801,A06AB
00093216568,A06AH
13668018630,G04BE
68382053701,A12BA
43975030410,C03BA
42292000120,P01AB
00054035725,N07BB
33342013310,C09DA
42195084010,D11AX
00121077504,R05FA
68180061407,N05AH
21922003105,C05AA
00472191530,A07EC
00555912366,G03CA
69238205301,D11AX
65649055107,A06AH
67457042130,S03BA
27808008202,N02AA
70000023901,M02AA
00054054844,S01HA
64380080807,R02AX
16714013101,L01CE
16729011431,L01CB
24208027615,A12CA
43386053006,A07AA
65862000701,N06AB
58657016590,R01AX
62011008602,A12CA
51672130406,G01AG
50268086715,A11CC
00378728085,G03AC
51672128201,A01AC
42858005501,N06BA
00143983610,J01CE
51079044220,H03AA
55513020601,L01FG
63323056895,B01AB
00713063215,R03BA
69230030005,R06AX
00264570510,S01XA
43547034709,N06AB
51672138104,D10AE
24385062978,N02BE
72769010101,B06AC
62175013643,A02BC
10702000750,M03BX
00591219101,N05CH
50967012630,A02AC
00168035705,D04AB
00781322464,B01AB
70000023401,A02AD
51754501104,B05XA
67457042100,D07AB
70000017503,G02CC
45802005405,R01AD
51672404806,D07XC
69339015019,R05CA
13668001005,N06AB
68645045590,C09AA
65162078509,N06DX
24385006103,A01AB
00378015201,N02CX
00527217037,S01BC
68382009405,C07AG
68047025201,A03BA
72578000721,J01XD
62756051788,N04BA
69315090505,N05BA
76329330401,A12AA
00338012503,A12AA
17478089225,S01BC
50991078360,R06AB
00904145361,D06BX
55111079835,R05CA
42799011101,M01AB
00143937101,L01DB
50228038160,N05AH
63323046157,B02BC
00264763500,A12CA
68462040601,C01EB
13913000812,M02AA
49483062081,A10BA
66993089749,D07AC
00071101341,N02BF
00409610218,C03CA
65219002023,J01CA
61314022605,C07AA
00487960101,R03BA
45802088096,A01AC
64875000103,G03XB
69367022209,A11HA
00574010770,G01AF
00009000501,C05AA
00781202001,J01CA
24979010102,N06AX
51079088820,A03FA
51672201302,A07EA
00003218811,L04AA
52817016260,N05AH
71288040302,S01XA
69097031953,D07AC
16714044004,G03DC
46122059887,A01AD
16714049802,M01AB
69117000401,L01EF
00310460039,R03AL
63323048602,C05AD
60505450503,C10AA
00641617301,A03AA
51754100004,A12CC
00078074303,S01BC
00115169606,S01BA
45802089734,C01EB
43598052936,N07AA
67877042801,N02BF
69367019890,S01GA
65862085530,C09CA
00006536803,A10BD
60687044601,R02AX
00944462601,B02BD
55111028960,A02BC
