State,Year,Quarter,Period,ATC1 Class,Units Reimbursed,Number of Prescriptions,population,Forecast_low_95,Forecast_high_95
AK,2017,1,2017Q1,AK_A,3844711.872,36544,2168131.9999999995,0,0
AK,2017,1,2017Q1,AK_B,3153965.709,9958,722710.6666666665,0,0
AK,2017,1,2017Q1,AK_C,1437594.196,31390,1626098.9999999995,0,0
AK,2017,1,2017Q1,AK_D,348813.681,15183,1445421.333333333,0,0
AK,2017,1,2017Q1,AK_G,528627.85,13398,722710.6666666665,0,0
AK,2017,1,2017Q1,AK_H,207662.406,6190,903388.3333333333,0,0
AK,2017,1,2017Q1,AK_J,1369586.753,26001,903388.3333333333,0,0
AK,2017,1,2017Q1,AK_L,214705.767,6913,722710.6666666665,0,0
AK,2017,1,2017Q1,AK_M,786449.087,16266,903388.3333333333,0,0
AK,2017,1,2017Q1,AK_N,4927715.455,109043,1264743.6666666665,0,0
AK,2017,1,2017Q1,AK_P,68860,1605,542032.9999999999,0,0
AK,2017,1,2017Q1,AK_R,996479.109,26415,1084065.9999999998,0,0
AK,2017,1,2017Q1,AK_S,725752.616,12980,542032.9999999999,0,0
AK,2017,1,2017Q1,AK_V,92321.955,654,542032.9999999999,0,0
AK,2017,2,2017Q2,AK_A,1946525.18,35440,2218672,0,0
AK,2017,2,2017Q2,AK_B,6229371.623,8249,739557.3333333333,0,0
AK,2017,2,2017Q2,AK_C,1693664.5,35805,1664003.9999999998,0,0
AK,2017,2,2017Q2,AK_D,389778.5,13280,1479114.6666666665,0,0
AK,2017,2,2017Q2,AK_G,436201.496,11660,739557.3333333333,0,0
AK,2017,2,2017Q2,AK_H,214487.437,5883,924446.6666666664,0,0
AK,2017,2,2017Q2,AK_J,1431170.196,24453,1109336,0,0
AK,2017,2,2017Q2,AK_L,1077854.572,4612,739557.3333333333,0,0
AK,2017,2,2017Q2,AK_M,947259.258,19788,924446.6666666664,0,0
AK,2017,2,2017Q2,AK_N,5006385.532,104123,1294225.3333333333,0,0
AK,2017,2,2017Q2,AK_P,58846,1034,369778.6666666666,0,0
