unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IN_A01,2025-01-01,XGBoost,Medium,0.5,39701.83203125,39949.18359375,38171.97265625
IN_A01,2025-04-01,XGBoost,Medium,0.5,45122.05078125,42576.78125,44967.34375
IN_A01,2025-07-01,XGBoost,Medium,0.5,45518.171875,42828.3671875,49805.69140625
IN_A01,2025-10-01,XGBoost,Medium,0.5,54489.45703125,49232.90625,60675.2734375
IN_A01,2026-01-01,XGBoost,Medium,0.5,51474.36328125,43519.12890625,67666.53125
IN_A01,2026-04-01,XGBoost,Medium,0.5,48789.8046875,48377.6015625,67777.9765625
IN_A01,2026-07-01,XGBoost,Medium,0.5,50166.24609375,46688.36328125,68982.578125
IN_A01,2026-10-01,XGBoost,Medium,0.5,50702.8984375,46730.58984375,69949.3671875
IN_A02,2025-01-01,LightGBM,Medium,0.5,115657.64382128947,125959.63746457014,124384.80002478926
IN_A02,2025-04-01,LightGBM,Medium,0.5,112675.5433321736,129109.5900761148,128057.63752585257
IN_A02,2025-07-01,LightGBM,Medium,0.5,106848.55227935307,132220.96619710774,129281.04933910554
IN_A02,2025-10-01,LightGBM,Medium,0.5,102971.15184585097,133170.5940053713,132042.6775496418
IN_A02,2026-01-01,LightGBM,Medium,0.5,101253.96574114582,135917.36194262968,132539.412658753
IN_A02,2026-04-01,LightGBM,Medium,0.5,101224.52524354047,132316.67951490663,133667.4104896372
IN_A02,2026-07-01,LightGBM,Medium,0.5,102038.76168442043,132840.87172379566,133030.08049356012
IN_A02,2026-10-01,LightGBM,Medium,0.5,101259.2125723113,133268.7366563248,133111.88767197676
IN_A03,2025-01-01,RandomForest,High,1.0,19146.51654054055,19276.36779565842,19350.77820848965
IN_A03,2025-04-01,RandomForest,High,1.0,19304.76410309616,19350.001008446554,20098.81994660529
IN_A03,2025-07-01,RandomForest,High,1.0,19744.137035249623,19869.331226087892,20675.531803630598
IN_A03,2025-10-01,RandomForest,High,1.0,19544.45658581017,19493.033228505257,20782.997617371664
IN_A03,2026-01-01,RandomForest,High,1.0,19160.992939586973,19294.843858735785,20761.87981452303
IN_A03,2026-04-01,RandomForest,High,1.0,19694.86777177701,19810.81950825642,21237.45114879068
IN_A03,2026-07-01,RandomForest,High,1.0,19611.726297198496,19797.96648878848,21928.940688467635
IN_A03,2026-10-01,RandomForest,High,1.0,19418.584121676602,19655.408746314843,22530.44875885444
IN_A04,2025-01-01,RandomForest,Medium,0.5,61612.078669856615,61691.99783534576,62046.00314306395
IN_A04,2025-04-01,RandomForest,Medium,0.5,59706.90327854959,59684.699968520246,60947.95489585509
IN_A04,2025-07-01,RandomForest,Medium,0.5,56152.53799324786,56212.075535139935,61324.18027810508
IN_A04,2025-10-01,RandomForest,Medium,0.5,54744.24366263413,55102.474708548834,62066.94591191447
IN_A04,2026-01-01,RandomForest,Medium,0.5,55299.40333750162,56055.03705622237,62862.88130601859
IN_A04,2026-04-01,RandomForest,Medium,0.5,55437.55928561444,56088.391360423986,63383.807078467755
IN_A04,2026-07-01,RandomForest,Medium,0.5,56024.185996190536,56606.0588546331,63648.35498559755
IN_A04,2026-10-01,RandomForest,Medium,0.5,56030.7474132948,57024.77463717773,63912.670662742246
IN_A05,2025-01-01,LightGBM,Medium,0.5,143.65646330847926,1198.9081214067442,890.7196340097066
IN_A05,2025-04-01,LightGBM,Medium,0.5,144.31509968761725,1394.2679037428618,1129.025877839577
IN_A05,2025-07-01,LightGBM,Medium,0.5,51.690589702877496,1302.800960792011,1062.3922973789704
IN_A05,2025-10-01,LightGBM,Medium,0.5,44.624807022890955,1295.7351781120242,1017.4929629360681
IN_A05,2026-01-01,LightGBM,Medium,0.5,123.89639007777727,1352.1385866965559,1087.9488949977401
IN_A05,2026-04-01,LightGBM,Medium,0.5,124.55502645691526,916.1631879794287,1088.6075313768777
