unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IN_A01,2025-01-01,RandomForest,High,1.0,1684629.3111955505,1694217.6366666465,1727285.366904622
IN_A01,2025-04-01,RandomForest,High,1.0,1885454.2588661946,1885619.5555467978,1966568.1232158325
IN_A01,2025-07-01,RandomForest,High,1.0,2049652.3260022858,2062382.868711412,2190451.902335134
IN_A01,2025-10-01,RandomForest,High,1.0,2130400.053188796,2145274.725109009,2218829.014363996
IN_A01,2026-01-01,RandomForest,High,1.0,2178167.3289681175,2196947.238648709,2386234.4202864883
IN_A01,2026-04-01,RandomForest,High,1.0,2189185.0244659726,2215509.9755366836,2497620.4910167046
IN_A01,2026-07-01,RandomForest,High,1.0,2206126.90734265,2338580.3179057203,2611907.768377574
IN_A01,2026-10-01,RandomForest,High,1.0,2288047.5819786307,2464510.8981132675,2747090.2036842834
IN_A02,2025-01-01,Ridge,High,1.0,7050177.90187249,7052134.414381549,7048221.389363429
IN_A02,2025-04-01,Ridge,High,1.0,7055075.212463437,7061155.464383809,7048994.961199477
IN_A02,2025-07-01,Ridge,High,1.0,6944581.596357249,6956666.2071341,6932496.998998325
IN_A02,2025-10-01,Ridge,High,1.0,6930611.471303964,6950696.110022552,6910526.919904027
IN_A02,2026-01-01,Ridge,High,1.0,7002235.386180118,7032211.3405124955,6972259.556146886
IN_A02,2026-04-01,Ridge,High,1.0,6989397.618090903,7030990.576418338,6947805.392782494
IN_A02,2026-07-01,Ridge,High,1.0,6954888.322316935,7009733.915248413,6900044.045027513
IN_A02,2026-10-01,Ridge,High,1.0,6910450.641917866,6980066.160447437,6840838.530539874
IN_A03,2025-01-01,LightGBM,Medium,0.5,1836060.66632685,1869707.013288486,1857696.6030414354
IN_A03,2025-04-01,LightGBM,Medium,0.5,1964452.570504028,2001461.8648468626,1994186.0497633172
IN_A03,2025-07-01,LightGBM,Medium,0.5,2034222.4458923128,2065531.7625021914,2083222.5396652676
IN_A03,2025-10-01,LightGBM,Medium,0.5,2042737.478214644,2093796.4232208803,2260865.136776438
IN_A03,2026-01-01,LightGBM,Medium,0.5,2012947.6859250008,2075220.0911084919,2482634.4447515192
IN_A03,2026-04-01,LightGBM,Medium,0.5,2014412.8333765133,2237309.345926204,2575709.135928058
IN_A03,2026-07-01,LightGBM,Medium,0.5,2027769.6597315974,2194254.386306092,2652674.538187994
IN_A03,2026-10-01,LightGBM,Medium,0.5,2007755.8475079425,2285834.4299118523,2826930.781251543
IN_A04,2025-01-01,XGBoost,Medium,0.5,1431231.875,1431231.875,1405802.25
IN_A04,2025-04-01,XGBoost,Medium,0.5,1405463.125,1405463.125,1380033.5
IN_A04,2025-07-01,XGBoost,Medium,0.5,1363728.5,1363728.5,1312531.625
IN_A04,2025-10-01,XGBoost,Medium,0.5,1348969.375,1348969.375,1327503.625
IN_A04,2026-01-01,XGBoost,Medium,0.5,1396921.875,1396921.875,1306159.625
IN_A04,2026-04-01,XGBoost,Medium,0.5,1372790.875,1372790.875,1282028.625
IN_A04,2026-07-01,XGBoost,Medium,0.5,1356426.5,1356426.5,1254609.75
IN_A04,2026-10-01,XGBoost,Medium,0.5,1272370.875,1272370.875,1232531.875
IN_A05,2025-01-01,RandomForest,High,1.0,56990.26255756279,57086.34783327515,58227.99231959841
IN_A05,2025-04-01,RandomForest,High,1.0,58075.149407981335,58075.149407981335,59372.24259965063
IN_A05,2025-07-01,RandomForest,High,1.0,57365.65272137634,57396.24192594527,59540.93414186735
IN_A05,2025-10-01,RandomForest,High,1.0,58296.02191837325,58326.61112294216,60684.12136788669
IN_A05,2026-01-01,RandomForest,High,1.0,58764.945059420425,58795.53426398934,60259.72511514151
IN_A05,2026-04-01,RandomForest,High,1.0,58158.355251671106,58188.94445624003,59707.63537435161
IN_A05,2026-07-01,RandomForest,High,1.0,57986.390740525756,58016.979945094696,59607.40961849535
IN_A05,2026-10-01,RandomForest,High,1.0,57585.76800571534,57616.35721028425,59749.919710172224
IN_A06,2025-01-01,LightGBM,Medium,0.5,19481549.464572992,19490318.00455134,20905996.296871994
IN_A06,2025-04-01,LightGBM,Medium,0.5,20335035.026084945,20343803.566063292,26020387.986988425
IN_A06,2025-07-01,LightGBM,Medium,0.5,24694001.200348217,24537730.81927254,26244310.779859453
IN_A06,2025-10-01,LightGBM,Medium,0.5,24493696.284992065,24337425.90391639,26087311.09204649
IN_A06,2026-01-01,LightGBM,Medium,0.5,24259766.00488631,24103495.623810634,26010380.4997537
IN_A06,2026-04-01,LightGBM,Medium,0.5,24460070.920242462,23978166.414406475,25838057.67952523
IN_A06,2026-07-01,LightGBM,Medium,0.5,24372072.911874343,24016166.127306547,25869187.362074375
IN_A06,2026-10-01,LightGBM,Medium,0.5,24372072.911874343,24016166.127306547,25869187.362074375
IN_A07,2025-01-01,LightGBM,Medium,0.5,1666560.089807845,1692770.0356074555,1688196.0265224301
IN_A07,2025-04-01,LightGBM,Medium,0.5,1820651.3036905408,1864144.256548287,1850384.7829498304
IN_A07,2025-07-01,LightGBM,Medium,0.5,1811626.8511454475,1955937.4508594216,1962852.935218319
IN_A07,2025-10-01,LightGBM,Medium,0.5,1767823.091831062,1978390.8029002517,2097494.8158595986
IN_A07,2026-01-01,LightGBM,Medium,0.5,1806363.0212328911,2068318.4142221552,2225111.848737529
IN_A07,2026-04-01,LightGBM,Medium,0.5,1799169.9055691955,2045999.0854740192,2441931.5177040743
IN_A07,2026-07-01,LightGBM,Medium,0.5,1796464.8527312865,2015185.8135522762,2533541.0614291006
IN_A07,2026-10-01,LightGBM,Medium,0.5,1783490.169323575,2002211.1301445644,2558068.986813243
IN_A09,2025-01-01,XGBoost,Medium,0.5,674799.9375,674799.9375,656551.125
IN_A09,2025-04-01,XGBoost,Medium,0.5,646648.3125,646648.3125,621864.0625
IN_A09,2025-07-01,XGBoost,Medium,0.5,678031.0,678031.0,634014.875
IN_A09,2025-10-01,XGBoost,Medium,0.5,666018.6875,666018.6875,639751.5625
IN_A09,2026-01-01,XGBoost,Medium,0.5,675241.875,675241.875,667010.4375
IN_A09,2026-04-01,XGBoost,Medium,0.5,651110.875,651110.875,665508.8125
IN_A09,2026-07-01,XGBoost,Medium,0.5,644575.4375,644575.4375,665508.8125
IN_A09,2026-10-01,XGBoost,Medium,0.5,629816.1875,629816.1875,650749.5625
IN_A10,2025-01-01,XGBoost,High,1.0,10803948.0,10717533.0,10375264.0
IN_A10,2025-04-01,XGBoost,High,1.0,11547687.0,11487890.0,10677005.0
IN_A10,2025-07-01,XGBoost,High,1.0,12056410.0,11887983.0,12578444.0
IN_A10,2025-10-01,XGBoost,High,1.0,12899936.0,12788000.0,14662428.0
IN_A10,2026-01-01,XGBoost,High,1.0,11908972.0,11547431.0,15456151.0
IN_A10,2026-04-01,XGBoost,High,1.0,11258150.0,11068239.0,16872760.0
IN_A10,2026-07-01,XGBoost,High,1.0,11446715.0,10721050.0,16542197.0
IN_A10,2026-10-01,XGBoost,High,1.0,10786809.0,10906646.0,17805890.0
IN_A11,2025-01-01,LightGBM,Medium,0.5,493409.8800720371,513650.898306549,508679.48041022103
IN_A11,2025-04-01,LightGBM,Medium,0.5,464121.2210735056,487725.18668921635,487488.3639563931
IN_A11,2025-07-01,LightGBM,Medium,0.5,412017.32046197506,464263.6363045057,425994.8529608353
IN_A11,2025-10-01,LightGBM,Medium,0.5,396028.24216076086,417803.96008282894,389789.35545573605
IN_A11,2026-01-01,LightGBM,Medium,0.5,414619.4575201893,432112.0865710392,405675.5179772556
IN_A11,2026-04-01,LightGBM,Medium,0.5,404099.94245842303,413210.3623989281,395156.0029154893
IN_A11,2026-07-01,LightGBM,Medium,0.5,388470.9679121918,397581.3878526969,382232.081207167
IN_A11,2026-10-01,LightGBM,Medium,0.5,383104.32045243855,392214.7403929436,376865.43374741374
IN_A12,2025-01-01,LightGBM,Medium,0.5,8358207.1497236,8473659.948289499,8683319.152140569
IN_A12,2025-04-01,LightGBM,Medium,0.5,7674761.318516182,7769603.880437876,7989266.935426344
IN_A12,2025-07-01,LightGBM,Medium,0.5,6958792.933945573,7058456.242196315,8079623.134893287
IN_A12,2025-10-01,LightGBM,Medium,0.5,6458567.718658873,6902119.9542549,7715419.431835411
IN_A12,2026-01-01,LightGBM,Medium,0.5,5970115.513715391,6934632.414560417,8942737.460720794
IN_A12,2026-04-01,LightGBM,Medium,0.5,5514182.340701253,6489994.560733384,8822136.79868719
IN_A12,2026-07-01,LightGBM,Medium,0.5,5561030.194854972,6490084.183921007,9333936.603771983
IN_A12,2026-10-01,LightGBM,Medium,0.5,5423190.894151863,6440227.18024232,9198833.347933764
IN_A16,2025-01-01,XGBoost,Medium,0.5,402662.1875,402662.1875,376029.5625
IN_A16,2025-04-01,XGBoost,Medium,0.5,445532.1875,445532.1875,411695.25
IN_A16,2025-07-01,XGBoost,Medium,0.5,445532.1875,445532.1875,385614.53125
IN_A16,2025-10-01,XGBoost,Medium,0.5,430773.0,430773.0,428846.78125
IN_A16,2026-01-01,XGBoost,Medium,0.5,444401.75,444401.75,438687.09375
IN_A16,2026-04-01,XGBoost,Medium,0.5,415864.9375,415864.9375,410150.28125
IN_A16,2026-07-01,XGBoost,Medium,0.5,415864.9375,415864.9375,410150.28125
IN_A16,2026-10-01,XGBoost,Medium,0.5,401105.75,401105.75,395391.09375
IN_B01,2025-01-01,RandomForest,High,1.0,2903199.8469424886,2908597.4666441604,2921533.133640364
IN_B01,2025-04-01,RandomForest,High,1.0,2907820.0481221303,2931799.002343222,2967494.819558173
IN_B01,2025-07-01,RandomForest,High,1.0,2759401.3918344085,2759529.2727289377,2885294.1314007696
IN_B01,2025-10-01,RandomForest,High,1.0,2742701.1404411765,2724865.1740020807,2849069.300249034
IN_B01,2026-01-01,RandomForest,High,1.0,2775659.1784574483,2729044.3321612845,2868653.422400022
IN_B01,2026-04-01,RandomForest,High,1.0,2774165.4223151277,2741994.320726251,2856707.6298813163
IN_B01,2026-07-01,RandomForest,High,1.0,2728862.066843,2712064.8489947603,2778642.440283681
IN_B01,2026-10-01,RandomForest,High,1.0,2730834.7052557636,2702713.2051779944,2791543.623944394
IN_B02,2025-01-01,RandomForest,High,1.0,2313236.8209202182,2316942.251378603,2307999.764034056
IN_B02,2025-04-01,RandomForest,High,1.0,2392412.344465032,2401395.9561003908,2423067.22340568
IN_B02,2025-07-01,RandomForest,High,1.0,2535595.636377978,2529285.4107021876,2525737.297376191
IN_B02,2025-10-01,RandomForest,High,1.0,2687783.47284506,2641785.491027943,2660418.463030206
IN_B02,2026-01-01,RandomForest,High,1.0,2747215.3514139336,2689302.826286556,2804540.281087472
IN_B02,2026-04-01,RandomForest,High,1.0,2736833.5424374896,2657462.9512601914,2828694.9103797683
IN_B02,2026-07-01,RandomForest,High,1.0,2717152.702527702,2668458.885061001,2751848.2066197656
IN_B02,2026-10-01,RandomForest,High,1.0,2717522.697008044,2673015.577491268,2775077.4390452313
IN_B03,2025-01-01,LightGBM,Medium,0.5,747021.685543766,767262.7037782778,768657.6222583513
IN_B03,2025-04-01,LightGBM,Medium,0.5,734993.539763337,758597.5053790477,758360.6826462246
IN_B03,2025-07-01,LightGBM,Medium,0.5,732288.4869254282,753144.0633574771,746266.0194242884
IN_B03,2025-10-01,LightGBM,Medium,0.5,690450.9776336369,724230.4757740082,694484.8039245895
IN_B03,2026-01-01,LightGBM,Medium,0.5,705716.3434063774,723208.9724572274,707045.1168594211
IN_B03,2026-04-01,LightGBM,Medium,0.5,699884.4123041037,712357.7796258079,701213.1857571475
IN_B03,2026-07-01,LightGBM,Medium,0.5,697179.3594661949,709652.726787899,688289.2640488251
IN_B03,2026-10-01,LightGBM,Medium,0.5,690450.9776336369,702924.3449553411,681560.8822162672
IN_B05,2025-01-01,LightGBM,Medium,0.5,15973198.353828732,16047287.586759806,16923719.67580289
IN_B05,2025-04-01,LightGBM,Medium,0.5,15420679.508103857,15429448.048082203,17205439.96675812
IN_B05,2025-07-01,LightGBM,Medium,0.5,14198162.701367468,14087603.749315687,17441821.626942806
IN_B05,2025-10-01,LightGBM,Medium,0.5,15284685.1523733,14256851.579890681,16689000.447877463
IN_B05,2026-01-01,LightGBM,Medium,0.5,15573265.044370782,15628523.681023842,16906695.912125256
IN_B05,2026-04-01,LightGBM,Medium,0.5,14730884.483460028,15196893.449116975,16648513.82355859
IN_B05,2026-07-01,LightGBM,Medium,0.5,14498262.999263847,14534087.883093491,16493356.696668012
IN_B05,2026-10-01,LightGBM,Medium,0.5,15349773.303381301,14224363.9749665,16439166.841482144
IN_B06,2025-01-01,LightGBM,Medium,0.5,67971.75770908376,88212.7759435955,83241.35804726767
IN_B06,2025-04-01,LightGBM,Medium,0.5,57452.24264731745,77693.26088182922,80819.3855302051
IN_B06,2025-07-01,LightGBM,Medium,0.5,54747.189809408585,77709.79537379486,70928.47050012145
IN_B06,2025-10-01,LightGBM,Medium,0.5,49380.5423496554,72343.14791404165,45345.40383648307
IN_B06,2026-01-01,LightGBM,Medium,0.5,67971.75770908376,90934.36327347,59027.81816615004
IN_B06,2026-04-01,LightGBM,Medium,0.5,57452.24264731745,69828.89090950637,48508.3031043838
IN_B06,2026-07-01,LightGBM,Medium,0.5,54747.189809408585,69327.58626345002,48508.3031043838
IN_B06,2026-10-01,LightGBM,Medium,0.5,49380.5423496554,61757.19061184429,43141.65564463055
IN_C01,2025-01-01,XGBoost,Medium,0.5,2516497.0,2516497.0,2496078.75
IN_C01,2025-04-01,XGBoost,Medium,0.5,2592866.5,2592866.5,2526551.5
IN_C01,2025-07-01,XGBoost,Medium,0.5,2585387.75,2585387.75,2479217.0
IN_C01,2025-10-01,XGBoost,Medium,0.5,2483566.0,2483566.0,2603441.5
IN_C01,2026-01-01,XGBoost,Medium,0.5,2667363.0,2667363.0,2795862.75
IN_C01,2026-04-01,XGBoost,Medium,0.5,2632512.0,2632512.0,2812381.5
IN_C01,2026-07-01,XGBoost,Medium,0.5,2632834.25,2632834.25,2911386.5
IN_C01,2026-10-01,XGBoost,Medium,0.5,2660686.25,2660686.25,2887437.75
IN_C02,2025-01-01,LightGBM,Medium,0.5,2759007.4651458454,2842659.6858690805,2772356.5995154595
IN_C02,2025-04-01,LightGBM,Medium,0.5,2774936.256782808,2875773.133060673,2841197.406350024
IN_C02,2025-07-01,LightGBM,Medium,0.5,2801805.35023942,2834726.1498214635,3023356.2770953393
IN_C02,2025-10-01,LightGBM,Medium,0.5,2976710.9158476554,2769992.5577305946,3342790.434414252
IN_C02,2026-01-01,LightGBM,Medium,0.5,2980885.29580884,2850027.4480781136,3309938.3626441136
IN_C02,2026-04-01,LightGBM,Medium,0.5,2959829.8188686282,2870528.6792414226,3774703.9274587044
