,NDCs_2020,NDCs_2021,NDCs_2022,NDCs_2023,NDCs_2024,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
N06A,1330,1424,1557,1654,1630,7595,2.71,7595,2.71
C05A,1258,1342,1419,1464,1485,6968,2.48,14563,5.19
D07A,1241,1340,1390,1360,1316,6647,2.37,21210,7.56
N05A,1163,1202,1259,1359,1376,6359,2.27,27569,9.83
A01A,1104,1204,1259,1268,1248,6083,2.17,33652,12.0
N02B,1133,1165,1181,1223,1163,5865,2.09,39517,14.09
R01A,970,1054,1163,1218,1206,5611,2.0,45128,16.09
N03A,929,999,1100,1250,1236,5514,1.96,50642,18.05
S01A,967,1021,1035,1056,1040,5119,1.82,55761,19.87
S01B,873,935,999,1018,1059,4884,1.74,60645,21.61
C10A,795,840,891,922,937,4385,1.56,65030,23.17
N02A,877,891,885,884,808,4345,1.55,69375,24.72
H02A,732,800,866,878,902,4178,1.49,73553,26.21
M01A,775,800,820,884,883,4162,1.48,77715,27.69
C07A,690,770,865,898,867,4090,1.46,81805,29.15
D10A,674,729,790,829,839,3861,1.38,85666,30.53
N06B,673,707,741,840,837,3798,1.35,89464,31.88
R06A,691,721,756,801,780,3749,1.34,93213,33.22
B01A,697,752,743,758,744,3694,1.32,96907,34.54
A10B,685,674,666,705,715,3445,1.23,100352,35.77
R02A,629,667,692,708,719,3415,1.22,103767,36.99
D07X,617,667,710,703,708,3405,1.21,107172,38.2
B05X,582,636,680,709,735,3342,1.19,110514,39.39
A02B,600,630,666,709,709,3314,1.18,113828,40.57
C09C,681,626,632,640,625,3204,1.14,117032,41.71
G01A,627,659,649,630,634,3199,1.14,120231,42.85
D11A,527,554,647,713,735,3176,1.13,123407,43.98
D04A,524,577,633,660,662,3056,1.09,126463,45.07
A06A,560,579,612,641,641,3033,1.08,129496,46.15
R03B,544,569,614,607,613,2947,1.05,132443,47.2
A07E,513,566,586,595,575,2835,1.01,135278,48.21
M02A,524,541,541,589,591,2786,0.99,138064,49.2
N05B,499,530,536,555,545,2665,0.95,140729,50.15
J01C,511,520,538,563,511,2643,0.94,143372,51.09
L04A,370,436,504,592,622,2524,0.9,145896,51.99
J01F,475,502,478,491,495,2441,0.87,148337,52.86
N01B,396,444,497,539,557,2433,0.87,150770,53.73
J01D,460,463,508,513,477,2421,0.86,153191,54.59
G03C,466,501,474,475,489,2405,0.86,155596,55.45
B05C,423,455,490,511,503,2382,0.85,157978,56.3
S02B,423,461,488,485,488,2345,0.84,160323,57.14
R05D,465,459,484,475,446,2329,0.83,162652,57.97
D01A,422,461,479,471,473,2306,0.82,164958,58.79
G03A,449,486,464,455,435,2289,0.82,167247,59.61
G04B,417,427,444,474,477,2239,0.8,169486,60.41
