Target,ATC2 Class,Period,Model,Actual,Forecast,Error,MAE
Number of Prescriptions,A01,2024Q1,Historical Mean,51744.0,43536.892857142855,8207.107142857145,9704.5
Number of Prescriptions,A01,2024Q1,Naive,51744.0,104276.0,52532.0,65182.5
Number of Prescriptions,A01,2024Q1,Seasonal Naive,51744.0,74003.0,22259.0,56030.25
Number of Prescriptions,A01,2024Q1,AutoARIMA,51744.0,104276.0,52532.0,65182.5
Number of Prescriptions,A01,2024Q1,SARIMA,51744.0,104276.0,52532.0,65182.5
Number of Prescriptions,A01,2024Q2,Historical Mean,32778.0,43536.892857142855,10758.892857142855,9704.5
Number of Prescriptions,A01,2024Q2,Naive,32778.0,104276.0,71498.0,65182.5
Number of Prescriptions,A01,2024Q2,Seasonal Naive,32778.0,99779.0,67001.0,56030.25
Number of Prescriptions,A01,2024Q2,AutoARIMA,32778.0,104276.0,71498.0,65182.5
Number of Prescriptions,A01,2024Q2,SARIMA,32778.0,104276.0,71498.0,65182.5
Number of Prescriptions,A01,2024Q3,Historical Mean,45852.0,43536.892857142855,2315.107142857145,9704.5
Number of Prescriptions,A01,2024Q3,Naive,45852.0,104276.0,58424.0,65182.5
Number of Prescriptions,A01,2024Q3,Seasonal Naive,45852.0,102437.0,56585.0,56030.25
Number of Prescriptions,A01,2024Q3,AutoARIMA,45852.0,104276.0,58424.0,65182.5
Number of Prescriptions,A01,2024Q3,SARIMA,45852.0,104276.0,58424.0,65182.5
Number of Prescriptions,A01,2024Q4,Historical Mean,26000.0,43536.892857142855,17536.892857142855,9704.5
Number of Prescriptions,A01,2024Q4,Naive,26000.0,104276.0,78276.0,65182.5
Number of Prescriptions,A01,2024Q4,Seasonal Naive,26000.0,104276.0,78276.0,56030.25
Number of Prescriptions,A01,2024Q4,AutoARIMA,26000.0,104276.0,78276.0,65182.5
Number of Prescriptions,A01,2024Q4,SARIMA,26000.0,104276.0,78276.0,65182.5
Number of Prescriptions,A02,2024Q1,Historical Mean,150092.0,125093.32142857143,24998.678571428565,12886.589285714283
Number of Prescriptions,A02,2024Q1,Naive,150092.0,149135.0,957.0,13813.25
Number of Prescriptions,A02,2024Q1,Seasonal Naive,150092.0,168087.0,17995.0,30624.0
Number of Prescriptions,A02,2024Q1,AutoARIMA,150092.0,154397.546875,4305.546875,18597.296875
Number of Prescriptions,A02,2024Q1,SARIMA,150092.0,154397.546875,4305.546875,18597.296875
Number of Prescriptions,A02,2024Q2,Historical Mean,139160.0,125093.32142857143,14066.678571428565,12886.589285714283
Number of Prescriptions,A02,2024Q2,Naive,139160.0,149135.0,9975.0,13813.25
Number of Prescriptions,A02,2024Q2,Seasonal Naive,139160.0,200320.0,61160.0,30624.0
Number of Prescriptions,A02,2024Q2,AutoARIMA,139160.0,154397.546875,15237.546875,18597.296875
Number of Prescriptions,A02,2024Q2,SARIMA,139160.0,154397.546875,15237.546875,18597.296875
Number of Prescriptions,A02,2024Q3,Historical Mean,133215.0,125093.32142857143,8121.678571428565,12886.589285714283
Number of Prescriptions,A02,2024Q3,Naive,133215.0,149135.0,15920.0,13813.25
Number of Prescriptions,A02,2024Q3,Seasonal Naive,133215.0,148155.0,14940.0,30624.0
Number of Prescriptions,A02,2024Q3,AutoARIMA,133215.0,154397.546875,21182.546875,18597.296875
Number of Prescriptions,A02,2024Q3,SARIMA,133215.0,154397.546875,21182.546875,18597.296875
Number of Prescriptions,A02,2024Q4,Historical Mean,120734.0,125093.32142857143,4359.321428571435,12886.589285714283
Number of Prescriptions,A02,2024Q4,Naive,120734.0,149135.0,28401.0,13813.25
Number of Prescriptions,A02,2024Q4,Seasonal Naive,120734.0,149135.0,28401.0,30624.0
Number of Prescriptions,A02,2024Q4,AutoARIMA,120734.0,154397.546875,33663.546875,18597.296875
Number of Prescriptions,A02,2024Q4,SARIMA,120734.0,154397.546875,33663.546875,18597.296875
Number of Prescriptions,A03,2024Q1,Historical Mean,20180.0,20076.678571428572,103.32142857142753,535.3392857142862
Number of Prescriptions,A03,2024Q1,Naive,20180.0,21170.0,990.0,1577.0
Number of Prescriptions,A03,2024Q1,Seasonal Naive,20180.0,25167.0,4987.0,3893.5
Number of Prescriptions,A03,2024Q1,AutoARIMA,20180.0,21170.0,990.0,1577.0
Number of Prescriptions,A03,2024Q1,SARIMA,20180.0,21283.064453125,1103.064453125,882.85791015625
Number of Prescriptions,A03,2024Q2,Historical Mean,19852.0,20076.678571428572,224.67857142857247,535.3392857142862
Number of Prescriptions,A03,2024Q2,Naive,19852.0,21170.0,1318.0,1577.0
Number of Prescriptions,A03,2024Q2,Seasonal Naive,19852.0,24818.0,4966.0,3893.5
Number of Prescriptions,A03,2024Q2,AutoARIMA,19852.0,21170.0,1318.0,1577.0
Number of Prescriptions,A03,2024Q2,SARIMA,19852.0,21050.087890625,1198.087890625,882.85791015625
Number of Prescriptions,A03,2024Q3,Historical Mean,20074.0,20076.678571428572,2.678571428572468,535.3392857142862
Number of Prescriptions,A03,2024Q3,Naive,20074.0,21170.0,1096.0,1577.0
Number of Prescriptions,A03,2024Q3,Seasonal Naive,20074.0,22791.0,2717.0,3893.5
Number of Prescriptions,A03,2024Q3,AutoARIMA,20074.0,21170.0,1096.0,1577.0
Number of Prescriptions,A03,2024Q3,SARIMA,20074.0,19825.6484375,248.3515625,882.85791015625
Number of Prescriptions,A03,2024Q4,Historical Mean,18266.0,20076.678571428572,1810.6785714285725,535.3392857142862
Number of Prescriptions,A03,2024Q4,Naive,18266.0,21170.0,2904.0,1577.0
Number of Prescriptions,A03,2024Q4,Seasonal Naive,18266.0,21170.0,2904.0,3893.5
Number of Prescriptions,A03,2024Q4,AutoARIMA,18266.0,21170.0,2904.0,1577.0
Number of Prescriptions,A03,2024Q4,SARIMA,18266.0,19247.927734375,981.927734375,882.85791015625
Number of Prescriptions,A04,2024Q1,Historical Mean,79409.0,54324.357142857145,25084.642857142855,14160.642857142855
Number of Prescriptions,A04,2024Q1,Naive,79409.0,70910.0,8499.0,6674.5
Number of Prescriptions,A04,2024Q1,Seasonal Naive,79409.0,82989.0,3580.0,5717.25
Number of Prescriptions,A04,2024Q1,AutoARIMA,79409.0,70910.0,8499.0,6674.5
Number of Prescriptions,A04,2024Q1,SARIMA,79409.0,70910.0,8499.0,6674.5
Number of Prescriptions,A04,2024Q2,Historical Mean,67185.0,54324.357142857145,12860.642857142855,14160.642857142855
Number of Prescriptions,A04,2024Q2,Naive,67185.0,70910.0,3725.0,6674.5
Number of Prescriptions,A04,2024Q2,Seasonal Naive,67185.0,75031.0,7846.0,5717.25
Number of Prescriptions,A04,2024Q2,AutoARIMA,67185.0,70910.0,3725.0,6674.5
Number of Prescriptions,A04,2024Q2,SARIMA,67185.0,70910.0,3725.0,6674.5
Number of Prescriptions,A04,2024Q3,Historical Mean,65540.0,54324.357142857145,11215.642857142855,14160.642857142855
Number of Prescriptions,A04,2024Q3,Naive,65540.0,70910.0,5370.0,6674.5
Number of Prescriptions,A04,2024Q3,Seasonal Naive,65540.0,67879.0,2339.0,5717.25
Number of Prescriptions,A04,2024Q3,AutoARIMA,65540.0,70910.0,5370.0,6674.5
Number of Prescriptions,A04,2024Q3,SARIMA,65540.0,70910.0,5370.0,6674.5
Number of Prescriptions,A04,2024Q4,Historical Mean,61806.0,54324.357142857145,7481.642857142855,14160.642857142855
Number of Prescriptions,A04,2024Q4,Naive,61806.0,70910.0,9104.0,6674.5
Number of Prescriptions,A04,2024Q4,Seasonal Naive,61806.0,70910.0,9104.0,5717.25
Number of Prescriptions,A04,2024Q4,AutoARIMA,61806.0,70910.0,9104.0,6674.5
Number of Prescriptions,A04,2024Q4,SARIMA,61806.0,70910.0,9104.0,6674.5
Number of Prescriptions,A05,2024Q1,Historical Mean,643.0,545.25,97.75,63.625
