cutoff,unique_id,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta,metric
2018-04-01,IN_D03,2451.5,625.62354,437.0625,104.25,625.62354,625.62354,104.25,570.70374,MSE
2018-10-01,IN_V06,482.75,5282.549,266.1875,943.5,5282.549,5282.549,3618.5745,3543.9136,MSE
2019-04-01,IN_D03,547.5,1415.0144,899.5,793.0,1054.8545,1054.8545,1963.8186,650.183,MSE
2019-10-01,IN_A01,1.6513886e+08,5.2572125e+08,1.5054374e+08,1.9922557e+08,1.6513886e+08,1.6513886e+08,2.0946605e+08,1.6535894e+08,MSE
2019-10-01,IN_A02,3.542611e+07,4.9396504e+07,1.223783e+08,1.0886698e+08,4.9396504e+07,4.9396504e+07,3.9822864e+08,1.06510104e+08,MSE
2019-10-01,IN_A03,1.0211959e+07,1.5964928e+06,5.920906e+06,6.559972e+06,5.8783855e+06,5.8783855e+06,1.4570542e+07,6.880202e+06,MSE
2019-10-01,IN_A04,2.82813e+07,4.8548176e+07,2.9270826e+07,1.3337921e+07,2.8363036e+07,2.8363036e+07,4.4232692e+07,3.1915348e+07,MSE
2019-10-01,IN_A05,2545.5,1900.6289,1064.25,2489.0,1900.6289,1900.6289,2396.3877,1394.1818,MSE
2019-10-01,IN_A06,3.560095e+08,9.702724e+08,2.404918e+08,5.648557e+08,2.91941e+08,2.91941e+08,2.4044395e+08,2.4452507e+08,MSE
2019-10-01,IN_A07,4.3148666e+08,1.7929451e+08,5.031377e+08,5.7236397e+08,1.7929451e+08,5.0081224e+07,3.2960262e+08,3.9247635e+08,MSE
2019-10-01,IN_A09,21987.25,272087.44,17664.25,22137.75,1589.1559,1589.1559,4578.6323,910.50684,MSE
2019-10-01,IN_A10,1.593843e+08,3.3722995e+08,1.6297e+08,1.5585242e+08,3.3722995e+08,3.3722995e+08,1.2338619e+08,1.5905472e+08,MSE
2019-10-01,IN_A11,4.769609e+06,6.2717995e+06,659772.25,5.547319e+06,4.769609e+06,1.0688774e+07,8.548038e+06,1.8371359e+06,MSE
2019-10-01,IN_A12,1.017353e+07,2.4239096e+07,6.0293895e+06,1.1344241e+07,1.7108048e+07,1.5865258e+08,2.2020272e+06,3.506473e+07,MSE
2019-10-01,IN_A16,3214.75,6979.328,6459.25,4062.25,6979.328,4062.25,4116.5195,5108.7393,MSE
2019-10-01,IN_B01,2.3988211e+08,1.8013356e+07,2.4435222e+08,2.4457818e+08,2.5461064e+08,2.5461064e+08,4.163246e+08,3.430288e+08,MSE
2019-10-01,IN_B02,3.3162712e+06,3.616429e+06,3.3728388e+06,3.1635052e+06,3.7392815e+06,3.308545e+06,2.5451772e+06,3.0377762e+06,MSE
2019-10-01,IN_B03,2.7660434e+07,3.317088e+07,2.6155446e+07,4.938787e+07,3.317088e+07,3.317088e+07,1.59216e+07,2.646056e+07,MSE
2019-10-01,IN_B05,2.092045e+07,1.9710516e+07,4.1625796e+07,4.3119028e+07,2.092045e+07,2.092045e+07,5.0016096e+07,2.1679558e+07,MSE
2019-10-01,IN_B06,13509.75,24605.453,12281.25,21481.75,24605.453,24605.453,24736.549,23303.018,MSE
2019-10-01,IN_C01,2.1000717e+08,4.852347e+07,2.2339082e+08,2.2073093e+08,2.1000717e+08,2.1000717e+08,1.8931413e+08,2.081425e+08,MSE
2019-10-01,IN_C02,1.6816776e+07,1.974498e+08,2.209031e+07,4.530237e+07,1.6816776e+07,1.6816776e+07,8.651936e+06,3.301018e+07,MSE
2019-10-01,IN_C03,8.379998e+07,8.530065e+07,6.530296e+07,6.2488028e+07,8.530065e+07,8.530065e+07,2.2793582e+07,5.5676916e+07,MSE
2019-10-01,IN_C04,100555.25,7435.953,6043.9375,35516.5,7435.953,7435.953,6227.0957,6785.664,MSE
2019-10-01,IN_C05,2.747125e+07,6.5056868e+07,3.3470394e+07,3.9822856e+07,6.5056868e+07,6.5056868e+07,2.4043028e+07,5.654391e+07,MSE
2019-10-01,IN_C07,9.826884e+07,1.4655954e+08,8.935526e+07,9.1020904e+07,1.4655954e+08,1.4655954e+08,6.8809064e+07,9.8215144e+07,MSE
2019-10-01,IN_C08,2.751361e+07,3.403259e+07,2.6348584e+07,2.829808e+07,3.403259e+07,3.403259e+07,1.6641109e+07,2.7790116e+07,MSE
2019-10-01,IN_C09,4.061722e+07,3.3036776e+07,3.937608e+07,6.366486e+07,3.3036776e+07,3.3036776e+07,5.620013e+07,4.087324e+07,MSE
2019-10-01,IN_C10,2.7423942e+07,5.0199696e+07,3.465261e+07,3.0335236e+07,5.0199696e+07,5.0199696e+07,2.0221388e+07,2.744086e+07,MSE
2019-10-01,IN_D01,1.5558973e+08,1.7054072e+08,1.9693394e+08,1.9320798e+08,1.7054072e+08,1.7054072e+08,2.1037218e+08,1.7226798e+08,MSE
2019-10-01,IN_D02,705711.75,974391.06,1.3042348e+06,3.0738262e+06,974391.06,974391.06,927361.2,818741.7,MSE
2019-10-01,IN_D04,9.297812e+06,5.000791e+07,1.3226796e+07,1.4867506e+07,9.297812e+06,9.297812e+06,2.889636e+07,1.1421748e+07,MSE
2019-10-01,IN_D05,1.6788345e+06,8.722741e+06,4.9025925e+06,9.481437e+06,8.722741e+06,8.722741e+06,5.65479e+06,1.2868476e+06,MSE
2019-10-01,IN_D06,7.623631e+07,3.448462e+07,4.4646404e+07,7.873405e+07,3.448462e+07,3.448462e+07,4.5085704e+07,3.461407e+07,MSE
2019-10-01,IN_D07,1.0963913e+09,1.157302e+09,9.718969e+08,9.3407763e+08,1.157302e+09,1.157302e+09,1.7637692e+09,1.2607217e+09,MSE
2019-10-01,IN_D08,84483.5,222398.34,1.9300848e+06,6.96993e+06,222398.34,222398.34,4.1210002e+06,549872.4,MSE
2019-10-01,IN_D10,6.4301184e+07,6.354581e+07,4.579264e+07,4.841227e+07,6.6708296e+07,8.863117e+07,5.4587324e+07,5.6487384e+07,MSE
2019-10-01,IN_D11,2.1398236e+07,1.9598198e+06,4.364817e+06,6.9737045e+06,1.9598198e+06,3.7248682e+06,1.2963492e+07,4.2064625e+06,MSE
2019-10-01,IN_G01,1.1025605e+07,2.8921788e+07,9.858112e+06,1.7719824e+07,2.8921788e+07,2.8921788e+07,6.1762105e+06,1.3268003e+07,MSE
2019-10-01,IN_G02,1.0748193e+09,4.690835e+08,1.0673153e+09,1.1087836e+09,4.690835e+08,4.690835e+08,1.01661146e+09,9.300329e+08,MSE
2019-10-01,IN_G03,6.6927064e+07,1.887631e+08,1.3188652e+08,1.2078204e+08,1.887631e+08,1.2078204e+08,1.2152832e+08,1.628273e+08,MSE
2019-10-01,IN_G04,1.3908495e+06,1.645319e+06,1.3772288e+06,1.4959815e+06,1.3731745e+06,1.3731745e+06,7.351398e+06,1.3904692e+06,MSE
2019-10-01,IN_H01,13927.5,60477.688,4957.5,9687.0,105612.66,105612.66,21076.916,13699.116,MSE
2019-10-01,IN_H02,8.736208e+08,2.080645e+08,7.237857e+08,7.386674e+08,3.833112e+08,3.833112e+08,4.423113e+08,6.5620915e+08,MSE
2019-10-01,IN_H03,1.1298254e+07,2.4550392e+06,4.467407e+06,7.315559e+06,1.9523832e+07,1.9523832e+07,9.789131e+06,1.0352124e+07,MSE
2019-10-01,IN_H04,10681.5,12591.723,9193.5,1450.0,12591.723,1848.1805,1012.14294,11236.24,MSE
2019-10-01,IN_H05,2.8095715e+06,1.1622094e+06,1.9062105e+06,3.0796688e+06,1.1622094e+06,1.1622094e+06,7.6002685e+06,2.1825178e+06,MSE
2019-10-01,IN_J01,5.690352e+09,2.3188705e+09,3.2549962e+09,3.0525396e+09,2.3582543e+09,3.0525396e+09,2.575405e+09,2.4836997e+09,MSE
