index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
0,IN_A01,2025-01-01,726622.955,-1807446.740387918,3260692.650387918,1763990.5195277778,-253225.01124579366,3781206.0503013493,1379182.547,-1373128.1714574324,4131493.2654574327,1379182.547,-1373128.1714574324,4131493.2654574327,1763990.5195277778,-225778.62308710604,3753759.6621426614,1763990.5195277778,-225778.62308710604,3753759.6621426614,1710977.0946058964,-473790.030566307,3895744.2197781,1811598.3396824407,79799.640625,3874137.5
1,IN_A01,2025-04-01,726622.955,-2857092.776216252,4310338.686216252,1763990.5195277778,-253225.01124579366,3781206.0503013493,1414326.759,-1337983.9594574324,4166637.4774574325,1414326.759,-1337983.9594574324,4166637.4774574325,1763990.5195277778,-225778.62308710604,3753759.6621426614,1763990.5195277778,-225778.62308710604,3753759.6621426614,2459921.61709068,275154.40365423914,4644688.830527121,1811598.3396824407,-224962.6875,3607571.0
2,IN_A01,2025-07-01,726622.955,-3662514.507332462,5115760.417332462,1763990.5195277778,-253225.01124579366,3781206.0503013493,1238717.4,-1513593.3184574326,3991028.1184574324,1238717.4,-1513593.3184574326,3991028.1184574324,1763990.5195277778,-225778.62308710604,3753759.6621426614,1763990.5195277778,-225778.62308710604,3753759.6621426614,1951305.4387473566,-233461.93597977236,4136072.8134744857,1811598.3396824407,-740608.6875,3745913.0
3,IN_A01,2025-10-01,726622.955,-4341516.435775836,5794762.345775836,1763990.5195277778,-253225.01124579366,3781206.0503013493,726622.955,-2025687.7634574324,3478933.6734574325,726622.955,-2025687.7634574324,3478933.6734574325,1763990.5195277778,-225778.62308710604,3753759.6621426614,1763990.5195277778,-225778.62308710604,3753759.6621426614,2214550.280529019,29782.649637100752,4399317.911420938,1811598.3396824407,-89271.0625,3720317.75
4,IN_A02,2025-01-01,6789285.875,5060947.347539817,8517624.402460182,6846819.591555555,3326968.411529652,10366670.77158146,8242206.313,5439725.30412914,11044687.32187086,8242206.313,5439725.30412914,11044687.32187086,6789285.875,5060946.51825609,8517625.23174391,6789285.875,5060946.51825609,8517625.23174391,6932549.303846971,5142099.277732512,8722999.32996143,6864524.781817432,5686661.072215758,8267337.861389211
5,IN_A02,2025-04-01,6789285.875,4345046.089093866,9233525.660906134,6846819.591555555,3326968.411529652,10366670.77158146,7854393.057,5051912.048129141,10656874.065870859,7854393.057,5051912.048129141,10656874.065870859,6789285.875,4345044.916309571,9233526.83369043,6789285.875,4345044.916309571,9233526.83369043,7511939.30786108,5291060.804507427,9732817.811214734,7166338.290882072,5150726.7360305395,9000134.490625473
6,IN_A02,2025-07-01,6789285.875,3795715.732760187,9782856.017239813,6846819.591555555,3326968.411529652,10366670.77158146,7359497.375,4557016.366129141,10161978.383870859,7359497.375,4557016.366129141,10161978.383870859,6789285.875,3795714.296398636,9782857.453601364,6789285.875,3795714.296398636,9782857.453601364,7238112.3154946,4657537.3158409875,9818687.315148212,7030242.435685744,4689662.001275285,9157584.862892222
7,IN_A02,2025-10-01,6789285.875,3332608.8200796344,10245962.929920366,6846819.591555555,3326968.411529652,10366670.77158146,6789285.875,3986804.866129141,9591766.883870859,6789285.875,3986804.866129141,9591766.883870859,6789285.875,3332607.1615121793,10245964.58848782,6789285.875,3332607.1615121793,10245964.58848782,7114918.932223851,4218902.812077632,10010935.05237007,6931250.9877686445,4705696.908366622,9296667.127570577
8,IN_A03,2025-01-01,1555400.0,1299460.6581204792,1811339.3418795208,1680228.243888889,1177975.8588067968,2182480.628970981,1588232.0,1111535.612137268,2064928.387862732,1588232.0,1111535.612137268,2064928.387862732,1555400.0,1299460.2219973782,1811339.7780026218,1555400.0,1299460.2219973782,1811339.7780026218,1506927.5429327113,1237026.3115199034,1776828.7743455193,1563754.1218146058,1364268.625,1801337.5
9,IN_A03,2025-04-01,1555400.0,1193447.1115691375,1917352.8884308625,1680228.243888889,1177975.8588067968,2182480.628970981,1595490.0,1118793.612137268,2072186.387862732,1595490.0,1118793.612137268,2072186.387862732,1555400.0,1193446.494797933,1917353.505202067,1555400.0,1193446.494797933,1917353.505202067,1565612.3031490454,1212594.617361535,1918629.9889365558,1563754.1218146058,1234724.875,1875237.375
