dms_orig,dms_dest,sctg2,dms_mode,thousand tons in 2017,thousand tons in 2018,thousand tons in 2019,thousand tons in 2020,thousand tons in 2021,thousand tons in 2022,thousand tons in 2023,thousand tons in 2024,thousand tons in 2030,thousand tons in 2030_low,thousand tons in 2030_high,thousand tons in 2035,thousand tons in 2035_low,thousand tons in 2035_high,thousand tons in 2040,thousand tons in 2040_low,thousand tons in 2040_high,thousand tons in 2045,thousand tons in 2045_low,thousand tons in 2045_high,thousand tons in 2050,thousand tons in 2050_low,thousand tons in 2050_high
011-Birmingham AL,01-Alabama,21-Pharmaceuticals,1-Truck,79.8276,75.7832,77.5229,79.5264,83.8156,91.2031,94.7917,101.5392,144.0509,142.4617,158.456,169.8566,164.6833,173.2537,200.1272,191.513,204.1298,236.2824,223.6532,241.0081,275.0769,257.6449,280.5784
011-Birmingham AL,01-Alabama,21-Pharmaceuticals,5-Multiple modes & mail,5.7772,5.4845,5.6104,5.7554,6.0659,6.6005,6.8602,7.3485,10.1156,10.0065,11.1272,11.8285,11.5344,12.0651,13.8194,13.3017,14.0958,16.1751,15.3967,16.4986,18.711,17.6146,19.0852
011-Birmingham AL,02-Alaska,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
011-Birmingham AL,04-Arizona,21-Pharmaceuticals,4-Air (include truck-air),0.0238,0.0226,0.0231,0.0237,0.025,0.0272,0.0282,0.0302,0.035,0.0346,0.0385,0.0425,0.0423,0.0434,0.0517,0.0511,0.0527,0.0629,0.0618,0.0641,0.0765,0.0747,0.078
011-Birmingham AL,04-Arizona,21-Pharmaceuticals,5-Multiple modes & mail,0.135,0.1281,0.1311,0.1345,0.1417,0.1542,0.1603,0.1717,0.1985,0.1966,0.2183,0.2413,0.2403,0.2462,0.2935,0.2901,0.2994,0.3569,0.3509,0.364,0.434,0.4238,0.4427
011-Birmingham AL,05-Arkansas,21-Pharmaceuticals,4-Air (include truck-air),0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0006,0.0006,0.0007,0.0008,0.0007,0.0008,0.0009,0.0008,0.0009,0.001,0.0009,0.0011,0.0012,0.001,0.0012
011-Birmingham AL,05-Arkansas,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004
011-Birmingham AL,06-California,21-Pharmaceuticals,4-Air (include truck-air),0.0242,0.023,0.0235,0.0241,0.0254,0.0277,0.0287,0.0308,0.0354,0.035,0.039,0.0431,0.0429,0.0439,0.0524,0.051,0.0534,0.0637,0.0605,0.065,0.0775,0.0717,0.079
011-Birmingham AL,06-California,21-Pharmaceuticals,5-Multiple modes & mail,0.0089,0.0084,0.0086,0.0088,0.0093,0.0101,0.0105,0.0113,0.0132,0.013,0.0145,0.016,0.0158,0.0163,0.0194,0.0187,0.0198,0.0236,0.0222,0.0241,0.0288,0.0264,0.0293
011-Birmingham AL,08-Colorado,21-Pharmaceuticals,4-Air (include truck-air),0.0012,0.0011,0.0011,0.0012,0.0012,0.0014,0.0014,0.0015,0.0018,0.0017,0.0019,0.0021,0.0021,0.0022,0.0026,0.0025,0.0027,0.0032,0.0031,0.0032,0.0038,0.0037,0.0039
011-Birmingham AL,08-Colorado,21-Pharmaceuticals,5-Multiple modes & mail,0.0111,0.0106,0.0108,0.0111,0.0117,0.0127,0.0132,0.0142,0.0198,0.0196,0.0218,0.0234,0.0231,0.0239,0.0272,0.0266,0.0278,0.0316,0.0305,0.0323,0.0377,0.0358,0.0385
011-Birmingham AL,09-Connecticut,21-Pharmaceuticals,1-Truck,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
011-Birmingham AL,09-Connecticut,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0006,0.0005,0.0006
011-Birmingham AL,09-Connecticut,21-Pharmaceuticals,5-Multiple modes & mail,0.0032,0.003,0.0031,0.0032,0.0033,0.0036,0.0038,0.004,0.0047,0.0046,0.0052,0.0057,0.0055,0.0058,0.0069,0.0064,0.0071,0.0084,0.0075,0.0086,0.0103,0.0087,0.0105
011-Birmingham AL,11-Washington DC,21-Pharmaceuticals,4-Air (include truck-air),0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005
011-Birmingham AL,11-Washington DC,21-Pharmaceuticals,5-Multiple modes & mail,0.0001,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002
011-Birmingham AL,12-Florida,21-Pharmaceuticals,1-Truck,0.4427,0.4202,0.4299,0.441,0.4648,0.5058,0.5257,0.5631,0.7428,0.7247,0.8171,0.873,0.8277,0.8905,1.0349,0.9466,1.0556,1.2172,1.0763,1.2416,1.4151,1.2095,1.4434
011-Birmingham AL,12-Florida,21-Pharmaceuticals,4-Air (include truck-air),0.0122,0.0115,0.0118,0.0121,0.0128,0.0139,0.0144,0.0155,0.0177,0.0173,0.0195,0.0216,0.0206,0.022,0.0262,0.0243,0.0267,0.0319,0.0287,0.0325,0.0388,0.0339,0.0395
011-Birmingham AL,12-Florida,21-Pharmaceuticals,5-Multiple modes & mail,0.973,0.9237,0.9449,0.9693,1.0216,1.1116,1.1553,1.2376,1.659,1.618,1.8249,1.9426,1.8401,1.9814,2.296,2.0969,2.3419,2.6901,2.3734,2.744,3.1104,2.6504,3.1726
011-Birmingham AL,13-Georgia,21-Pharmaceuticals,1-Truck,0.0756,0.0717,0.0734,0.0753,0.0794,0.0863,0.0897,0.0961,0.1208,0.118,0.1329,0.1431,0.1347,0.146,0.1694,0.1535,0.1728,0.2009,0.1754,0.2049,0.237,0.1993,0.2418
011-Birmingham AL,13-Georgia,21-Pharmaceuticals,4-Air (include truck-air),0.0027,0.0025,0.0026,0.0027,0.0028,0.003,0.0032,0.0034,0.004,0.0039,0.0043,0.0048,0.0045,0.0049,0.0058,0.0053,0.006,0.0071,0.0062,0.0073,0.0086,0.0073,0.0088
